run_scope,model_level,feature_group,target,split_name,fold_count,condition_mean_mae,condition_median_mae,worst_condition_mae,mean_mae,mean_rmse,test_rows
primary,L1_ridge,P3_state_nominal,delta_pulse_1s_resistance,condition_fold,5,0.0012557177864380054,0.0009733281130467977,0.005170745245152978,0.0008282015129106495,0.0012934603374414922,3751
primary,L1_ridge,P3_state_nominal,delta_pulse_1s_resistance,profile_holdout_fold,1,0.001075350504197203,0.0009742701321786369,0.0024635151638402824,0.0009763416250660444,0.0013024748560221818,733
primary,L1_ridge,P3_state_nominal,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0013802290849144637,0.0011743137933248027,0.004807634731682283,0.0008685803319967106,0.0013835653593396438,1756
primary,L1_ridge,P3_state_nominal,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.001453936678543037,0.001191073854895928,0.005022587459488827,0.0011363314327402574,0.001553840851842906,3751
primary,L1_ridge,P3_state_nominal,pulse_10ms_resistance_k1,c_rate_holdout_fold,1,0.0024495070522600523,0.001804125379603359,0.005417561413036597,0.0017584562151456797,0.002824958800555119,143
primary,L1_ridge,P3_state_nominal,pulse_10ms_resistance_k1,condition_fold,5,0.0013666887529883698,0.0011934169573754726,0.004943317804150869,0.0010349124223845776,0.0015193782940105174,3752
primary,L1_ridge,P3_state_nominal,pulse_10ms_resistance_k1,profile_holdout_fold,1,0.0010624637748083883,0.0010404813051818947,0.0025193962377157075,0.0009468806827594055,0.00139398577884801,734
primary,L1_ridge,P3_state_nominal,pulse_10ms_resistance_k1,temperature_holdout_fold,2,0.0016170557619529925,0.0013621244333581251,0.004578811121920585,0.0012843883519980718,0.001785701331402362,1756
primary,L1_ridge,P3_state_nominal,pulse_10ms_resistance_k1,voltage_window_holdout_fold,3,0.0016410351528723694,0.001202035188521785,0.0049679248828323665,0.0013777068606496176,0.00190977970843858,3752
primary,L1_ridge,P3_state_nominal,pulse_1s_resistance_k1,c_rate_holdout_fold,1,0.002319443228882206,0.0019364966224896247,0.005088171504307828,0.0017958241568589947,0.0027566329034268,143
primary,L1_ridge,P3_state_nominal,pulse_1s_resistance_k1,condition_fold,5,0.0012590760745190836,0.0010288435640905937,0.005100819826704592,0.0008334438855411448,0.0013136383601756291,3752
primary,L1_ridge,P3_state_nominal,pulse_1s_resistance_k1,profile_holdout_fold,1,0.0011080151329587427,0.0010843208963192742,0.0024603281929755257,0.0009943888758051475,0.0013860933544167222,734
primary,L1_ridge,P3_state_nominal,pulse_1s_resistance_k1,temperature_holdout_fold,2,0.0013960305657351947,0.001163439285572503,0.004692079409911645,0.000876596005859338,0.00138872904091746,1756
primary,L1_ridge,P3_state_nominal,pulse_1s_resistance_k1,voltage_window_holdout_fold,3,0.001473327111923946,0.0011995604056521253,0.0049340123348461315,0.0011582864728668415,0.001592363522778437,3752
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_10ms_resistance,c_rate_holdout_fold,1,0.00454531654583668,0.004780023013291691,0.00683947476072316,0.0047586394862342354,0.005168054982726,143
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_10ms_resistance,condition_fold,5,0.0010587476849032074,0.0008449191301855726,0.0036833111898779496,0.0007262065148947137,0.0010986737278813235,3751
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_10ms_resistance,profile_holdout_fold,1,0.005334806195310266,0.0043579313510597375,0.009181638061810826,0.004695123999776225,0.0049540590495604645,733
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_10ms_resistance,temperature_holdout_fold,2,0.0010706470363125542,0.0007683108560719157,0.0036715877242891807,0.0007167904821768181,0.001128416771820865,1756
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_10ms_resistance,voltage_window_holdout_fold,3,0.0016376484718637087,0.0013396880077462352,0.007917350993479063,0.0015625804542672452,0.0020134288168852372,3751
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_1s_resistance,c_rate_holdout_fold,1,0.005071337072997481,0.00508185246190559,0.007483926569036508,0.005208822300038381,0.005652080315771977,143
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_1s_resistance,condition_fold,5,0.0011328442043792822,0.0009511066283966517,0.0038104540102219327,0.0007681603798496799,0.001199292929078295,3751
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_1s_resistance,profile_holdout_fold,1,0.005414714843973315,0.004389852728326255,0.009494092959044425,0.004741966507470725,0.005031829889016972,733
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_1s_resistance,temperature_holdout_fold,2,0.0011471856303622468,0.0008524540156187815,0.0037670396549855808,0.0007509719234562388,0.001219358094278816,1756
primary,L1_ridge,P4_state_log_age_scalar,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,0.0017606758324483342,0.0014289986232899337,0.008228368810884257,0.0016599876931404952,0.002133413122964809,3751
primary,L1_ridge,P4_state_log_age_scalar,pulse_10ms_resistance_k1,c_rate_holdout_fold,1,0.004833818568120902,0.0045571521757596005,0.007991884354128944,0.0048112291735743235,0.005405956510661643,143
primary,L1_ridge,P4_state_log_age_scalar,pulse_10ms_resistance_k1,condition_fold,5,0.0011989719401284478,0.0009555825698251352,0.0036968098459888164,0.0009157736221306129,0.0013528010073450487,3752
primary,L1_ridge,P4_state_log_age_scalar,pulse_10ms_resistance_k1,profile_holdout_fold,1,0.006187128724367694,0.00540869319276974,0.010289610743608998,0.00547985717666107,0.005744187890776714,734
primary,L1_ridge,P4_state_log_age_scalar,pulse_10ms_resistance_k1,temperature_holdout_fold,2,0.0013082784396035775,0.00103409850049343,0.00368576997774689,0.0010614988955118998,0.0015359710097561368,1756
primary,L1_ridge,P4_state_log_age_scalar,pulse_10ms_resistance_k1,voltage_window_holdout_fold,3,0.0019108044609158787,0.0014576275154050515,0.008262039974910776,0.0018319389374238258,0.0023369926299059026,3752
primary,L1_ridge,P4_state_log_age_scalar,pulse_1s_resistance_k1,c_rate_holdout_fold,1,0.00510654632738504,0.005073365242403991,0.007576695787448625,0.005229894660452916,0.005694541831497624,143
