feature_group,horizon_checkups,mean_condition_mean_mae,mean_mae,mean_rmse,mean_worst_condition_mae,metric_rows,model_level,split_name,target,total_test_rows
K2_nominal_condition,2,0.17176423361644352,0.09310438290874236,0.1492122872567427,0.5335855896301759,12,MH2_ridge,all,delta_capacity_Ah_h,9723
K4_prior_trajectory_shape,2,0.18584490482721128,0.08322336389259453,0.1575658760353248,0.6736877057482213,12,MH2_ridge,all,delta_capacity_Ah_h,9723
K5_nominal_plus_trajectory_shape,2,0.16965878933511735,0.10039551740994597,0.157002097065679,0.49575490614045115,12,MH2_ridge,all,delta_capacity_Ah_h,9723
K0_prior_capacity,2,0.19408668266448995,0.09081561520885019,0.17213886412895296,0.6823878826390811,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9723
K1_prior_state_time,2,0.18159750339831185,0.07907900323425975,0.15711510403980353,0.677435911848992,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9723
K2_nominal_condition,2,0.1348169341251768,0.07220432936944944,0.14412883378870242,0.41230156586474825,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9723
K4_prior_trajectory_shape,2,0.1810473492448409,0.08039912710668597,0.15654695889168455,0.666882297432175,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9723
K5_nominal_plus_trajectory_shape,2,0.1354595662259008,0.07424509115173103,0.14277986657694236,0.4066362875842208,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9723
persistence,3,0.2892065157069269,0.16619467913951227,0.2582612539332681,0.8342088747053872,12,MH0_persistence,all,delta_capacity_Ah_h,9089
prior_slope,3,0.1874776156873855,0.09323291675860935,0.18236844128478744,0.6480419185185186,12,MH1_prior_slope_linear,all,delta_capacity_Ah_h,9089
K0_prior_capacity,3,0.21183758081324225,0.12695649085328548,0.19995501970413665,0.6645040747658172,12,MH2_ridge,all,delta_capacity_Ah_h,9089
K1_prior_state_time,3,0.18265639738829276,0.10711662392370537,0.18152104994127427,0.5582472792511852,12,MH2_ridge,all,delta_capacity_Ah_h,9089
K2_nominal_condition,3,0.16080436605763979,0.10482793235694644,0.16771496142009437,0.4804257015884799,12,MH2_ridge,all,delta_capacity_Ah_h,9089
K4_prior_trajectory_shape,3,0.1725184677454774,0.10011840127164495,0.17858008754703023,0.5333680522823013,12,MH2_ridge,all,delta_capacity_Ah_h,9089
K5_nominal_plus_trajectory_shape,3,0.15750508652527442,0.1056301803946969,0.16816635304575012,0.4776513084587138,12,MH2_ridge,all,delta_capacity_Ah_h,9089
K0_prior_capacity,3,0.16727727311818505,0.10087361034813662,0.17928600426518662,0.47459576327629405,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9089
K1_prior_state_time,3,0.15703283213044886,0.09114563573925034,0.1709564142268533,0.47283083176326435,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9089
K2_nominal_condition,3,0.13923694224378477,0.08072773747459237,0.1580111754603714,0.4665778218428706,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9089
K4_prior_trajectory_shape,3,0.1572295744074499,0.093333964958716,0.16871873013925007,0.45140315607540366,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9089
K5_nominal_plus_trajectory_shape,3,0.14675433096737905,0.08781866849855642,0.16397579566724774,0.4406133713643557,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9089
persistence,5,0.4508759875411789,0.2204815185860078,0.32160974227196193,1.4352063991161617,12,MH0_persistence,all,delta_capacity_Ah_h,7975
