checkup_bin,condition_count,hgb_k2_mae,hgb_minus_prior_slope_mae,hgb_wins_fraction,horizon_checkups,n_rows,prior_delta_abs_bin,prior_slope_mae,soh_bin,split_name,target
checkup_8_12,1,0.06899226324343033,0.06658526324343095,0.0,3,1,prior_abs_0_02_0_05,0.002406999999999382,soh_0_80_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_8_12,2,0.3219029738953372,0.13038747389533678,0.5,3,2,prior_abs_ge_0_05,0.1915155000000004,soh_0_80_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_0_3,3,0.19349673472827542,-0.02263167703643096,0.5882352941176471,5,17,prior_abs_ge_0_05,0.21612841176470637,soh_ge_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_0_3,5,0.4897030157962668,-0.4748004008703998,1.0,5,12,prior_abs_lt_0_005,0.9645034166666666,soh_ge_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_4_7,2,0.25853372351778897,0.04534472351778951,0.25,5,4,prior_abs_0_02_0_05,0.21318899999999946,soh_0_80_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_4_7,2,0.294323375667643,0.03464307566764291,0.4,5,10,prior_abs_ge_0_05,0.2596803000000001,soh_0_80_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_8_12,1,0.2912029661832243,0.018613966183225195,0.0,5,1,prior_abs_0_02_0_05,0.2725889999999991,soh_0_70_0_80,c_rate_holdout_fold,capacity_Ah_kh
checkup_8_12,1,0.24611467882570306,-0.2572649878409641,1.0,5,3,prior_abs_ge_0_05,0.5033796666666671,soh_0_70_0_80,c_rate_holdout_fold,capacity_Ah_kh
checkup_8_12,1,0.046478533671370226,0.039245533671369515,0.0,5,1,prior_abs_0_02_0_05,0.007233000000000711,soh_0_80_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_8_12,2,0.20654357579654647,-0.02348042420345353,0.5,5,2,prior_abs_ge_0_05,0.230024,soh_0_80_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_0_3,3,0.2820680055771688,0.005115672243835412,0.3333333333333333,1,6,prior_abs_ge_0_05,0.2769523333333334,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,8,0.14954293465343627,-0.01648506534656366,0.5263157894736842,1,19,prior_abs_ge_0_05,0.16602799999999993,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,9,0.09619340659225814,-0.040496136886002815,0.8260869565217391,1,46,prior_abs_ge_0_05,0.13668954347826096,soh_ge_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,12,0.07284845100447276,-0.14416213232886055,1.0,1,36,prior_abs_lt_0_005,0.2170105833333333,soh_ge_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_13_plus,1,0.1342124278253628,-0.060975572174637116,1.0,1,1,prior_abs_ge_0_05,0.19518799999999992,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_13_plus,1,0.122200485853233,0.00032281918656622277,0.6666666666666666,1,3,prior_abs_ge_0_05,0.12187766666666677,soh_lt_0_70,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,4,0.23169199053198977,-0.12691620946801027,0.8,1,5,prior_abs_ge_0_05,0.35860820000000004,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,2,0.0261908114739769,0.006194411473976941,0.0,1,5,prior_abs_0_02_0_05,0.01999639999999996,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,3,0.13405797843887787,0.004233103438877894,0.4375,1,16,prior_abs_ge_0_05,0.12982487499999998,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,2,0.2199977673678631,-0.19323656596547037,1.0,1,3,prior_abs_ge_0_05,0.4132343333333335,soh_lt_0_70,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.018724253376055787,0.006148753376055714,0.5,1,2,prior_abs_0_02_0_05,0.012575500000000073,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,2,0.059560795374092916,0.032513670374092994,0.125,1,8,prior_abs_ge_0_05,0.027047124999999922,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.015002543490075307,0.004939543490075596,0.0,1,1,prior_abs_0_02_0_05,0.010062999999999711,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
