aging_mode,feature_group,horizon_checkups,mae,mean_checkup_k,mean_soh_k,model_level,n_rows,nominal_charge_C_rate,nominal_discharge_C_rate,nominal_temperature_C,parameter_set,profile_label,target,voltage_window_family
cyclic,K0_prior_capacity,1,0.03728659393548432,6.2894736842105265,0.8394096333310406,MH3_hist_gradient_boosting,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
cyclic,K1_prior_state_time,1,0.05171454723737258,6.2894736842105265,0.8394096333310406,MH3_hist_gradient_boosting,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
cyclic,K2_nominal_condition,1,0.04797843149984814,6.2894736842105265,0.8394096333310406,MH3_hist_gradient_boosting,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
cyclic,K3_oracle_exposure_diagnostic,1,0.043779300306099875,6.2894736842105265,0.8394096333310406,MH3_hist_gradient_boosting,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
cyclic,persistence,2,0.9680043333333335,0.0,1.0,MH0_persistence,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,prior_slope,2,0.9680043333333335,0.0,1.0,MH1_prior_slope_linear,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K0_prior_capacity,2,0.8633301321927034,0.0,1.0,MH2_ridge,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K1_prior_state_time,2,0.8291541470104363,0.0,1.0,MH2_ridge,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K2_nominal_condition,2,0.5661380940649076,0.0,1.0,MH2_ridge,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K3_oracle_exposure_diagnostic,2,0.3515575499580707,0.0,1.0,MH2_ridge,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K0_prior_capacity,2,0.7549816518175576,0.0,1.0,MH3_hist_gradient_boosting,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K1_prior_state_time,2,0.7607712660762771,0.0,1.0,MH3_hist_gradient_boosting,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K2_nominal_condition,2,0.2115549202368611,0.0,1.0,MH3_hist_gradient_boosting,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K3_oracle_exposure_diagnostic,2,0.4872065404149765,0.0,1.0,MH3_hist_gradient_boosting,3,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,persistence,2,0.8614799999999998,0.0,1.0,MH0_persistence,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,prior_slope,2,0.8614799999999998,0.0,1.0,MH1_prior_slope_linear,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,2,0.7541811744873583,0.0,1.0,MH2_ridge,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,2,0.7246358407234301,0.0,1.0,MH2_ridge,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,2,0.45360470325516644,0.0,1.0,MH2_ridge,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,2,0.2650643461903788,0.0,1.0,MH2_ridge,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,2,0.6743151564733081,0.0,1.0,MH3_hist_gradient_boosting,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,2,0.6696082863356696,0.0,1.0,MH3_hist_gradient_boosting,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,2,0.2855422666612144,0.0,1.0,MH3_hist_gradient_boosting,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,2,0.5002027139329535,0.0,1.0,MH3_hist_gradient_boosting,1,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,persistence,2,0.752523,0.5,0.9793639453848196,MH0_persistence,6,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,prior_slope,2,0.6307396666666666,0.5,0.9793639453848196,MH1_prior_slope_linear,6,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,K0_prior_capacity,2,0.637570890475531,0.5,0.9793639453848196,MH2_ridge,6,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,K1_prior_state_time,2,0.5397399148211919,0.5,0.9793639453848196,MH2_ridge,6,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,K2_nominal_condition,2,0.3266636893664799,0.5,0.9793639453848196,MH2_ridge,6,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,K3_oracle_exposure_diagnostic,2,0.32018281916285735,0.5,0.9793639453848196,MH2_ridge,6,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,K0_prior_capacity,2,0.4692192823910921,0.5,0.9793639453848196,MH3_hist_gradient_boosting,6,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,K1_prior_state_time,2,0.485109708115969,0.5,0.9793639453848196,MH3_hist_gradient_boosting,6,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,K2_nominal_condition,2,0.38352713192335486,0.5,0.9793639453848196,MH3_hist_gradient_boosting,6,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
