beats_both_references,beats_persistence,beats_prior_slope,claim_scope,gain_vs_persistence,gain_vs_prior_slope,hgb_k2_mean_mae,horizon_checkups,persistence_mean_mae,prior_slope_mean_mae,split_name,target
False,True,False,prospective_diagnostic,0.030639150331038523,-0.0007068629668338031,0.02947952919023807,1,0.06011867952127659,0.028772666223404266,profile_holdout_fold,delta_capacity_Ah_h
False,True,False,prospective_diagnostic,0.04752428978429767,-0.0024786347967079153,0.059250081724082214,2,0.10677437150837989,0.0567714469273743,profile_holdout_fold,delta_capacity_Ah_h
False,True,False,prospective_diagnostic,0.05835796948090917,-0.0010415466955613767,0.08535390698967905,3,0.14371187647058822,0.08431236029411768,profile_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.07431527196995086,0.002960181509424592,0.1225357691484702,5,0.19685104111842106,0.1254959506578948,profile_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.03449647554979993,0.0024499811427918447,0.03451939082486314,1,0.06901586637466307,0.036969371967654985,temperature_holdout_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.05907893778784461,0.008715541454217768,0.0562628253679435,2,0.1153417631557881,0.06497836682216127,temperature_holdout_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.07297680261874687,0.00810444745582195,0.0690667540861761,3,0.14204355670492297,0.07717120154199805,temperature_holdout_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.09594799183431521,0.01405680931465944,0.09031376653819684,5,0.18626175837251205,0.10437057585285628,temperature_holdout_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.038281418990399094,0.0062349245833910084,0.030734447384263976,1,0.06901586637466307,0.036969371967654985,temperature_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.0623486093559415,0.011985213022314659,0.05299315379984661,2,0.1153417631557881,0.06497836682216127,temperature_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.078146035635522,0.013273680472597083,0.06389752106940097,3,0.14204355670492297,0.07717120154199805,temperature_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.10601589312183757,0.024124710602181798,0.08024586525067448,5,0.18626175837251205,0.10437057585285628,temperature_holdout_fold,delta_capacity_Ah_h
False,False,False,prospective_diagnostic,-0.004586652431290923,-0.03513937022035188,0.06577505392295589,1,0.06118840149166497,0.030635683702604014,voltage_window_holdout_fold,capacity_Ah_kh
False,True,False,prospective_diagnostic,0.0035900536718056902,-0.04449649503331347,0.10170205866482657,2,0.10529211233663226,0.0572055636315131,voltage_window_holdout_fold,capacity_Ah_kh
False,True,False,prospective_diagnostic,0.012733538864457869,-0.048951967346410385,0.12089850576324536,3,0.13363204462770323,0.07194653841683497,voltage_window_holdout_fold,capacity_Ah_kh
False,True,False,prospective_diagnostic,0.015597805801058545,-0.061227505486569425,0.1667228221403961,5,0.18232062794145465,0.10549531665382668,voltage_window_holdout_fold,capacity_Ah_kh
False,True,False,prospective_diagnostic,0.017629671472854547,-0.012923046316206409,0.04355873001881042,1,0.06118840149166497,0.030635683702604014,voltage_window_holdout_fold,delta_capacity_Ah_h
False,True,False,prospective_diagnostic,0.02254295879374532,-0.025543589911373836,0.08274915354288694,2,0.10529211233663226,0.0572055636315131,voltage_window_holdout_fold,delta_capacity_Ah_h
False,True,False,prospective_diagnostic,0.05445008336024246,-0.007235422850625797,0.07918196126746077,3,0.13363204462770323,0.07194653841683497,voltage_window_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.08150080168964306,0.004675490402015092,0.10081982625181159,5,0.18232062794145465,0.10549531665382668,voltage_window_holdout_fold,delta_capacity_Ah_h
