bias,condition_mean_mae,condition_median_mae,feature_group,heldout_fold,horizon_checkups,mae,model_level,n_test,n_train,oracle_exposure_feature_group,rmse,split_name,target,test_conditions,train_conditions,worst_condition_mae
-0.015768277823723465,0.08808789666238723,0.10699322503621099,K3_oracle_exposure_diagnostic,0,3,0.062244882473531285,MH2_ridge,750,2623,True,0.09875747027963068,condition_fold,capacity_Ah_kh,15,53,0.18600226255793476
-0.008529263919461884,0.12619477162629114,0.14104057911844867,K0_prior_capacity,0,3,0.08425434937719345,MH3_hist_gradient_boosting,750,2623,False,0.14765637492038955,condition_fold,capacity_Ah_kh,15,53,0.2651502932192344
-0.007660730374775722,0.11720430822730243,0.08626611923476155,K1_prior_state_time,0,3,0.07223982456944274,MH3_hist_gradient_boosting,750,2623,False,0.1327288259056311,condition_fold,capacity_Ah_kh,15,53,0.309169306792725
-0.011937141099658639,0.1159001362933628,0.09839865956021702,K2_nominal_condition,0,3,0.06792377828838117,MH3_hist_gradient_boosting,750,2623,False,0.13215370350544364,condition_fold,capacity_Ah_kh,15,53,0.27287329970537705
-0.01401000453712165,0.08502777877333714,0.07182604306116586,K3_oracle_exposure_diagnostic,0,3,0.053618938962895414,MH3_hist_gradient_boosting,750,2623,True,0.10730004332722227,condition_fold,capacity_Ah_kh,15,53,0.2777376957817323
0.14290753866666667,0.23986104987095733,0.17710818367346937,persistence,0,3,0.14402977066666667,MH0_persistence,750,2623,False,0.22700368785693914,condition_fold,delta_capacity_Ah_h,15,53,0.593300090909091
0.026668826666666666,0.13524773707001098,0.09953965789473691,prior_slope,0,3,0.07766132266666671,MH1_prior_slope_linear,750,2623,False,0.1597498271151824,condition_fold,delta_capacity_Ah_h,15,53,0.3241519166666668
-0.013106264801120475,0.15956113228997584,0.15236347553200136,K0_prior_capacity,0,3,0.10924842767534203,MH2_ridge,750,2623,False,0.16075327856021324,condition_fold,delta_capacity_Ah_h,15,53,0.36277290828132275
-0.02167554764350159,0.1296764368568439,0.11252460940146751,K1_prior_state_time,0,3,0.08612793940035737,MH2_ridge,750,2623,False,0.14268191078018896,condition_fold,delta_capacity_Ah_h,15,53,0.2803926446512409
0.00634638828242889,0.1237013830893257,0.1327435713112708,K2_nominal_condition,0,3,0.08835464044452496,MH2_ridge,750,2623,False,0.1359753016792862,condition_fold,delta_capacity_Ah_h,15,53,0.23898515475577672
-0.015282809282878933,0.08800580360894315,0.10687018488442869,K3_oracle_exposure_diagnostic,0,3,0.06206612625298904,MH2_ridge,750,2623,True,0.09876526125729207,condition_fold,delta_capacity_Ah_h,15,53,0.18553585932315567
-0.009973186775561709,0.12340610412438865,0.14138787123275265,K0_prior_capacity,0,3,0.08260766212152046,MH3_hist_gradient_boosting,750,2623,False,0.14716499753629245,condition_fold,delta_capacity_Ah_h,15,53,0.2570921823663359
-0.009491811872406504,0.10623982852600088,0.0890132639584087,K1_prior_state_time,0,3,0.06635899715166052,MH3_hist_gradient_boosting,750,2623,False,0.12837335757203677,condition_fold,delta_capacity_Ah_h,15,53,0.30481031998531505
