method_id,eval_target,target_path,split_name,heldout_fold,model_setting_id,feature_group,source_artifact,row_count,condition_count,condition_mean_mae
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,1130,28,0.09321823903357453
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,2,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,1371,32,0.11245078548114436
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,2,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,1371,32,0.12252652424724561
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,2,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,1371,32,0.1123328863061209
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,2,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,1371,32,0.1254503324521728
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,3,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,1326,16,0.016067319493402087
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,3,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,1326,16,0.165193581622995
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,3,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,1326,16,0.02753542029129371
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,3,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,1326,16,0.17164583955402268
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,c_rate_holdout_fold,1,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,157,12,0.12518636786777063
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,c_rate_holdout_fold,1,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,157,12,0.12244211150469492
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,c_rate_holdout_fold,1,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,157,12,0.12070917425869365
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,c_rate_holdout_fold,1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,157,12,0.1304566767334516
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,0,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,844,16,0.049542362568819345
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,0,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,844,16,0.046556445210339005
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,0,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,844,16,0.05078871864576507
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,0,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,844,16,0.04669669381219806
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,1,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,865,15,0.04127612923393777
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,1,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,865,15,0.03989094716143135
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,1,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,865,15,0.04285578429615878
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,865,15,0.040644349099055295
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,2,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,892,15,0.043338708364908045
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,2,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,892,15,0.04458338582344426
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,2,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,892,15,0.04403625185099595
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,2,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,892,15,0.04789014786310488
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,3,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,509,15,0.07445818513387871
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,3,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,509,15,0.08010937726556579
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,3,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,509,15,0.07773558946563801
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,3,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,509,15,0.07811099718233373
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,4,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,717,15,0.06101794107932577
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,4,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,717,15,0.05672286548112605
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,4,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,717,15,0.05281297947280093
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,condition_fold,4,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,717,15,0.055560574275587644
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,profile_holdout_fold,1,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,752,12,0.08436802390070613
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,profile_holdout_fold,1,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,752,12,0.09760217173253728
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,profile_holdout_fold,1,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,752,12,0.08436802390070613
