auprc,auroc,brier,ece_10_bin,ece_10_bin_equal_freq,feature_group,heldout_fold,label_policy,model_level,n_test,n_train,split_name,target,test_negative_count,test_positive_count
0.11998527384611733,0.5,0.1316337705840133,0.06793805532956512,0.12105784842100777,prior_rate,3,all_rows,B0_event_rate_prior,509,3318,condition_fold,event_within_2_checkups,433,76
0.3066103865329143,0.759967181232527,0.12190849471067676,0.06207597918342236,0.06044779491988762,distance_to_threshold,3,all_rows,B3_logistic_distance_baseline,509,3318,condition_fold,event_within_2_checkups,433,76
0.8343255913948172,0.9540841132855232,0.05916591015599613,0.044472544844174025,0.03152184041745335,W2_nominal,3,all_rows,B6_hist_gradient_boosting_classifier,509,3318,condition_fold,event_within_2_checkups,433,76
0.16018490836865504,0.5,0.17166204153711465,0.08904753615156243,0.16291621221864191,prior_rate,3,all_rows,B0_event_rate_prior,509,3318,condition_fold,event_within_3_checkups,404,105
0.3822482723194554,0.7521687883074022,0.15409885545433874,0.08076366781490861,0.09079657326186305,distance_to_threshold,3,all_rows,B3_logistic_distance_baseline,509,3318,condition_fold,event_within_3_checkups,404,105
0.8722055500024163,0.959052333804809,0.07292569904886302,0.055043668879620776,0.04674731606261856,W2_nominal,3,all_rows,B6_hist_gradient_boosting_classifier,509,3318,condition_fold,event_within_3_checkups,404,105
0.03865028107600259,0.5,0.04772615873660509,0.0061577580755828795,0.03632364218541888,prior_rate,4,all_rows,B0_event_rate_prior,717,3110,condition_fold,event_within_1_checkup,681,36
0.18301719111514286,0.8093082068852994,0.04602162955988409,0.01440890830160728,0.02667053585933337,distance_to_threshold,4,all_rows,B3_logistic_distance_baseline,717,3110,condition_fold,event_within_1_checkup,681,36
0.8564211350985232,0.9844999184206232,0.01764669650879019,0.015278037395582651,0.0130993972784076,W2_nominal,4,all_rows,B6_hist_gradient_boosting_classifier,717,3110,condition_fold,event_within_1_checkup,681,36
0.07611394444537398,0.5,0.09048622490457932,0.012315516151165759,0.07264728437083776,prior_rate,4,all_rows,B0_event_rate_prior,717,3110,condition_fold,event_within_2_checkups,645,72
0.22495382765756317,0.7425064599483204,0.0863071725556153,0.032426237551591526,0.04571079856385937,distance_to_threshold,4,all_rows,B3_logistic_distance_baseline,717,3110,condition_fold,event_within_2_checkups,645,72
0.8303043079251882,0.9748815676141257,0.04136103471581222,0.02952665884926602,0.027509847470187386,W2_nominal,4,all_rows,B6_hist_gradient_boosting_classifier,717,3110,condition_fold,event_within_2_checkups,645,72
0.100864652042616,0.5,0.11913297052182054,0.011065667505280569,0.09641144999484275,prior_rate,4,all_rows,B0_event_rate_prior,717,3110,condition_fold,event_within_3_checkups,618,99
0.2820252886354657,0.74203197018731,0.111296467608903,0.038500167906446336,0.05810278244855672,distance_to_threshold,4,all_rows,B3_logistic_distance_baseline,717,3110,condition_fold,event_within_3_checkups,618,99
0.8845356624287443,0.9764146317544375,0.04343164759394168,0.02247294699121468,0.020111729758782573,W2_nominal,4,all_rows,B6_hist_gradient_boosting_classifier,717,3110,condition_fold,event_within_3_checkups,618,99
0.04034820124266447,0.5,0.054843130612823664,0.015812098363090686,0.04943273905996759,prior_rate,1,all_rows,B0_event_rate_prior,742,3085,temperature_holdout_fold,event_within_1_checkup,699,43
0.24430596316407385,0.8808596999035166,0.05061673398155381,0.019738128937667528,0.03470117010559433,distance_to_threshold,1,all_rows,B3_logistic_distance_baseline,742,3085,temperature_holdout_fold,event_within_1_checkup,699,43
0.8137113798727624,0.9737831453571547,0.022017675477511545,0.022671968219681385,0.016052270660014554,W2_nominal,1,all_rows,B6_hist_gradient_boosting_classifier,742,3085,temperature_holdout_fold,event_within_1_checkup,699,43
0.0797227195419508,0.5,0.10346955749172593,0.03162419672618137,0.09886547811993518,prior_rate,1,all_rows,B0_event_rate_prior,742,3085,temperature_holdout_fold,event_within_2_checkups,656,86
0.3281661516455754,0.8294100964265456,0.09428852505756177,0.04927293237119786,0.05870198593915927,distance_to_threshold,1,all_rows,B3_logistic_distance_baseline,742,3085,temperature_holdout_fold,event_within_2_checkups,656,86
0.8940713186785164,0.9812110039705049,0.03887565145008135,0.03473164119367144,0.028706539911018725,W2_nominal,1,all_rows,B6_hist_gradient_boosting_classifier,742,3085,temperature_holdout_fold,event_within_2_checkups,656,86
0.10588207597935431,0.5,0.13303667653412557,0.0338058687589283,0.1315643470929242,prior_rate,1,all_rows,B0_event_rate_prior,742,3085,temperature_holdout_fold,event_within_3_checkups,626,116
