beats_all_references,beats_k2,beats_persistence,beats_prior_slope,candidate_feature_group,candidate_mean_mae,claim_scope,gain_vs_k2,gain_vs_persistence,gain_vs_prior_slope,horizon_checkups,k2_mean_mae,persistence_mean_mae,prior_slope_mean_mae,split_name,target
False,False,True,True,K5_nominal_plus_trajectory_shape,0.03527381238922202,prospective_trajectory_diagnostic,-0.0007544215643588773,0.033742053985441056,0.0016955595784329675,1,0.03451939082486314,0.06901586637466307,0.036969371967654985,temperature_holdout_fold,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.06901415434718765,prospective_trajectory_diagnostic,-0.01275132897924415,0.04632760880860046,-0.0040357875250263825,2,0.0562628253679435,0.1153417631557881,0.06497836682216127,temperature_holdout_fold,capacity_Ah_kh
False,False,True,True,K5_nominal_plus_trajectory_shape,0.05954989437121137,prospective_trajectory_diagnostic,-0.0032870690032678757,0.05579186878457673,0.005428472450949892,2,0.0562628253679435,0.1153417631557881,0.06497836682216127,temperature_holdout_fold,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.0772146634336438,prospective_trajectory_diagnostic,-0.008147909347467702,0.06482889327127916,-4.346189164575187e-05,3,0.0690667540861761,0.14204355670492297,0.07717120154199805,temperature_holdout_fold,capacity_Ah_kh
False,False,True,True,K5_nominal_plus_trajectory_shape,0.07439158101628437,prospective_trajectory_diagnostic,-0.005324826930108273,0.0676519756886386,0.0027796205257136775,3,0.0690667540861761,0.14204355670492297,0.07717120154199805,temperature_holdout_fold,capacity_Ah_kh
False,False,True,True,K4_prior_trajectory_shape,0.09671839481839054,prospective_trajectory_diagnostic,-0.006404628280193697,0.08954336355412151,0.007652181034465744,5,0.09031376653819684,0.18626175837251205,0.10437057585285628,temperature_holdout_fold,capacity_Ah_kh
True,True,True,True,K5_nominal_plus_trajectory_shape,0.08819832932517269,prospective_trajectory_diagnostic,0.0021154372130241517,0.09806342904733936,0.016172246527683592,5,0.09031376653819684,0.18626175837251205,0.10437057585285628,temperature_holdout_fold,capacity_Ah_kh
False,False,True,True,K4_prior_trajectory_shape,0.03487923970243488,prospective_trajectory_diagnostic,-0.004144792318170904,0.03413662667222819,0.0020901322652201043,1,0.030734447384263976,0.06901586637466307,0.036969371967654985,temperature_holdout_fold,delta_capacity_Ah_h
True,True,True,True,K5_nominal_plus_trajectory_shape,0.029869285635793406,prospective_trajectory_diagnostic,0.00086516174847057,0.03914658073886967,0.007100086331861578,1,0.030734447384263976,0.06901586637466307,0.036969371967654985,temperature_holdout_fold,delta_capacity_Ah_h
False,False,True,True,K4_prior_trajectory_shape,0.06424499410797839,prospective_trajectory_diagnostic,-0.011251840308131783,0.051096769047809715,0.0007333727141828755,2,0.05299315379984661,0.1153417631557881,0.06497836682216127,temperature_holdout_fold,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.053937551897249233,prospective_trajectory_diagnostic,-0.0009443980974026267,0.06140421125853887,0.011040814924912032,2,0.05299315379984661,0.1153417631557881,0.06497836682216127,temperature_holdout_fold,delta_capacity_Ah_h
False,False,True,True,K4_prior_trajectory_shape,0.07298548878754178,prospective_trajectory_diagnostic,-0.009087967718140813,0.06905806791738119,0.0041857127544562694,3,0.06389752106940097,0.14204355670492297,0.07717120154199805,temperature_holdout_fold,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.06638756382263492,prospective_trajectory_diagnostic,-0.0024900427532339453,0.07565599288228805,0.010783637719363137,3,0.06389752106940097,0.14204355670492297,0.07717120154199805,temperature_holdout_fold,delta_capacity_Ah_h
False,False,True,True,K4_prior_trajectory_shape,0.08909381096050559,prospective_trajectory_diagnostic,-0.008847945709831107,0.09716794741200646,0.015276764892350692,5,0.08024586525067448,0.18626175837251205,0.10437057585285628,temperature_holdout_fold,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.08127863132877942,prospective_trajectory_diagnostic,-0.0010327660781049436,0.10498312704373262,0.023091944524076854,5,0.08024586525067448,0.18626175837251205,0.10437057585285628,temperature_holdout_fold,delta_capacity_Ah_h
False,False,False,False,K4_prior_trajectory_shape,0.07198360562047966,prospective_trajectory_diagnostic,-0.0062085516975237676,-0.01079520412881469,-0.041347921917875646,1,0.06577505392295589,0.06118840149166497,0.030635683702604014,voltage_window_holdout_fold,capacity_Ah_kh
False,False,False,False,K5_nominal_plus_trajectory_shape,0.06980509392275497,prospective_trajectory_diagnostic,-0.004030039999799076,-0.00861669243109,-0.039169410220150955,1,0.06577505392295589,0.06118840149166497,0.030635683702604014,voltage_window_holdout_fold,capacity_Ah_kh
False,True,True,False,K4_prior_trajectory_shape,0.09818824700258659,prospective_trajectory_diagnostic,0.0035138116622399768,0.007103865334045667,-0.04098268337107349,2,0.10170205866482657,0.10529211233663226,0.0572055636315131,voltage_window_holdout_fold,capacity_Ah_kh
False,True,True,False,K5_nominal_plus_trajectory_shape,0.09909469167028472,prospective_trajectory_diagnostic,0.0026073669945418515,0.006197420666347542,-0.041889128038771616,2,0.10170205866482657,0.10529211233663226,0.0572055636315131,voltage_window_holdout_fold,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.12681203751872086,prospective_trajectory_diagnostic,-0.005913531755475501,0.006820007108982368,-0.05486549910188589,3,0.12089850576324536,0.13363204462770323,0.07194653841683497,voltage_window_holdout_fold,capacity_Ah_kh
False,False,True,False,K5_nominal_plus_trajectory_shape,0.13083772360064172,prospective_trajectory_diagnostic,-0.00993921783739636,0.002794321027061508,-0.058891185183806746,3,0.12089850576324536,0.13363204462770323,0.07194653841683497,voltage_window_holdout_fold,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.1671002175174684,prospective_trajectory_diagnostic,-0.00037739537707229265,0.015220410423986253,-0.06160490086364172,5,0.1667228221403961,0.18232062794145465,0.10549531665382668,voltage_window_holdout_fold,capacity_Ah_kh
False,False,True,False,K5_nominal_plus_trajectory_shape,0.1738528084378439,prospective_trajectory_diagnostic,-0.0071299862974477934,0.008467819503610752,-0.06835749178401722,5,0.1667228221403961,0.18232062794145465,0.10549531665382668,voltage_window_holdout_fold,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.04532378255243366,prospective_trajectory_diagnostic,-0.001765052533623239,0.015864618939231308,-0.014688098849829648,1,0.04355873001881042,0.06118840149166497,0.030635683702604014,voltage_window_holdout_fold,delta_capacity_Ah_h
