capacity_abs_residual,capacity_residual,cold_c_rate_subgroup,delta_pulse_10ms_resistance,delta_pulse_1s_resistance,feature_group,model_level,nominal_temperature_C,parameter_set,split_name,target,voltage_window_family
0.009201432267015086,0.009201432267015086,True,-0.0009480000000000009,-8.500000000000174e-05,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.062367027019127,0.062367027019127,True,0.0014490000000000024,0.0016219999999999984,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.1418599269450702,0.1418599269450702,True,0.003941999999999998,0.004462000000000001,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.15904998171597096,0.15904998171597096,True,0.0070230000000000015,0.006933000000000005,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.09451954983333044,0.09451954983333044,False,0.0004609999999999996,0.0006379999999999997,F1_state_time,L2_hist_gradient_boosting,25.0,44,c_rate_holdout_fold,capacity_Ah_k1,approx_0_100
0.18600415254404323,0.18600415254404323,False,0.005651,0.006376,F1_state_time,L2_hist_gradient_boosting,25.0,44,c_rate_holdout_fold,capacity_Ah_k1,approx_0_100
0.09660454983333056,0.09660454983333056,False,0.000388999999999997,0.0010900000000000007,F1_state_time,L2_hist_gradient_boosting,25.0,44,c_rate_holdout_fold,capacity_Ah_k1,approx_0_100
0.0949608690542294,0.0949608690542294,False,0.0005270000000000032,0.0002599999999999998,F1_state_time,L2_hist_gradient_boosting,25.0,44,c_rate_holdout_fold,capacity_Ah_k1,approx_0_100
0.37490024968048763,0.37490024968048763,False,0.007010999999999996,0.008739000000000004,F1_state_time,L2_hist_gradient_boosting,25.0,44,c_rate_holdout_fold,capacity_Ah_k1,approx_0_100
0.016808060957167914,0.016808060957167914,False,-0.0010289999999999987,-0.0008959999999999975,F1_state_time,L2_hist_gradient_boosting,25.0,48,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.009747443768044484,0.009747443768044484,False,0.0015730000000000015,0.0018819999999999983,F1_state_time,L2_hist_gradient_boosting,25.0,48,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.1892880157690704,0.1892880157690704,False,0.0023129999999999956,0.002680000000000002,F1_state_time,L2_hist_gradient_boosting,25.0,48,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.023891741736268735,0.023891741736268735,False,-4.49999999999999e-05,0.00022099999999999898,F1_state_time,L2_hist_gradient_boosting,25.0,48,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.002975073260650607,0.002975073260650607,False,-0.00016900000000000248,0.0008030000000000016,F1_state_time,L2_hist_gradient_boosting,25.0,48,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.0005503363220160651,0.0005503363220160651,False,0.0007980000000000036,0.00028800000000000006,F1_state_time,L2_hist_gradient_boosting,25.0,48,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.004588192665932578,0.004588192665932578,False,0.0006899999999999962,0.0020659999999999984,F1_state_time,L2_hist_gradient_boosting,25.0,48,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.01642006095716786,0.01642006095716786,False,-0.0004420000000000014,-0.00019299999999999873,F1_state_time,L2_hist_gradient_boosting,25.0,48,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
