feature_group,inner_validation_rows,max_relative_degradation,mean_candidate_condition_mae,mean_gain_vs_r0,model_level,model_setting_id,outer_heldout_fold,outer_split_name,passes_inner_guardrail,schema_version,selected_by_train_only_rule,selection_policy,selection_score,target,weight_strength
F8_timestamp_weighted_stress,11,0.11297882047747192,0.08284480215876516,0.001354823932126486,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,3,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.06162399654534543,delta_capacity_Ah,1.0
F4_state_log_age_scalar,11,0.4081857063196788,0.0731542861138424,0.002427459162828639,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,4,condition_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.35575824715685017,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.07510967757121789,0.07127118693297145,0.004310558343699602,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,4,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.020799119227518287,delta_capacity_Ah,0.5
F4_state_log_age_scalar,11,0.10433140859358753,0.072202888963065,0.003378856313606049,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,4,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.050952552279981474,delta_capacity_Ah,0.75
F4_state_log_age_scalar,11,0.13442756008897477,0.07199113583172277,0.003590609444948284,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,4,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.08083695064402649,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,11,0.06357200391252305,0.09043882472052643,0.0021188457724829134,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,4,condition_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.011453158140040129,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,11,0.07873714734648482,0.08989092265788855,0.002666747835120801,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,4,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.026070399511364015,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.08391077150320304,0.08998645141715454,0.00257121907585481,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,4,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.03133955242734823,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,11,0.1251789414976592,0.08824302864843761,0.004314641844571744,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,4,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.07086429965308746,delta_capacity_Ah,1.0
F4_state_log_age_scalar,11,0.040857120027944505,0.06379046283406527,0.0011190742677950139,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,temperature_holdout_fold,True,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,0.0011190742677950139,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.04160958696933365,0.06347707598503462,0.001432461116825675,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,temperature_holdout_fold,True,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,0.001432461116825675,delta_capacity_Ah,0.5
F4_state_log_age_scalar,11,0.22273406565173504,0.06432593561922438,0.0005836014826358997,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.17215046416909915,delta_capacity_Ah,0.75
F4_state_log_age_scalar,11,0.100764346241866,0.06342293038999909,0.0014866067118611936,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.049277739530004805,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,11,0.11150061466676423,0.07890088496634373,0.001186519908748196,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.060314094758016024,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,11,0.11823322710017216,0.07772030981472113,0.002367095060370793,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.06586613203980136,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.12402117911874586,0.07641093962837911,0.0036764652467128163,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.07034471387203303,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,11,0.11771142524028741,0.07482940786975599,0.0052579970053359465,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.06245342823495146,delta_capacity_Ah,1.0
F4_state_log_age_scalar,11,0.10334426291023298,0.07332460609310251,3.324420538735909e-05,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.053311018704845614,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.1229572239662482,0.07360810459110599,-0.00025025429261611465,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.07320747825886431,delta_capacity_Ah,0.5
