artifact,split_name,target,horizon_checkups,model_level,feature_group,retention_fraction,rows_retained,conditions_retained,mae,rmse,mean_support_score,median_nearest_distance,claim_scope
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,0.25,31,7,0.6653106451612903,0.74039812760651,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K0_prior_capacity,1.0,121,12,0.30635844693314673,0.4420984219854066,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K0_prior_capacity,0.9,109,12,0.33101087566694914,0.46447558126478466,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K0_prior_capacity,0.75,91,12,0.3785888909174122,0.5042609226442296,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K0_prior_capacity,0.5,61,9,0.4136263932469408,0.5351659791817222,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K0_prior_capacity,0.25,31,7,0.6804673405981213,0.7276681842291518,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K1_prior_state_time,1.0,121,12,0.2563642992391295,0.38604919687168726,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K1_prior_state_time,0.9,109,12,0.2756551398009341,0.4050534838696528,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K1_prior_state_time,0.75,91,12,0.31687087440747036,0.4407459241236905,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K1_prior_state_time,0.5,61,9,0.3423871853751875,0.4661382814634232,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
