artifact,split_name,target,horizon_checkups,model_level,feature_group,retention_fraction,rows_retained,conditions_retained,positive_count,negative_count,brier,ece_10_bin,mean_support_score,median_nearest_distance,claim_scope
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W1_state_time,0.25,40,6,15,25,0.328684209101158,0.3314052809265438,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W2_nominal,1.0,157,12,32,125,0.16466459407133302,0.1589245419253478,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W2_nominal,0.9,142,12,30,112,0.1691888260029572,0.16640657645707618,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W2_nominal,0.75,118,11,28,90,0.18655853860460664,0.17267338952474975,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W2_nominal,0.5,79,9,21,58,0.18564069585726864,0.15962664941182558,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W2_nominal,0.25,40,6,15,25,0.20894828203802449,0.28770984285486856,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W0_capacity_state,1.0,157,12,32,125,0.1638793153550665,0.174185396273699,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W0_capacity_state,0.9,142,12,30,112,0.17889028301788748,0.1891280563561357,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W0_capacity_state,0.75,118,11,28,90,0.20767926803028394,0.2172875115933651,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W0_capacity_state,0.5,79,9,21,58,0.2492608735825873,0.2555270424135186,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W0_capacity_state,0.25,40,6,15,25,0.3508551751252313,0.36186962925321975,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W1_state_time,1.0,157,12,32,125,0.10110596221659242,0.10522972695871359,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W1_state_time,0.9,142,12,30,112,0.10714060140060354,0.12092538900797944,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W1_state_time,0.75,118,11,28,90,0.12877439201976085,0.1458464816847953,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W1_state_time,0.5,79,9,21,58,0.14668096195923866,0.16784427966781984,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W1_state_time,0.25,40,6,15,25,0.19057980803235347,0.22699194393557848,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W2_nominal,1.0,157,12,32,125,0.09463106479433119,0.10622355429646427,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W2_nominal,0.9,142,12,30,112,0.10371992982166033,0.11502934109863519,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W2_nominal,0.75,118,11,28,90,0.12435972123995141,0.13688823041299505,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W2_nominal,0.5,79,9,21,58,0.14332779799013626,0.1598070742348468,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B6_hist_gradient_boosting_classifier,W2_nominal,0.25,40,6,15,25,0.16621220938009243,0.19041701442340467,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B0_event_rate_prior,prior_rate,1.0,157,12,64,93,0.35090157826666796,0.3308040750446901,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B0_event_rate_prior,prior_rate,0.9,142,12,60,82,0.36350491309191263,0.3456959742103849,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B0_event_rate_prior,prior_rate,0.75,118,11,57,61,0.4147205986521869,0.4062116104004064,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B0_event_rate_prior,prior_rate,0.5,79,9,42,37,0.4558473580628454,0.4548063325630324,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B0_event_rate_prior,prior_rate,0.25,40,6,30,10,0.6406454127657046,0.6731607629427793,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B1_distance_to_threshold_rule,distance_to_threshold,1.0,157,12,64,93,0.3851823141946299,0.37862423853242855,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B1_distance_to_threshold_rule,distance_to_threshold,0.9,142,12,60,82,0.39241208646648584,0.38381433012242394,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B1_distance_to_threshold_rule,distance_to_threshold,0.75,118,11,57,61,0.40864037410224757,0.38690943518219184,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B1_distance_to_threshold_rule,distance_to_threshold,0.5,79,9,42,37,0.5001984898450073,0.4968492394715966,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B1_distance_to_threshold_rule,distance_to_threshold,0.25,40,6,30,10,0.5894445611742607,0.5500136239782016,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B2_linear_extrapolation_to_threshold,distance_to_threshold,1.0,157,12,64,93,0.3842033078609544,0.3777608080667836,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B2_linear_extrapolation_to_threshold,distance_to_threshold,0.9,142,12,60,82,0.3830926181639728,0.3728652569367157,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B2_linear_extrapolation_to_threshold,distance_to_threshold,0.75,118,11,57,61,0.36777641245349774,0.33918394679721064,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
