split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,train_conditions,exact_nominal_match_count,same_stressor_support_count,nearest_distance,nearest_parameter_set,support_score,claim_scope
condition_fold,4,69,profile,10.0,approx_0_100,0.0,0.0,3,61,0,11,0.25,66,0.8,train_only_support_diagnostic
condition_fold,0,70,profile,10.0,approx_0_100,0.0,0.0,4,60,0,6,0.25,67,0.8,train_only_support_diagnostic
condition_fold,3,71,profile,25.0,approx_0_100,0.0,0.0,2,61,0,9,0.375,68,0.7272727272727273,train_only_support_diagnostic
condition_fold,0,72,profile,25.0,approx_0_100,0.0,0.0,3,60,0,6,0.375,69,0.7272727272727273,train_only_support_diagnostic
condition_fold,0,73,profile,25.0,approx_0_100,0.0,0.0,4,60,0,6,0.375,76,0.7272727272727273,train_only_support_diagnostic
condition_fold,3,74,profile,40.0,approx_0_100,0.0,0.0,2,61,0,9,0.75,68,0.5714285714285714,train_only_support_diagnostic
condition_fold,0,75,profile,40.0,approx_0_100,0.0,0.0,3,60,0,6,0.75,69,0.5714285714285714,train_only_support_diagnostic
condition_fold,2,76,profile,40.0,approx_0_100,0.0,0.0,4,61,0,10,0.375,73,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,1,1,calendar,0.0,calendar_soc_10,0.0,0.0,0,57,0,0,0.3333333333333333,5,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,2,calendar,0.0,calendar_soc_50,0.0,0.0,0,57,0,0,0.3333333333333333,6,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,3,calendar,0.0,calendar_soc_90,0.0,0.0,0,57,0,0,0.3333333333333333,7,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,4,calendar,0.0,calendar_soc_100,0.0,0.0,0,57,0,0,0.3333333333333333,8,0.75,train_only_support_diagnostic
temperature_holdout_fold,0,5,calendar,10.0,calendar_soc_10,0.0,0.0,0,38,0,0,0.25,1,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,6,calendar,10.0,calendar_soc_50,0.0,0.0,0,38,0,0,0.25,2,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,7,calendar,10.0,calendar_soc_90,0.0,0.0,0,38,0,0,0.25,3,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,8,calendar,10.0,calendar_soc_100,0.0,0.0,0,38,0,0,0.25,4,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,9,calendar,25.0,calendar_soc_10,0.0,0.0,0,38,0,0,0.375,13,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,10,calendar,25.0,calendar_soc_50,0.0,0.0,0,38,0,0,0.375,14,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,11,calendar,25.0,calendar_soc_90,0.0,0.0,0,38,0,0,0.375,15,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,12,calendar,25.0,calendar_soc_100,0.0,0.0,0,38,0,0,0.375,16,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,2,13,calendar,40.0,calendar_soc_10,0.0,0.0,0,57,0,0,0.6,9,0.625,train_only_support_diagnostic
