cell_id,checkup_k,checkup_k_next,duration_delta_h,event_count,event_duration_h,interval_duration_h,max_gap_s,parameter_set,replicate_id
P068_3,3,4,295.3452777776078,117935,796.8677777776078,501.5225,30.0,68,3
P068_3,4,5,289.89166666649004,122147,793.7999999998234,503.90833333333336,30.0,68,3
P068_3,5,6,289.94972222204984,121991,794.6833333331609,504.7336111111111,30.0,68,3
P068_3,6,7,291.10527777760285,122922,795.5766666664917,504.4713888888889,30.0,68,3
P068_3,7,8,289.8649999998277,123422,793.7105555553833,503.84555555555556,30.0,68,3
P068_3,8,9,288.58527777759934,124392,792.024444444266,503.43916666666667,30.0,68,3
P068_3,9,10,290.54277777760103,123025,795.0038888887121,504.4611111111111,30.0,68,3
P068_3,10,11,291.85138888871415,121871,795.9749999998253,504.12361111111113,30.0,68,3
P068_3,11,12,299.02083333316017,117164,804.6299999998269,505.6091666666667,30.0,68,3
P068_3,12,13,287.56999999983384,121530,789.0833333331672,501.5133333333333,30.0,68,3
P068_3,13,14,291.68249999982925,122752,795.8533333331626,504.17083333333335,30.0,68,3
P068_3,14,15,289.72777777760473,123091,791.1433333331603,501.41555555555556,30.0,68,3
P068_3,15,16,291.49305555537705,123696,819.3277777775993,527.8347222222222,30.0,68,3
P068_3,16,17,277.6530555553948,118250,758.5899999998393,480.93694444444446,30.0,68,3
P068_3,17,18,290.6358333331611,123106,795.8277777776055,505.19194444444446,30.0,68,3
P068_3,18,19,290.57527777760725,123154,794.040555555385,503.46527777777777,30.0,68,3
P068_3,19,20,290.0622222220475,123435,792.5661111109364,502.50388888888887,30.0,68,3
P068_3,20,21,293.87388888871646,121287,796.9883333331609,503.1144444444444,30.0,68,3
P068_3,21,22,297.0372222220476,124468,809.9461111109365,512.9088888888889,30.0,68,3
P068_3,22,23,292.5611111109361,122028,803.4355555553806,510.87444444444446,30.0,68,3
P068_3,23,24,288.7947222220561,120636,787.3644444442783,498.5697222222222,30.0,68,3
P068_3,24,25,293.8611111109428,121543,796.3944444442761,502.53333333333336,30.0,68,3
P068_3,25,26,295.9258333331643,120015,800.8666666664976,504.94083333333333,30.0,68,3
P068_3,26,27,305.9977777776082,119123,816.0866666664971,510.0888888888889,30.0,68,3
P069_1,0,1,114.36194444442455,29746,283.5077777777579,169.14583333333334,30.0,69,1
P069_1,1,2,326.11583333319913,99948,826.2361111109769,500.1202777777778,30.0,69,1
P069_1,2,3,293.40083333316534,122057,798.2588888887209,504.85805555555555,30.0,69,1
P069_1,3,4,297.6474999998327,118546,800.7472222220549,503.0997222222222,30.0,69,1
P069_1,4,5,292.184444444268,122878,794.8266666664903,502.64222222222224,30.0,69,1
P069_1,5,6,291.7299999998293,123557,796.3877777776071,504.65777777777777,30.0,69,1
P069_1,6,7,289.8161111109358,125360,793.252222222047,503.43611111111113,30.0,69,1
P069_1,7,8,288.20694444425686,126908,790.815555555368,502.6086111111111,30.0,69,1
P069_1,8,9,287.30444444425956,127051,792.6283333331485,505.3238888888889,30.0,69,1
P069_1,9,10,287.9324999998225,126685,791.2527777776003,503.3202777777778,30.0,69,1
P069_1,10,11,292.5722222220433,124532,797.3716666664877,504.7994444444444,30.0,69,1
P069_1,11,12,298.69138888871345,120094,804.8105555553801,506.1191666666667,30.0,69,1
P069_1,12,13,286.3669444442671,125344,786.5444444442671,500.1775,30.0,69,1
P069_1,13,14,288.6602777775947,126540,793.6827777775947,505.0225,30.0,69,1
P069_1,14,15,289.1602777776001,126129,792.4777777776001,503.3175,30.0,69,1
P069_1,15,16,288.4724999998192,127035,814.0905555553747,525.6180555555555,30.0,69,1
P069_1,16,17,275.4461111109424,121856,757.4088888887202,481.9627777777778,30.0,69,1
P069_1,17,18,287.2158333331479,127352,790.854444444259,503.6386111111111,30.0,69,1
P069_1,18,19,288.040277777599,127391,791.6405555553767,503.60027777777776,30.0,69,1
P069_1,19,20,288.4008333331504,127808,793.554999999817,505.15416666666664,30.0,69,1
P069_1,20,21,290.4599999998237,125711,793.2605555553793,502.80055555555555,30.0,69,1
P069_1,21,22,292.395555555375,129831,804.0044444442639,511.6088888888889,30.0,69,1
P069_1,22,23,287.87944444426694,127032,798.7644444442669,510.885,30.0,69,1
P069_1,23,24,283.9641666664997,125037,782.7405555553886,498.7763888888889,30.0,69,1
P069_1,24,25,289.61138888871005,126133,792.68388888871,503.0725,30.0,69,1
P069_1,25,26,290.5769444442747,124747,795.356666666497,504.77972222222223,30.0,69,1
P069_1,26,27,290.40388888871985,124756,793.341111110942,502.9372222222222,30.0,69,1
P069_1,27,28,554.1944444450047,241044,1552.0783333338936,997.8838888888889,30.0,69,1
P069_2,0,1,114.97888888886939,29510,284.31166666664717,169.33277777777778,30.0,69,2
P069_2,1,2,325.18388888875046,100439,824.0699999998616,498.8861111111111,30.0,69,2
P069_2,2,3,294.38527777760345,121765,799.203333333159,504.81805555555553,30.0,69,2
P069_2,3,4,296.6697222220535,119929,800.6805555553868,504.0108333333333,30.0,69,2
P069_2,4,5,291.1394444442703,123964,794.2822222220481,503.1427777777778,30.0,69,2
P069_2,5,6,290.48083333316293,124534,794.1438888887185,503.66305555555556,30.0,69,2
P069_2,6,7,289.6416666664911,125525,793.57555555538,503.9338888888889,30.0,69,2
P069_2,7,8,287.1511111109308,127724,789.7377777775974,502.58666666666664,30.0,69,2
P069_2,8,9,286.14833333314647,128460,791.3177777775909,505.1694444444444,30.0,69,2
P069_2,9,10,287.2530555553777,127431,790.5572222220444,503.3041666666667,30.0,69,2
P069_2,10,11,291.55722222204713,124715,796.3794444442693,504.8222222222222,30.0,69,2
P069_2,11,12,298.45111111093917,119976,804.713888888717,506.2627777777778,30.0,69,2
P069_2,12,13,287.2994444442689,124030,787.8372222220466,500.53777777777776,30.0,69,2
P069_2,13,14,288.4241666664916,125812,793.2688888887138,504.84472222222223,30.0,69,2
P069_2,14,15,288.8291666664861,125704,792.1483333331528,503.31916666666666,30.0,69,2
P069_2,15,16,288.63527777759793,127883,814.578888888709,525.9436111111111,30.0,69,2
P069_2,16,17,275.6274999998326,122062,757.0822222220548,481.45472222222224,30.0,69,2
P069_2,17,18,287.761111110933,127770,791.4038888887108,503.6427777777778,30.0,69,2
P069_2,18,19,287.21166666648753,128308,790.8044444442653,503.59277777777777,30.0,69,2
P069_2,19,20,287.8758333331559,128576,793.2166666664892,505.3408333333333,30.0,69,2
P069_2,20,21,291.7952777776045,123562,793.5355555553823,501.7402777777778,30.0,69,2
P069_2,21,22,293.60472222204214,127837,806.3333333331533,512.7286111111111,30.0,69,2
P069_2,22,23,289.10777777760234,125446,801.5427777776023,512.435,30.0,69,2
