attribution_arm_id,feature_group,inner_validation_rows,max_inner_train_validation_overlap_count,max_relative_degradation,mean_candidate_condition_mae,mean_gain_vs_r0,model_level,model_setting_id,outer_heldout_fold,outer_split_name,outer_test_condition_count,outer_train_condition_count,outer_train_test_overlap_count,passes_inner_guardrail,schema_version,selected_by_train_only_rule,selection_policy,selection_score,target,weight_strength
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.2113320835966907,0.10957887516979717,-0.004299153608208319,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.16563123720489903,capacity_Ah_k1,0.5
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.2574998442655157,0.11147589320708239,-0.006196171645493539,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.21369601591100926,capacity_Ah_k1,0.75
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.1948869249463435,0.10809227526609169,-0.0028125537045028365,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.14769947865084632,capacity_Ah_k1,1.0
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.08077530086117125,0.06669052119662824,0.0012172588595162801,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.02955804200165497,delta_capacity_Ah,0.25
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.43134720662097253,0.06884749986525168,-0.0009397198091071482,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.3822869264300797,delta_capacity_Ah,0.5
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.08754181775179534,0.06611854706017513,0.0017892329959693961,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.03575258475582594,delta_capacity_Ah,0.75
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.08389937429291021,0.0673560607849961,0.0005517192711484178,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.03334765502176179,delta_capacity_Ah,1.0
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.1098160275715113,0.08089936218473989,0.0035905823918786564,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.056225445179632634,delta_capacity_Ah,0.25
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.12187344081398915,0.07969875767877106,0.004791186897847484,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.06708225391614167,delta_capacity_Ah,0.5
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.10793105241753768,0.08105622482558462,0.0034337197510339087,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.05449733266650377,delta_capacity_Ah,0.75
