candidate_condition_mean_mae,condition_mean_mae_delta,exceeds_5pct_guardrail,feature_group,model_level,reference_condition_mean_mae,reference_feature_group,reference_model_level,relative_degradation,run_scope,split_name,target
0.11639319132486592,0.018791019592328637,True,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.09760217173253728,F8_timestamp_weighted_stress,R0_reference_hgb50,0.19252665446648398,primary,profile_holdout_fold,capacity_Ah_k1
0.07865472612378868,0.01438708238225106,True,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.06426764374153762,F8_timestamp_weighted_stress,R0_reference_hgb50,0.2238619862914371,primary,temperature_holdout_fold,capacity_Ah_k1
0.15858069445514175,-0.012066457624223426,False,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.17064715207936518,F8_timestamp_weighted_stress,R0_reference_hgb50,-0.07070998535393966,primary,voltage_window_holdout_fold,capacity_Ah_k1
0.10417287119135989,0.0016570828680297633,False,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.10251578832333012,F8_timestamp_weighted_stress,R0_reference_hgb50,0.016164172320495645,primary,c_rate_holdout_fold,delta_capacity_Ah
0.046414515624222566,0.004714233225360624,True,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.04170028239886194,F8_timestamp_weighted_stress,R0_reference_hgb50,0.11305039088870253,primary,condition_fold,delta_capacity_Ah
0.11025640963694472,0.027563495113331296,True,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.08269291452361342,F8_timestamp_weighted_stress,R0_reference_hgb50,0.3333235413471899,primary,profile_holdout_fold,delta_capacity_Ah
0.05282887448977332,0.004145169705840571,True,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.048683704783932746,F8_timestamp_weighted_stress,R0_reference_hgb50,0.08514491089446864,primary,temperature_holdout_fold,delta_capacity_Ah
0.15318916356164716,0.026617200114382317,True,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.12657196344726485,F8_timestamp_weighted_stress,R0_reference_hgb50,0.21029301742223624,primary,voltage_window_holdout_fold,delta_capacity_Ah
0.13170841491214483,0.006522047044374202,True,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.12518636786777063,F4_state_log_age_scalar,R0_reference_hgb50,0.052098700165685616,primary,c_rate_holdout_fold,capacity_Ah_k1
0.05422784634687209,0.00030118107069816713,False,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.05392666527617392,F4_state_log_age_scalar,R0_reference_hgb50,0.005585011963111987,primary,condition_fold,capacity_Ah_k1
0.09848687258211773,0.014118848681411597,True,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.08436802390070613,F4_state_log_age_scalar,R0_reference_hgb50,0.167348339200504,primary,profile_holdout_fold,capacity_Ah_k1
0.06961415417974953,0.0003202568459622773,False,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.06929389733378725,F4_state_log_age_scalar,R0_reference_hgb50,0.004621717904242083,primary,temperature_holdout_fold,capacity_Ah_k1
0.08342435050038378,-0.0009885281131582768,False,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.08441287861354206,F4_state_log_age_scalar,R0_reference_hgb50,-0.011710631474658544,primary,voltage_window_holdout_fold,capacity_Ah_k1
0.10113277130259181,0.0,False,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.10113277130259181,F4_state_log_age_scalar,R0_reference_hgb50,0.0,primary,c_rate_holdout_fold,delta_capacity_Ah
0.04592982921351099,0.001284909587303977,False,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.044644919626207015,F4_state_log_age_scalar,R0_reference_hgb50,0.028780645100539553,primary,condition_fold,delta_capacity_Ah
0.11879545259140005,0.009637773354007381,True,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.10915767923739267,F4_state_log_age_scalar,R0_reference_hgb50,0.08829221564016083,primary,profile_holdout_fold,delta_capacity_Ah
0.049215937325823744,0.0006411696634761321,False,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.04857476766234761,F4_state_log_age_scalar,R0_reference_hgb50,0.013199644472476402,primary,temperature_holdout_fold,delta_capacity_Ah
0.0766281899170989,0.005783483190264588,True,F4_state_log_age_scalar,R4_worst_fold_selected_hgb,0.07084470672683431,F4_state_log_age_scalar,R0_reference_hgb50,0.08163606651044178,primary,voltage_window_holdout_fold,delta_capacity_Ah
0.12244211150469492,0.0,False,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.12244211150469492,F8_timestamp_weighted_stress,R0_reference_hgb50,0.0,primary,c_rate_holdout_fold,capacity_Ah_k1
0.052233557151711164,-0.0013390470366701282,False,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.05357260418838129,F8_timestamp_weighted_stress,R0_reference_hgb50,-0.024994996173072687,primary,condition_fold,capacity_Ah_k1
0.09760217173253728,0.0,False,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.09760217173253728,F8_timestamp_weighted_stress,R0_reference_hgb50,0.0,primary,profile_holdout_fold,capacity_Ah_k1
0.06635939381689382,0.002091750075356197,False,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.06426764374153762,F8_timestamp_weighted_stress,R0_reference_hgb50,0.03254748351703225,primary,temperature_holdout_fold,capacity_Ah_k1
0.1722274261848934,0.0015802741055282177,False,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.17064715207936518,F8_timestamp_weighted_stress,R0_reference_hgb50,0.009260477460492621,primary,voltage_window_holdout_fold,capacity_Ah_k1
0.10251578832333012,0.0,False,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.10251578832333012,F8_timestamp_weighted_stress,R0_reference_hgb50,0.0,primary,c_rate_holdout_fold,delta_capacity_Ah
0.043246608506749426,0.0015463261078874843,False,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.04170028239886194,F8_timestamp_weighted_stress,R0_reference_hgb50,0.03708190973617209,primary,condition_fold,delta_capacity_Ah
0.10910860016575767,0.02641568564214425,True,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.08269291452361342,F8_timestamp_weighted_stress,R0_reference_hgb50,0.31944315657904526,primary,profile_holdout_fold,delta_capacity_Ah
0.046931329208558886,-0.0017523755753738601,False,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.048683704783932746,F8_timestamp_weighted_stress,R0_reference_hgb50,-0.035995115473467475,primary,temperature_holdout_fold,delta_capacity_Ah
0.1279516474393816,0.0013796839921167425,False,F8_timestamp_weighted_stress,R4_worst_fold_selected_hgb,0.12657196344726485,F8_timestamp_weighted_stress,R0_reference_hgb50,0.010900391797205361,primary,voltage_window_holdout_fold,delta_capacity_Ah
