bag_count,feature_group,gain_vs_f4,gain_vs_stress_reference,is_predeclared_primary_setting,max_other_split_relative_degradation,model_level,model_setting_id,paired_p05_vs_f4,paired_p05_vs_stress_reference,passes_threshold,threshold,weight_strength
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.08254397298934446,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p25,0.0,-0.013552325672900762,False,0.1,0.25
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.08829221564016083,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w1,0.0,-0.013552325672900762,False,0.03,1.0
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.08829221564016083,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w1,0.0,-0.013552325672900762,False,0.05,1.0
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.08829221564016083,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w1,0.0,-0.013552325672900762,False,0.075,1.0
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.08829221564016083,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w1,0.0,-0.013552325672900762,False,0.1,1.0
1,F4_state_log_age_scalar,0.01886185773429483,0.020244874755033143,False,0.09895925812239803,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p5,0.01105470277642892,-0.0004232552643676461,False,0.03,0.5
1,F4_state_log_age_scalar,0.01886185773429483,0.020244874755033143,False,0.09895925812239803,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p5,0.01105470277642892,-0.0004232552643676461,False,0.05,0.5
1,F4_state_log_age_scalar,0.01886185773429483,0.020244874755033143,False,0.09895925812239803,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p5,0.01105470277642892,-0.0004232552643676461,False,0.075,0.5
1,F4_state_log_age_scalar,0.01886185773429483,0.020244874755033143,False,0.09895925812239803,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p5,0.01105470277642892,-0.0004232552643676461,False,0.1,0.5
1,F8_timestamp_weighted_stress,0.031217714474352315,0.03260073149509063,False,0.11010088485076483,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.019455749542004533,0.012278230730529601,False,0.03,0.75
1,F8_timestamp_weighted_stress,0.031217714474352315,0.03260073149509063,False,0.11010088485076483,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.019455749542004533,0.012278230730529601,False,0.05,0.75
1,F8_timestamp_weighted_stress,0.031217714474352315,0.03260073149509063,False,0.11010088485076483,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.019455749542004533,0.012278230730529601,False,0.075,0.75
1,F8_timestamp_weighted_stress,0.031217714474352315,0.03260073149509063,False,0.11010088485076483,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.019455749542004533,0.012278230730529601,False,0.1,0.75
5,F4_state_log_age_scalar,0.004371412993029927,0.005754430013768241,False,0.11091851409850147,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags5,-0.00706416769894765,-0.003117297279603129,False,0.03,0.0
5,F4_state_log_age_scalar,0.004371412993029927,0.005754430013768241,False,0.11091851409850147,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags5,-0.00706416769894765,-0.003117297279603129,False,0.05,0.0
5,F4_state_log_age_scalar,0.004371412993029927,0.005754430013768241,False,0.11091851409850147,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags5,-0.00706416769894765,-0.003117297279603129,False,0.075,0.0
5,F4_state_log_age_scalar,0.004371412993029927,0.005754430013768241,False,0.11091851409850147,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags5,-0.00706416769894765,-0.003117297279603129,False,0.1,0.0
9,F4_state_log_age_scalar,0.00570484901553428,0.007087866036272594,False,0.16041777880625827,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags9,-0.002417580084145903,-0.0038288701353720923,False,0.03,0.0
9,F4_state_log_age_scalar,0.00570484901553428,0.007087866036272594,False,0.16041777880625827,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags9,-0.002417580084145903,-0.0038288701353720923,False,0.05,0.0
9,F4_state_log_age_scalar,0.00570484901553428,0.007087866036272594,False,0.16041777880625827,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags9,-0.002417580084145903,-0.0038288701353720923,False,0.075,0.0
9,F4_state_log_age_scalar,0.00570484901553428,0.007087866036272594,False,0.16041777880625827,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags9,-0.002417580084145903,-0.0038288701353720923,False,0.1,0.0
1,F4_state_log_age_scalar,0.01648535067013715,0.017868367690875464,False,0.1666480617558136,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.010284037820191903,-0.0005099401669483201,False,0.03,0.75
1,F4_state_log_age_scalar,0.01648535067013715,0.017868367690875464,False,0.1666480617558136,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.010284037820191903,-0.0005099401669483201,False,0.05,0.75
1,F4_state_log_age_scalar,0.01648535067013715,0.017868367690875464,False,0.1666480617558136,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.010284037820191903,-0.0005099401669483201,False,0.075,0.75
1,F4_state_log_age_scalar,0.01648535067013715,0.017868367690875464,False,0.1666480617558136,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.010284037820191903,-0.0005099401669483201,False,0.1,0.75
1,F4_state_log_age_scalar,0.01681474354753744,0.018197760568275753,False,0.1827031451693857,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p75,0.00947997192076061,-0.0027007431354186904,False,0.03,0.75
1,F4_state_log_age_scalar,0.01681474354753744,0.018197760568275753,False,0.1827031451693857,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p75,0.00947997192076061,-0.0027007431354186904,False,0.05,0.75
1,F4_state_log_age_scalar,0.01681474354753744,0.018197760568275753,False,0.1827031451693857,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p75,0.00947997192076061,-0.0027007431354186904,False,0.075,0.75
1,F4_state_log_age_scalar,0.01681474354753744,0.018197760568275753,False,0.1827031451693857,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p75,0.00947997192076061,-0.0027007431354186904,False,0.1,0.75
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.1827031451693857,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p75,0.0,-0.013552325672900762,False,0.03,0.75
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.1827031451693857,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p75,0.0,-0.013552325672900762,False,0.05,0.75
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.1827031451693857,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p75,0.0,-0.013552325672900762,False,0.075,0.75
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.1827031451693857,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p75,0.0,-0.013552325672900762,False,0.1,0.75
1,F4_state_log_age_scalar,0.01981902533488808,0.021202042355626394,False,0.18832759966958884,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w1,0.011738756394023242,0.0011459144941445062,False,0.03,1.0
1,F4_state_log_age_scalar,0.01981902533488808,0.021202042355626394,False,0.18832759966958884,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w1,0.011738756394023242,0.0011459144941445062,False,0.05,1.0
1,F4_state_log_age_scalar,0.01981902533488808,0.021202042355626394,False,0.18832759966958884,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w1,0.011738756394023242,0.0011459144941445062,False,0.075,1.0
1,F4_state_log_age_scalar,0.01981902533488808,0.021202042355626394,False,0.18832759966958884,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w1,0.011738756394023242,0.0011459144941445062,False,0.1,1.0
1,F8_timestamp_weighted_stress,0.004905780948160854,0.006288797968899168,False,0.19072813202728806,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,-0.005392251617663674,-0.0066035266306517975,False,0.03,0.25
1,F8_timestamp_weighted_stress,0.004905780948160854,0.006288797968899168,False,0.19072813202728806,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,-0.005392251617663674,-0.0066035266306517975,False,0.05,0.25
1,F8_timestamp_weighted_stress,0.004905780948160854,0.006288797968899168,False,0.19072813202728806,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,-0.005392251617663674,-0.0066035266306517975,False,0.075,0.25
1,F8_timestamp_weighted_stress,0.004905780948160854,0.006288797968899168,False,0.19072813202728806,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,-0.005392251617663674,-0.0066035266306517975,False,0.1,0.25
1,F8_timestamp_weighted_stress,-0.0013830170207383141,0.0,False,0.19072813202728806,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p25,-0.016638134861579206,0.0,False,0.03,0.25
1,F8_timestamp_weighted_stress,-0.0013830170207383141,0.0,False,0.19072813202728806,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p25,-0.016638134861579206,0.0,False,0.05,0.25
1,F8_timestamp_weighted_stress,-0.0013830170207383141,0.0,False,0.19072813202728806,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p25,-0.016638134861579206,0.0,False,0.075,0.25
