bag_count,c_rate_condition_mean_mae,c_rate_worst_condition_mae,feature_group,gain_vs_f4,gain_vs_stress_reference,is_nondominated,is_predeclared_primary_setting,max_other_split_relative_degradation,model_level,model_setting_id,paired_p05_vs_f4,paired_p05_vs_stress_reference,weight_strength
1,0.09622699035443096,0.20397831442143508,F8_timestamp_weighted_stress,0.004905780948160854,0.006288797968899168,False,False,0.19072813202728806,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,-0.005392251617663674,-0.0066035266306517975,0.25
1,0.10251578832333012,0.21193834940315578,F8_timestamp_weighted_stress,-0.0013830170207383141,0.0,False,False,0.19072813202728806,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p25,-0.016638134861579206,0.0,0.25
3,0.10208726505605907,0.22361996722691158,F4_state_log_age_scalar,-0.0009544937534672615,0.0004285232672710526,False,False,0.1998324319041645,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags3,-0.01815334761448853,-0.007277607317220647,0.0
1,0.09106015023824486,0.19080667183110242,F8_timestamp_weighted_stress,0.010072621064346948,0.011455638085085262,False,False,0.28623071654589805,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p5,0.0023660945394703013,-0.002669015730239863,0.5
1,0.10251578832333012,0.21193834940315578,F8_timestamp_weighted_stress,-0.0013830170207383141,0.0,False,False,0.28623071654589805,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p5,-0.016638134861579206,0.0,0.5
9,0.10203992075430986,0.21250866414352895,F8_timestamp_weighted_stress,-0.0009071494517180478,0.0004758675690202663,False,False,0.30169293097937,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags9,-0.01835765452221962,-0.009833709044740221,0.0
1,0.08760197650010611,0.20309954622855605,F8_timestamp_weighted_stress,0.013530794802485702,0.014913811823224016,False,False,0.31944315657904526,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w1,0.0061316995862313395,-0.0009170472701088977,1.0
1,0.10251578832333012,0.21193834940315578,F8_timestamp_weighted_stress,-0.0013830170207383141,0.0,False,False,0.31944315657904526,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w1,-0.016638134861579206,0.0,1.0
5,0.10417287119135989,0.20808874808687997,F8_timestamp_weighted_stress,-0.0030400998887680775,-0.0016570828680297633,False,False,0.3333235413471899,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags5,-0.014702229724281759,-0.010584117705684654,0.0
3,0.120309888960194,0.2525439413716202,F8_timestamp_weighted_stress,-0.01917711765760219,-0.017794100636863874,False,False,0.33573185610866274,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags3,-0.04265079297264695,-0.03615905084451749,0.0
1,0.09633032620035265,0.21158838716969872,F8_timestamp_weighted_stress,0.004802445102239164,0.006185462122977478,False,False,0.36076009910328743,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p75,-0.00563175636122978,-0.00847936593234908,0.75
1,0.10251578832333012,0.21193834940315578,F8_timestamp_weighted_stress,-0.0013830170207383141,0.0,False,False,0.36076009910328743,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p75,-0.016638134861579206,0.0,0.75
