target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,f4_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,condition_fold,4,23,C_P2_log_age_pulse,0.23144060317011828,0.24265208913923042,-0.011211485969112145,6,0.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,condition_fold,4,38,C_P2_log_age_pulse,0.02287963641530776,0.023710790482097854,-0.0008311540667900949,60,10.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,4,40,C_P2_log_age_pulse,0.07533253079778482,0.07432722074769084,0.0010053100500939799,15,10.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,condition_fold,4,44,C_P2_log_age_pulse,0.06330490498956783,0.08310655185004097,-0.019801646860473143,6,25.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,condition_fold,4,45,C_P2_log_age_pulse,0.015525122160900587,0.015149526000310418,0.0003755961605901685,84,25.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,4,47,C_P2_log_age_pulse,0.059458369213714925,0.059812407956055816,-0.0003540387423408911,31,25.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,condition_fold,4,51,C_P2_log_age_pulse,0.028433051340203803,0.026915083242891092,0.0015179680973127115,63,25.0,approx_10_90,1.0,cyclic
capacity_Ah_k1,condition_fold,4,52,C_P2_log_age_pulse,0.05827985632543221,0.060429035079234424,-0.0021491787538022167,28,25.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,condition_fold,4,53,C_P2_log_age_pulse,0.06250417790758044,0.05759548573358744,0.004908692173992993,44,40.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,4,64,C_P2_log_age_pulse,0.06023042176562288,0.053206943151791995,0.007023478613830882,38,40.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,condition_fold,4,69,C_P2_log_age_pulse,0.015278275488036825,0.014941117393738653,0.0003371580942981723,84,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,65,C_P0_state_time_pulse,0.1123825881297979,0.10103078247999035,0.011351805649807548,55,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,66,C_P0_state_time_pulse,0.0926139126672301,0.04968242021858627,0.042931492448643825,84,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,67,C_P0_state_time_pulse,0.17718560597321364,0.12639860899981542,0.050786996973398224,15,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,68,C_P0_state_time_pulse,0.07387409807704666,0.06788872884492524,0.005985369232121424,78,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,69,C_P0_state_time_pulse,0.06195782628011829,0.03407664164732605,0.02788118463279224,84,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,70,C_P0_state_time_pulse,0.1400542032931488,0.134486257049371,0.005567946243777794,18,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,71,C_P0_state_time_pulse,0.03876988175079682,0.0196456477316665,0.01912423401913032,84,25.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,72,C_P0_state_time_pulse,0.045723501012273945,0.02698622974732173,0.018737271264952216,84,25.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,73,C_P0_state_time_pulse,0.08620544874342978,0.06127652250035903,0.024928926243070748,34,25.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,74,C_P0_state_time_pulse,0.06334803239655461,0.0707692876341728,-0.007421255237618191,48,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,75,C_P0_state_time_pulse,0.03441494136472424,0.018218486202281038,0.016196455162443203,84,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,76,C_P0_state_time_pulse,0.07347808145397675,0.03166233949068321,0.04181574196329354,83,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,temperature_holdout_fold,1,1,C_P3_stress_pulse,0.0074630723913469196,0.00526266949555335,0.0022004028957935693,84,0.0,calendar_soc_10,0.0,calendar
capacity_Ah_k1,temperature_holdout_fold,1,2,C_P3_stress_pulse,0.005773062770806739,0.00427087675258168,0.0015021860182250595,84,0.0,calendar_soc_50,0.0,calendar
capacity_Ah_k1,temperature_holdout_fold,1,3,C_P3_stress_pulse,0.0039447825355872395,0.0045087380020442476,-0.0005639554664570081,84,0.0,calendar_soc_90,0.0,calendar
capacity_Ah_k1,temperature_holdout_fold,1,4,C_P3_stress_pulse,0.004381554185867355,0.004246593608991685,0.00013496057687566957,84,0.0,calendar_soc_100,0.0,calendar
capacity_Ah_k1,temperature_holdout_fold,1,17,C_P3_stress_pulse,0.05618112027173375,0.05347118432972351,0.0027099359420102373,24,0.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,18,C_P3_stress_pulse,0.0831333963999941,0.09359305099626637,-0.010459654596272266,17,0.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,19,C_P3_stress_pulse,0.14378734416705094,0.14580072636592115,-0.002013382198870206,6,0.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,20,C_P3_stress_pulse,0.12153887314798584,0.09862277141188654,0.0229161017360993,6,0.0,approx_0_100,1.67,cyclic
