comparison_id,run_scope,candidate_model_level,reference_model_level,feature_group,target,split_name,heldout_fold,parameter_set,candidate_condition_mae,reference_condition_mae,condition_mae_gain,row_count
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,30,0.08030003241795397,0.08114847947145104,0.0008484470534970701,25
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,30,0.08300702466317446,0.08294642216399677,-6.0602499177692115e-05,25
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,30,0.08300702466317446,0.08294642216399677,-6.0602499177692115e-05,25
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,34,0.06362156144168987,0.06552151557421748,0.0018999541325276093,44
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,34,0.04318444337150444,0.04299889587548841,-0.00018554749601602805,44
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,34,0.04318444337150444,0.04299889587548841,-0.00018554749601602805,44
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,37,0.021338539056162762,0.020812849896358763,-0.0005256891598039992,84
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,37,0.012576233248447607,0.01251435745864963,-6.187578979797645e-05,84
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,37,0.012576233248447607,0.01251435745864963,-6.187578979797645e-05,84
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,39,0.08343709616451667,0.08420079175499733,0.0007636955904806592,21
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,39,0.06502165626387184,0.06499975453924967,-2.1901724622172547e-05,21
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,39,0.06502165626387184,0.06499975453924967,-2.1901724622172547e-05,21
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,42,0.07473801951705845,0.07539314604564885,0.0006551265285903995,49
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,42,0.05130869776109799,0.051369349239973966,6.065147887597544e-05,49
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,42,0.05130869776109799,0.051369349239973966,6.065147887597544e-05,49
