parameter_set,checkup_k_next,target,n_replicates,n_intervals,condition_mean,condition_median,condition_std,replicate_spread,tolerance_low,tolerance_high,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,c_rate_holdout_fold,profile_holdout_fold
1,23,capacity_Ah_k1,3,3,2.7674823333333336,2.764573,0.01438044259865914,0.028315999999999786,2.754779,2.783095,calendar,0.0,calendar_soc_10,0.0,0,0
1,23,delta_capacity_Ah,3,3,-0.004618333333333317,-0.004817000000000071,0.00046964915983463396,0.0008740000000000414,-0.0049559999999999604,-0.004081999999999919,calendar,0.0,calendar_soc_10,0.0,0,0
1,24,capacity_Ah_k1,3,3,2.763565,2.760612,0.014165264310982584,0.027864999999999807,2.751109,2.778974,calendar,0.0,calendar_soc_10,0.0,0,0
1,24,delta_capacity_Ah,3,3,-0.003917333333333328,-0.003960999999999881,0.000228648930313092,0.0004509999999999792,-0.004121000000000041,-0.003670000000000062,calendar,0.0,calendar_soc_10,0.0,0,0
1,25,capacity_Ah_k1,3,3,2.7595836666666664,2.75632,0.014688009474851554,0.028826999999999714,2.746802,2.775629,calendar,0.0,calendar_soc_10,0.0,0,0
1,25,delta_capacity_Ah,3,3,-0.003981333333333244,-0.0042919999999999625,0.0005511318656486058,0.0009619999999999074,-0.004306999999999839,-0.0033449999999999314,calendar,0.0,calendar_soc_10,0.0,0,0
1,26,capacity_Ah_k1,3,3,2.7558190000000002,2.752559,0.015001066262102708,0.02946599999999977,2.742716,2.772182,calendar,0.0,calendar_soc_10,0.0,0,0
1,26,delta_capacity_Ah,3,3,-0.0037646666666666384,-0.0037609999999999033,0.0003195157794747415,0.0006390000000000562,-0.004086000000000034,-0.003446999999999978,calendar,0.0,calendar_soc_10,0.0,0,0
1,27,capacity_Ah_k1,3,3,2.747919,2.744348,0.015062398646961872,0.029482999999999926,2.734963,2.764446,calendar,0.0,calendar_soc_10,0.0,0,0
1,27,delta_capacity_Ah,3,3,-0.007900000000000093,-0.007753000000000121,0.0002694679943890316,0.00047500000000022524,-0.00821100000000019,-0.007735999999999965,calendar,0.0,calendar_soc_10,0.0,0,0
1,28,capacity_Ah_k1,3,3,2.7472056666666664,2.743529,0.015346940324811915,0.03002600000000033,2.734031,2.764057,calendar,0.0,calendar_soc_10,0.0,0,0
1,28,delta_capacity_Ah,3,3,-0.0007133333333332695,-0.0008189999999999031,0.0002865071261477415,0.0005430000000004043,-0.0009320000000001549,-0.00038899999999975066,calendar,0.0,calendar_soc_10,0.0,0,0
2,1,capacity_Ah_k1,3,3,2.929912,2.931266,0.005884024388120915,0.01153200000000032,2.923469,2.935001,calendar,0.0,calendar_soc_50,0.0,0,0
2,1,delta_capacity_Ah,3,3,-0.014656333333333235,-0.014808999999999628,0.003443539070975304,0.006882000000000055,-0.018021000000000065,-0.01113900000000001,calendar,0.0,calendar_soc_50,0.0,0,0
2,2,capacity_Ah_k1,3,3,2.914308333333333,2.916168,0.006118273966841662,0.011804999999999843,2.907476,2.919281,calendar,0.0,calendar_soc_50,0.0,0,0
2,2,delta_capacity_Ah,3,3,-0.015603666666666793,-0.0157200000000004,0.0004587007012566278,0.0008949999999998681,-0.015992999999999924,-0.015098000000000056,calendar,0.0,calendar_soc_50,0.0,0,0
2,3,capacity_Ah_k1,3,3,2.899339,2.902744,0.007052571233245355,0.012812999999999963,2.89123,2.904043,calendar,0.0,calendar_soc_50,0.0,0,0
2,3,delta_capacity_Ah,3,3,-0.01496933333333302,-0.01523799999999964,0.0014300550105969556,0.002822000000000102,-0.01624599999999976,-0.013423999999999658,calendar,0.0,calendar_soc_50,0.0,0,0
2,4,capacity_Ah_k1,3,3,2.882025666666667,2.886642,0.008172157385496969,0.014254999999999907,2.87259,2.886845,calendar,0.0,calendar_soc_50,0.0,0,0
2,4,delta_capacity_Ah,3,3,-0.017313333333333365,-0.017198000000000047,0.0012729247162865686,0.002537999999999929,-0.01863999999999999,-0.01610200000000006,calendar,0.0,calendar_soc_50,0.0,0,0
2,5,capacity_Ah_k1,3,3,2.870144,2.875356,0.009221246607698918,0.01608199999999993,2.859497,2.875579,calendar,0.0,calendar_soc_50,0.0,0,0
2,5,delta_capacity_Ah,3,3,-0.011881666666666716,-0.011489000000000082,0.0010704509952974446,0.0020299999999999763,-0.013093000000000021,-0.011063000000000045,calendar,0.0,calendar_soc_50,0.0,0,0
2,6,capacity_Ah_k1,3,3,2.856576,2.86183,0.00989962883142602,0.017584000000000266,2.845157,2.862741,calendar,0.0,calendar_soc_50,0.0,0,0
2,6,delta_capacity_Ah,3,3,-0.013568000000000099,-0.013526000000000149,0.0007518803096239783,0.0015020000000003364,-0.014340000000000241,-0.012837999999999905,calendar,0.0,calendar_soc_50,0.0,0,0
2,7,capacity_Ah_k1,3,3,2.8457136666666667,2.851649,0.01105116398092689,0.019566000000000194,2.832963,2.852529,calendar,0.0,calendar_soc_50,0.0,0,0
2,7,delta_capacity_Ah,3,3,-0.010862333333333307,-0.01021200000000011,0.0011533613195063666,0.0020130000000002646,-0.012194000000000038,-0.010180999999999774,calendar,0.0,calendar_soc_50,0.0,0,0
2,8,capacity_Ah_k1,3,3,2.834681,2.841059,0.011375947784690404,0.019890000000000185,2.821547,2.841437,calendar,0.0,calendar_soc_50,0.0,0,0
2,8,delta_capacity_Ah,3,3,-0.011032666666666765,-0.011092000000000102,0.0004161842540670309,0.0008259999999999934,-0.011416000000000093,-0.0105900000000001,calendar,0.0,calendar_soc_50,0.0,0,0
2,9,capacity_Ah_k1,3,3,2.8253606666666666,2.831628,0.011931951907937461,0.02125200000000005,2.811601,2.832853,calendar,0.0,calendar_soc_50,0.0,0,0
2,9,delta_capacity_Ah,3,3,-0.0093203333333333,-0.00943100000000019,0.0006877109373372486,0.0013619999999998633,-0.009945999999999788,-0.008583999999999925,calendar,0.0,calendar_soc_50,0.0,0,0
2,10,capacity_Ah_k1,3,3,2.8149873333333333,2.821391,0.011853786835156761,0.020953,2.801309,2.822262,calendar,0.0,calendar_soc_50,0.0,0,0
2,10,delta_capacity_Ah,3,3,-0.010373333333333346,-0.01029200000000019,0.0001905002187227706,0.0003540000000006316,-0.010591000000000239,-0.010236999999999608,calendar,0.0,calendar_soc_50,0.0,0,0
2,11,capacity_Ah_k1,3,3,2.8057696666666665,2.812044,0.012163644615547468,0.021765000000000256,2.79175,2.813515,calendar,0.0,calendar_soc_50,0.0,0,0
2,11,delta_capacity_Ah,3,3,-0.009217666666666494,-0.009346999999999994,0.0004211666336896478,0.000812000000000257,-0.009558999999999873,-0.008746999999999616,calendar,0.0,calendar_soc_50,0.0,0,0
2,12,capacity_Ah_k1,3,3,2.7961910000000003,2.802477,0.012605138158703377,0.022737999999999925,2.781679,2.804417,calendar,0.0,calendar_soc_50,0.0,0,0
2,12,delta_capacity_Ah,3,3,-0.009578666666666772,-0.009567000000000103,0.00048660490475659215,0.0009729999999996686,-0.010070999999999941,-0.009098000000000273,calendar,0.0,calendar_soc_50,0.0,0,0
2,13,capacity_Ah_k1,3,3,2.7895513333333333,2.795297,0.01219758772599448,0.022272999999999765,2.775542,2.797815,calendar,0.0,calendar_soc_50,0.0,0,0
2,13,delta_capacity_Ah,3,3,-0.006639666666666599,-0.006601999999999997,0.0005225192181474248,0.0010430000000001272,-0.007179999999999964,-0.006136999999999837,calendar,0.0,calendar_soc_50,0.0,0,0
2,14,capacity_Ah_k1,3,3,2.783155333333333,2.789225,0.012247838435141857,0.022125000000000394,2.769058,2.791183,calendar,0.0,calendar_soc_50,0.0,0,0
2,14,delta_capacity_Ah,3,3,-0.006396000000000068,-0.006484000000000378,0.0002901861471537693,0.0005599999999996719,-0.006631999999999749,-0.006072000000000077,calendar,0.0,calendar_soc_50,0.0,0,0
2,15,capacity_Ah_k1,3,3,2.7764733333333336,2.78223,0.012434198379201318,0.022781999999999858,2.762204,2.784986,calendar,0.0,calendar_soc_50,0.0,0,0
2,15,delta_capacity_Ah,3,3,-0.0066819999999999284,-0.006853999999999694,0.00042589787508250457,0.0007979999999996323,-0.0069949999999998624,-0.00619700000000023,calendar,0.0,calendar_soc_50,0.0,0,0
2,16,capacity_Ah_k1,3,3,2.769701,2.775101,0.01202095986184134,0.022148000000000057,2.755927,2.778075,calendar,0.0,calendar_soc_50,0.0,0,0
2,16,delta_capacity_Ah,3,3,-0.006772333333333602,-0.0069110000000001115,0.000442602907054769,0.0008520000000000749,-0.007129000000000385,-0.00627700000000031,calendar,0.0,calendar_soc_50,0.0,0,0
2,17,capacity_Ah_k1,3,3,2.7630793333333337,2.7686,0.012166744196099985,0.02237599999999995,2.749131,2.771507,calendar,0.0,calendar_soc_50,0.0,0,0
