target,split_name,model_level,feature_group,parameter_set,n_predictions,model_mae,model_median_abs_error,mean_replicate_spread,model_mae_minus_replicate_spread,model_error_exceeds_spread
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,48,10,0.036942012274586974,0.011204445200497348,0.08195099999999997,-0.045008987725412994,False
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,52,28,0.05025047870125591,0.02063730285422638,0.30563214285714285,-0.2553816641558869,False
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,56,13,0.13105580982461823,0.07894901878245575,0.12802292307692303,0.003032886747695196,True
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,60,16,0.1474089691190151,0.02218404405430663,0.2783338125,-0.1309248433809849,False
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,64,38,0.04323852539715805,0.02165828886970944,0.12186707894736845,-0.0786285535502104,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,20,6,0.3585875354789649,0.3607740657805766,0.02733399999999986,0.331253535478965,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,24,4,0.27984393985098177,0.24644784885192528,0.021890999999999994,0.2579529398509818,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,28,9,0.179975625477371,0.09239697257817392,0.07086466666666673,0.10911095881070428,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,32,6,0.43618563839606317,0.43894074907311365,0.025018499999999944,0.4111671383960632,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,36,6,0.43342708354974363,0.4407332193159865,0.052907999999999955,0.3805190835497437,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,40,15,0.1327436753567992,0.038760039112049505,0.26770559999999993,-0.13496192464320073,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,44,6,0.22291982460585835,0.1443661984058653,0.184701,0.03821882460585835,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,48,10,0.055518636822732635,0.01831503060845674,0.08195099999999997,-0.026432363177267333,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,52,28,0.07191210346931887,0.02317667048480032,0.30563214285714285,-0.23372003938782399,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,56,13,0.1688140991530072,0.0793969736930098,0.12802292307692303,0.04079117607608418,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,60,16,0.17835083344987246,0.0268366580380619,0.2783338125,-0.09998297905012754,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,64,38,0.044804795667681946,0.018051760421404772,0.12186707894736845,-0.0770622832796865,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,20,6,0.33762027731545025,0.3262647405354504,0.02733399999999986,0.3102862773154504,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,24,4,0.24439660494160642,0.18824195385235587,0.021890999999999994,0.22250560494160643,True
