parameter_set,checkup_k_next,target,tolerance_low,tolerance_high,replicate_spread,n_replicates
5,24,delta_capacity_Ah,-0.004197000000000006,-0.0030000000000001137,0.0011969999999998926,3
5,25,capacity_Ah_k1,2.741401,2.75279,0.011388999999999871,3
5,25,delta_capacity_Ah,-0.004164999999999974,-0.0038079999999998115,0.00035700000000016274,3
5,26,capacity_Ah_k1,2.737749,2.748574,0.010825000000000085,3
5,26,delta_capacity_Ah,-0.0042159999999999975,-0.0036520000000002106,0.0005639999999997869,3
5,27,capacity_Ah_k1,2.729918,2.740677,0.010758999999999741,3
5,27,delta_capacity_Ah,-0.008440000000000225,-0.007830999999999921,0.0006090000000003037,3
5,28,capacity_Ah_k1,2.72845,2.740157,0.011706999999999912,3
5,28,delta_capacity_Ah,-0.0014680000000000248,-0.00045399999999995444,0.0010140000000000704,3
6,1,capacity_Ah_k1,2.930001,2.943563,0.013562000000000296,3
6,1,delta_capacity_Ah,-0.018787999999999805,-0.014809999999999768,0.003978000000000037,3
6,2,capacity_Ah_k1,2.912876,2.92813,0.0152540000000001,3
6,2,delta_capacity_Ah,-0.017125000000000057,-0.015433000000000252,0.0016919999999998048,3
6,3,capacity_Ah_k1,2.895612,2.912341,0.016729000000000216,3
6,3,delta_capacity_Ah,-0.017263999999999946,-0.01578899999999983,0.001475000000000115,3
6,4,capacity_Ah_k1,2.878701,2.896473,0.0177719999999999,3
6,4,delta_capacity_Ah,-0.01719399999999993,-0.015868000000000215,0.0013259999999997163,3
6,5,capacity_Ah_k1,2.864586,2.882159,0.01757300000000006,3
6,5,delta_capacity_Ah,-0.014313999999999716,-0.013879000000000197,0.0004349999999995191,3
6,6,capacity_Ah_k1,2.850221,2.86874,0.018518999999999952,3
6,6,delta_capacity_Ah,-0.014365000000000183,-0.013419000000000292,0.0009459999999998914,3
6,7,capacity_Ah_k1,2.83895,2.856972,0.01802199999999976,3
6,7,delta_capacity_Ah,-0.012018000000000306,-0.011270999999999809,0.0007470000000004973,3
6,8,capacity_Ah_k1,2.827143,2.845451,0.018308000000000213,3
6,8,delta_capacity_Ah,-0.011807000000000123,-0.011384999999999756,0.0004220000000003665,3
6,9,capacity_Ah_k1,2.81714,2.835833,0.01869299999999985,3
6,9,delta_capacity_Ah,-0.010410999999999948,-0.009618000000000126,0.0007929999999998216,3
6,10,capacity_Ah_k1,2.806347,2.825273,0.018926,3
6,10,delta_capacity_Ah,-0.010793000000000053,-0.010559999999999903,0.00023300000000014975,3
6,11,capacity_Ah_k1,2.796949,2.815549,0.018599999999999728,3
6,11,delta_capacity_Ah,-0.009724000000000288,-0.009398000000000017,0.0003260000000002705,3
6,12,capacity_Ah_k1,2.785947,2.804517,0.018569999999999975,3
6,12,delta_capacity_Ah,-0.01137100000000002,-0.011001999999999956,0.0003690000000000637,3
6,13,capacity_Ah_k1,2.779925,2.798597,0.018672000000000022,3
6,13,delta_capacity_Ah,-0.006022000000000194,-0.005853999999999804,0.00016800000000039006,3
6,14,capacity_Ah_k1,2.773276,2.792217,0.018940999999999875,3
6,14,delta_capacity_Ah,-0.006648999999999905,-0.006380000000000052,0.0002689999999998527,3
6,15,capacity_Ah_k1,2.766904,2.785581,0.018677000000000277,3
6,15,delta_capacity_Ah,-0.006635999999999864,-0.006372000000000266,0.0002639999999995979,3
6,16,capacity_Ah_k1,2.760338,2.778407,0.018069000000000113,3
6,16,delta_capacity_Ah,-0.007174000000000014,-0.006187000000000165,0.0009869999999998491,3
6,17,capacity_Ah_k1,2.75351,2.771937,0.01842699999999997,3
6,17,delta_capacity_Ah,-0.006828000000000056,-0.006470000000000198,0.00035799999999985843,3
6,18,capacity_Ah_k1,2.748586,2.766289,0.017703000000000024,3
6,18,delta_capacity_Ah,-0.005714000000000219,-0.0049239999999999284,0.0007900000000002905,3
6,19,capacity_Ah_k1,2.742851,2.760356,0.017504999999999882,3
6,19,delta_capacity_Ah,-0.005933000000000188,-0.0056309999999997196,0.00030200000000046856,3
6,20,capacity_Ah_k1,2.737789,2.755508,0.01771900000000004,3
6,20,delta_capacity_Ah,-0.005761000000000127,-0.0048479999999999634,0.0009130000000001637,3
6,21,capacity_Ah_k1,2.731713,2.748924,0.017211000000000087,3
6,21,delta_capacity_Ah,-0.007355,-0.006075999999999748,0.0012790000000002522,3
6,22,capacity_Ah_k1,2.72707,2.743895,0.016825000000000312,3
6,22,delta_capacity_Ah,-0.00502899999999995,-0.0046200000000000685,0.0004089999999998817,3
6,23,capacity_Ah_k1,2.721262,2.739549,0.018286999999999942,3
6,23,delta_capacity_Ah,-0.005808000000000035,0.00542100000000012,0.011229000000000156,3
6,24,capacity_Ah_k1,2.717207,2.7354,0.01819299999999968,3
6,24,delta_capacity_Ah,-0.008106999999999864,-0.004054999999999698,0.004052000000000167,3
6,25,capacity_Ah_k1,2.712961,2.729794,0.016833000000000098,3
6,25,delta_capacity_Ah,-0.006040000000000045,-0.004246000000000194,0.0017939999999998513,3
6,26,capacity_Ah_k1,2.708713,2.726241,0.017527999999999988,3
6,26,delta_capacity_Ah,-0.004408999999999885,-0.0035530000000001394,0.0008559999999997459,3
