brier,calibration_intercept,calibration_slope,ece_10_bin,feature_group,heldout_fold,model_level,positive_count,row_count,split_name,target
0.07071139219968076,0.19163641939081089,0.0355807127471668,0.043384089284676255,W0_capacity_state,3,B4_logistic_regression,38,509,condition_fold,event_within_1_checkup
0.047936705913238536,0.17454112771490865,0.03889139917119716,0.015312278684153188,W0_capacity_state,4,B4_logistic_regression,36,717,condition_fold,event_within_1_checkup
0.04663875353767215,0.09336176409771424,0.015890011732732256,0.011525928340702055,W0_capacity_state,1,B4_logistic_regression,36,752,profile_holdout_fold,event_within_1_checkup
0.054729970193224654,0.27521407004046283,0.0650683714905661,0.025429968532987592,W0_capacity_state,1,B4_logistic_regression,43,742,temperature_holdout_fold,event_within_1_checkup
0.04380333617093853,0.25512488742536243,0.06784347866973495,0.004260632929708142,W0_capacity_state,2,B4_logistic_regression,49,1060,temperature_holdout_fold,event_within_1_checkup
0.07146562477219456,0.07613170340056356,0.0005811998011545523,0.03946793055355947,W0_capacity_state,1,B4_logistic_regression,84,1130,voltage_window_holdout_fold,event_within_1_checkup
0.05963227027376673,0.12922101412417075,0.020651238645842448,0.033342197797983336,W0_capacity_state,2,B4_logistic_regression,85,1371,voltage_window_holdout_fold,event_within_1_checkup
0.006198497679699946,0.5403429058777228,0.1951497822530704,0.056942570350911624,W0_capacity_state,3,B4_logistic_regression,4,1326,voltage_window_holdout_fold,event_within_1_checkup
0.18711744398596453,0.3292734867837446,0.046585401739546874,0.16934882688041786,W1_state_time,1,B4_logistic_regression,32,157,c_rate_holdout_fold,event_within_1_checkup
0.046847700703985806,0.11770557876545022,0.019108862586656065,0.01588772009856214,W1_state_time,0,B4_logistic_regression,42,844,condition_fold,event_within_1_checkup
0.030404273968383452,0.1008318498936952,0.01924674126635295,0.017151166180871,W1_state_time,1,B4_logistic_regression,28,865,condition_fold,event_within_1_checkup
0.02994206994200654,0.13386154186910432,0.02725103933007353,0.019573092236990768,W1_state_time,2,B4_logistic_regression,29,892,condition_fold,event_within_1_checkup
0.06788736285153983,0.20508414251865525,0.036349019160884934,0.03412848791093443,W1_state_time,3,B4_logistic_regression,38,509,condition_fold,event_within_1_checkup
0.04750911929672314,0.16026925396547387,0.03022345923820501,0.01892438024011142,W1_state_time,4,B4_logistic_regression,36,717,condition_fold,event_within_1_checkup
0.04592943159244571,0.10788245542006888,0.017357679832592555,0.009293190276446147,W1_state_time,1,B4_logistic_regression,36,752,profile_holdout_fold,event_within_1_checkup
0.05235759287291286,0.19091892401668226,0.03438953170350929,0.024887270240300255,W1_state_time,1,B4_logistic_regression,43,742,temperature_holdout_fold,event_within_1_checkup
0.043903998939464124,0.0953682473416628,0.013401461568094533,0.007387061373211233,W1_state_time,2,B4_logistic_regression,49,1060,temperature_holdout_fold,event_within_1_checkup
0.06901703023964673,0.2552477318746483,0.06122530878307413,0.025678623659050312,W1_state_time,1,B4_logistic_regression,84,1130,voltage_window_holdout_fold,event_within_1_checkup
0.06049531758251138,0.11677793946604029,0.014024581413649892,0.039240726778185894,W1_state_time,2,B4_logistic_regression,85,1371,voltage_window_holdout_fold,event_within_1_checkup
0.004274237455385716,5.024699644757885e-05,-0.0007705949189529823,0.026801223051845936,W1_state_time,3,B4_logistic_regression,4,1326,voltage_window_holdout_fold,event_within_1_checkup
0.138734181141191,0.32394126048248784,0.10532497602034455,0.15219598943204707,W2_nominal,1,B4_logistic_regression,32,157,c_rate_holdout_fold,event_within_1_checkup
0.0476587163987173,0.07908005492596246,0.0059880072332687325,0.033392227440502284,W2_nominal,0,B4_logistic_regression,42,844,condition_fold,event_within_1_checkup
0.02811598995508903,0.0643154143300631,0.005797880111980258,0.014154087427033325,W2_nominal,1,B4_logistic_regression,28,865,condition_fold,event_within_1_checkup
0.028012912477917942,0.07900209473808555,0.005750620359352113,0.008051011021583801,W2_nominal,2,B4_logistic_regression,29,892,condition_fold,event_within_1_checkup
0.05684256594431667,0.23937423084393214,0.04257057390350254,0.013351071155977227,W2_nominal,3,B4_logistic_regression,38,509,condition_fold,event_within_1_checkup
0.04189189514419574,0.10024003972246417,0.008345869338822342,0.015733682258770646,W2_nominal,4,B4_logistic_regression,36,717,condition_fold,event_within_1_checkup
0.04785383673418566,0.08785651524585275,0.004516928441903047,0.047632700358820376,W2_nominal,1,B4_logistic_regression,36,752,profile_holdout_fold,event_within_1_checkup
0.04434770012002625,0.12697423060859778,0.011247052572510359,0.01852661179842943,W2_nominal,1,B4_logistic_regression,43,742,temperature_holdout_fold,event_within_1_checkup
0.04343582286500342,0.1007523241019791,0.007067001757917027,0.030229340915360177,W2_nominal,2,B4_logistic_regression,49,1060,temperature_holdout_fold,event_within_1_checkup
0.07433270710044348,0.8333978354865759,0.05803710587699651,0.07433087097332602,W2_nominal,1,B4_logistic_regression,84,1130,voltage_window_holdout_fold,event_within_1_checkup
0.061998417214712616,,,0.06199754121079504,W2_nominal,2,B4_logistic_regression,85,1371,voltage_window_holdout_fold,event_within_1_checkup
0.029090223405183076,0.002579972454517353,-0.0001790949306745801,0.1331807953517818,W2_nominal,3,B4_logistic_regression,4,1326,voltage_window_holdout_fold,event_within_1_checkup
0.1920708815198238,0.31829283424024857,0.03363689271686562,0.18313277968000352,W0_capacity_state,1,B5_ridge_logistic,32,157,c_rate_holdout_fold,event_within_1_checkup
0.04750780990257842,0.17530710918788356,0.04167146409975115,0.007593554885613438,W0_capacity_state,0,B5_ridge_logistic,42,844,condition_fold,event_within_1_checkup
0.03163134783536545,0.1783388122969592,0.04731518834525465,0.015644750818452194,W0_capacity_state,1,B5_ridge_logistic,28,865,condition_fold,event_within_1_checkup
0.031072779807068487,0.3200077025114842,0.09229249857856264,0.012072165589638518,W0_capacity_state,2,B5_ridge_logistic,29,892,condition_fold,event_within_1_checkup
0.07070546685269519,0.19194636287559602,0.03568326161872769,0.043356856085789715,W0_capacity_state,3,B5_ridge_logistic,38,509,condition_fold,event_within_1_checkup
0.0479324904519065,0.17487673547559504,0.039004864385090154,0.015285225014727382,W0_capacity_state,4,B5_ridge_logistic,36,717,condition_fold,event_within_1_checkup
0.046630579682611244,0.0934824619913022,0.01593116846031395,0.011487842062416575,W0_capacity_state,1,B5_ridge_logistic,36,752,profile_holdout_fold,event_within_1_checkup
0.05472737892831688,0.27581012607976163,0.0652665770466361,0.02540230947351006,W0_capacity_state,1,B5_ridge_logistic,43,742,temperature_holdout_fold,event_within_1_checkup
0.04380190850823334,0.2557592846934405,0.06805755629808309,0.004250423601576353,W0_capacity_state,2,B5_ridge_logistic,49,1060,temperature_holdout_fold,event_within_1_checkup
0.0714503545327694,0.07613801523326766,0.0005831852725368149,0.03946653622411048,W0_capacity_state,1,B5_ridge_logistic,84,1130,voltage_window_holdout_fold,event_within_1_checkup
0.05961744989593946,0.12948662572348224,0.02073691570717932,0.03330066127303211,W0_capacity_state,2,B5_ridge_logistic,85,1371,voltage_window_holdout_fold,event_within_1_checkup
0.006201243152751549,0.5419078638249111,0.1957476621202438,0.056965568671713866,W0_capacity_state,3,B5_ridge_logistic,4,1326,voltage_window_holdout_fold,event_within_1_checkup
0.18704576517286328,0.33053104579468345,0.04693871512538702,0.1694645083055851,W1_state_time,1,B5_ridge_logistic,32,157,c_rate_holdout_fold,event_within_1_checkup
0.04736577479303404,0.135538749907483,0.026084201641063967,0.01852254169444511,W1_state_time,0,B5_ridge_logistic,42,844,condition_fold,event_within_1_checkup
0.03062394847500845,0.12447809630381361,0.02708269415496714,0.01583026609610593,W1_state_time,1,B5_ridge_logistic,28,865,condition_fold,event_within_1_checkup
0.029881098264639562,0.1462258010283597,0.0309289157203828,0.01949589642521178,W1_state_time,2,B5_ridge_logistic,29,892,condition_fold,event_within_1_checkup
0.06874767487984251,0.2426317879088837,0.050463577196614116,0.03537136921801703,W1_state_time,3,B5_ridge_logistic,38,509,condition_fold,event_within_1_checkup
0.04788267944105861,0.16294621154819794,0.032610288203259105,0.01965027958415016,W1_state_time,4,B5_ridge_logistic,36,717,condition_fold,event_within_1_checkup
0.04636672900110073,0.13060034968469844,0.025776344700078713,0.008118796739376924,W1_state_time,1,B5_ridge_logistic,36,752,profile_holdout_fold,event_within_1_checkup
0.05293058136877097,0.2578232223753235,0.05597370954490617,0.02428463526438272,W1_state_time,1,B5_ridge_logistic,43,742,temperature_holdout_fold,event_within_1_checkup
0.04401440245026473,0.09698874674532651,0.014575897802431341,0.010450325801751582,W1_state_time,2,B5_ridge_logistic,49,1060,temperature_holdout_fold,event_within_1_checkup
0.06903131823015893,0.25586330127786394,0.06147823250104098,0.024955798954731653,W1_state_time,1,B5_ridge_logistic,84,1130,voltage_window_holdout_fold,event_within_1_checkup
0.06038268024535776,0.11858244683741519,0.014625696624923024,0.038705090632732565,W1_state_time,2,B5_ridge_logistic,85,1371,voltage_window_holdout_fold,event_within_1_checkup
0.003934306241357706,-0.0008363903329274046,-0.0010146559722374743,0.02427676758476264,W1_state_time,3,B5_ridge_logistic,4,1326,voltage_window_holdout_fold,event_within_1_checkup
0.16466459407133302,0.3640703858803528,0.24592185818438037,0.1589245419253478,W2_nominal,1,B5_ridge_logistic,32,157,c_rate_holdout_fold,event_within_1_checkup
0.048010323694698064,0.11556542074915906,0.01780984513673808,0.02423865376777058,W2_nominal,0,B5_ridge_logistic,42,844,condition_fold,event_within_1_checkup
0.028871899288987663,0.13198564961257328,0.02608106458508373,0.013718058337734894,W2_nominal,1,B5_ridge_logistic,28,865,condition_fold,event_within_1_checkup
0.028426895235822817,0.13077579310610876,0.022023506450875308,0.009129066721242302,W2_nominal,2,B5_ridge_logistic,29,892,condition_fold,event_within_1_checkup
0.061767797315160806,0.28193433402399126,0.05967604314977205,0.019406620695111846,W2_nominal,3,B5_ridge_logistic,38,509,condition_fold,event_within_1_checkup
0.045051821649782164,0.16788121281950935,0.032580026027272425,0.02002656770012383,W2_nominal,4,B5_ridge_logistic,36,717,condition_fold,event_within_1_checkup
