bias,condition_mean_mae,condition_median_mae,diagnostic_family,feature_group,heldout_fold,horizon_checkups,mae,model_level,n_test,n_train,rmse,split_name,target_name,test_conditions,train_conditions,worst_condition_mae
8.438228364640668e-05,0.0007199345929743246,0.0005089400406036384,eis,DH3_capacity_plus_prior_same_diagnostic,0,1,0.0005061633589285438,DM2_ridge,827,2923,0.0007835370292010116,condition_fold,nyquist_semicircle_width_proxy,16,60,0.00202614500870807
-0.0005583038062699681,0.001183158259724242,0.0011281243701865725,eis,DH0_time_nominal,0,1,0.0011282665698557444,DM3_hist_gradient_boosting,827,2923,0.0017551389275883534,condition_fold,nyquist_semicircle_width_proxy,16,60,0.002867057868685219
0.00010672196588296707,0.0010126904987773076,0.001001996886523652,eis,DH1_capacity_state,0,1,0.0008171270912106271,DM3_hist_gradient_boosting,827,2923,0.0013603325449120058,condition_fold,nyquist_semicircle_width_proxy,16,60,0.002232412586432779
0.00011797494194050977,0.0006093631889200575,0.0004833712606911885,eis,DH2_prior_same_diagnostic_state,0,1,0.0004793653934153687,DM3_hist_gradient_boosting,827,2923,0.0009049545013173761,condition_fold,nyquist_semicircle_width_proxy,16,60,0.0012375848857688325
0.0001287374071501803,0.000683978118281825,0.0004994167019440999,eis,DH3_capacity_plus_prior_same_diagnostic,0,1,0.0004535723139164331,DM3_hist_gradient_boosting,827,2923,0.0008970627801966509,condition_fold,nyquist_semicircle_width_proxy,16,60,0.002270598474217823
-0.0013748974358974361,0.0027470545680018856,0.002114060239018088,pulse,persistence,0,2,0.0014803256410256412,DM0_persistence,780,2744,0.0024608427037948835,condition_fold,pulse_1s_resistance,16,60,0.011020000000000002
-0.0012458217182477384,0.003950998975904098,0.0034958376435230178,pulse,train_mean,0,2,0.0034214718537414965,DM1_train_mean,780,2744,0.004749003353104535,condition_fold,pulse_1s_resistance,16,60,0.007618079301986575
-0.0005737846440199629,0.0024337436967408594,0.002228928965623104,pulse,DH0_time_nominal,0,2,0.0018562368300983755,DM2_ridge,780,2744,0.0027088134891912344,condition_fold,pulse_1s_resistance,16,60,0.004899391299993977
5.905526110402506e-05,0.00208688797025726,0.0015633745490871982,pulse,DH1_capacity_state,0,2,0.0014769214485499474,DM2_ridge,780,2744,0.0019947325667386533,condition_fold,pulse_1s_resistance,16,60,0.007205316055738167
-0.00016051041079763099,0.0017758476926082812,0.001559384812711825,pulse,DH2_prior_same_diagnostic_state,0,2,0.0012212461445138614,DM2_ridge,780,2744,0.0017601547663973038,condition_fold,pulse_1s_resistance,16,60,0.005704723747546332
-3.8739978144347016e-05,0.0017821619475216592,0.0013299977827321823,pulse,DH3_capacity_plus_prior_same_diagnostic,0,2,0.0011634220710923157,DM2_ridge,780,2744,0.001662436451268913,condition_fold,pulse_1s_resistance,16,60,0.006622923211737394
-0.000264286460954759,0.0023250462796387283,0.0020955888732843942,pulse,DH0_time_nominal,0,2,0.0021993427493038798,DM3_hist_gradient_boosting,780,2744,0.003326341850722287,condition_fold,pulse_1s_resistance,16,60,0.003880649633354072
0.00043674387688553225,0.001284873432692014,0.0011731849821126628,pulse,DH1_capacity_state,0,2,0.0011458069463618568,DM3_hist_gradient_boosting,780,2744,0.0017430788558223523,condition_fold,pulse_1s_resistance,16,60,0.0027361048233721847
