diagnostic_family,gain_10pct_rows,horizon_checkups,max_relative_gain,mean_gain,mean_relative_gain,min_gain,min_relative_gain,nonnegative_gain_rows,positive_gain_rows,reference_name,rows,split_name,target_name
eis,0,2,-0.0553997287307485,-3.2879945105697026e-05,-0.0553997287307485,-3.2879945105697026e-05,-0.0553997287307485,0,0,persistence,1,voltage_window_holdout_fold,eis_z_abs_1kHz
eis,0,2,0.0063847726956250675,4.02501613704369e-06,0.0063847726956250675,4.02501613704369e-06,0.0063847726956250675,1,1,prior_same_diagnostic,1,voltage_window_holdout_fold,eis_z_abs_1kHz
eis,1,3,0.3550360643081313,0.0003612140345150126,0.3550360643081313,0.0003612140345150126,0.3550360643081313,1,1,capacity_state,1,all,eis_z_abs_1kHz
eis,1,3,0.24266142806880103,0.00021025108661628798,0.24266142806880103,0.00021025108661628798,0.24266142806880103,1,1,persistence,1,all,eis_z_abs_1kHz
eis,1,3,0.11243636280687068,8.31256134413064e-05,0.11243636280687068,8.31256134413064e-05,0.11243636280687068,1,1,prior_same_diagnostic,1,all,eis_z_abs_1kHz
eis,0,3,0.028470216230741367,4.3843839466467483e-05,0.028470216230741367,4.3843839466467483e-05,0.028470216230741367,1,1,capacity_state,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,1,3,0.30910602760921974,0.0006693757928902585,0.30910602760921974,0.0006693757928902585,0.30910602760921974,1,1,persistence,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,0,3,-0.044768144102435264,-6.410960499853534e-05,-0.044768144102435264,-6.410960499853534e-05,-0.044768144102435264,0,0,prior_same_diagnostic,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,1,3,0.41715665689718506,0.0003492013233330344,0.41715665689718506,0.0003492013233330344,0.41715665689718506,1,1,capacity_state,1,condition_fold,eis_z_abs_1kHz
eis,1,3,0.3456069829903795,0.00025767506574184926,0.3456069829903795,0.00025767506574184926,0.3456069829903795,1,1,persistence,1,condition_fold,eis_z_abs_1kHz
eis,1,3,0.12890978903353628,7.220234575324624e-05,0.12890978903353628,7.220234575324624e-05,0.12890978903353628,1,1,prior_same_diagnostic,1,condition_fold,eis_z_abs_1kHz
eis,1,3,0.4835059307565668,0.0005939415801657804,0.4835059307565668,0.0005939415801657804,0.4835059307565668,1,1,capacity_state,1,profile_holdout_fold,eis_z_abs_1kHz
eis,0,3,0.08802500174665168,6.123932195540487e-05,0.08802500174665168,6.123932195540487e-05,0.08802500174665168,1,1,persistence,1,profile_holdout_fold,eis_z_abs_1kHz
eis,1,3,0.24107117525521732,0.00020153547376680972,0.24107117525521732,0.00020153547376680972,0.24107117525521732,1,1,prior_same_diagnostic,1,profile_holdout_fold,eis_z_abs_1kHz
eis,1,3,0.3184024689157006,0.00029488176275876705,0.3184024689157006,0.00029488176275876705,0.3184024689157006,1,1,capacity_state,1,temperature_holdout_fold,eis_z_abs_1kHz
eis,1,3,0.19748929700375026,0.00015534319265852873,0.19748929700375026,0.00015534319265852873,0.19748929700375026,1,1,persistence,1,temperature_holdout_fold,eis_z_abs_1kHz
