feature_group,horizon_checkups,max_abs_error,mean_abs_error,median_abs_error,model_level,parameter_set,rows,split_name,target_name
DH3_capacity_plus_prior_same_diagnostic,1,0.7700376074366482,0.6071256965270458,0.575043226562973,DM3_hist_gradient_boosting,31,6,condition_fold,eis_phase_1kHz
DH1_capacity_state,1,2.3082086930415757,0.6059717978498962,0.49503186612591443,DM3_hist_gradient_boosting,54,43,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,1,1.1257656957106024,0.6057897375262028,0.5026119436469858,DM3_hist_gradient_boosting,67,12,condition_fold,eis_phase_1kHz
DH1_capacity_state,1,1.412208693041576,0.6046330097630392,0.5012401012303238,DM3_hist_gradient_boosting,31,6,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.2133982909216579,0.5982972073494272,0.5263276763980445,DM3_hist_gradient_boosting,52,14,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.86258841098563,0.5961173988090102,0.3328036244088971,DM3_hist_gradient_boosting,60,7,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.1534931302466198,0.5959573872132455,0.6171925375062739,DM3_hist_gradient_boosting,2,72,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.5291588780558243,0.5958375151124656,0.5522801207221281,DM3_hist_gradient_boosting,17,18,condition_fold,eis_phase_1kHz
DH1_capacity_state,1,1.2199001205592228,0.5950089790727895,0.4642718853556752,DM3_hist_gradient_boosting,67,12,temperature_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.6671092255836575,0.5938356428154697,0.439018659263796,DM3_hist_gradient_boosting,53,29,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.720162026558546,0.5937687418113184,0.4271048725042193,DM3_hist_gradient_boosting,17,18,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.5525831090660107,0.5929090682485488,0.4329531778820397,DM3_hist_gradient_boosting,60,10,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.1606847460485599,0.592760642114265,0.5396378559015995,DM3_hist_gradient_boosting,17,12,condition_fold,eis_phase_1kHz
DH1_capacity_state,5,1.8650265643483395,0.5914447382337441,0.48419373542243793,DM3_hist_gradient_boosting,72,72,profile_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.1624220098756017,0.5908655618233879,0.5927870384889906,DM3_hist_gradient_boosting,18,11,condition_fold,eis_phase_1kHz
persistence,1,1.5050000000000001,0.5901666666666667,0.5225000000000001,DM0_persistence,43,12,condition_fold,eis_phase_1kHz
persistence,1,1.5050000000000001,0.5901666666666667,0.5225000000000001,DM0_persistence,43,12,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.4414406226666183,0.589433434203394,0.4869741858104667,DM3_hist_gradient_boosting,60,12,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.2777135590740942,0.5889582617723168,0.5499857202557759,DM3_hist_gradient_boosting,73,20,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,2.0789127644766463,0.5883884042302839,0.49296396633001216,DM3_hist_gradient_boosting,29,28,voltage_window_holdout_fold,eis_phase_1kHz
persistence,2,1.648643444227006,0.5881643444227006,0.37750000000000006,DM0_persistence,60,10,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.2993638813790342,0.5881396632062702,0.5171962308297801,DM3_hist_gradient_boosting,42,34,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.3183543554672958,0.5878013789615363,0.4553194923137277,DM3_hist_gradient_boosting,18,11,temperature_holdout_fold,eis_phase_1kHz
persistence,2,1.6400775450202132,0.5873077545020213,0.37750000000000006,DM0_persistence,60,10,condition_fold,eis_phase_1kHz
persistence,2,1.632107127240927,0.5865107127240927,0.37750000000000006,DM0_persistence,60,10,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.0273177548025567,0.5853077129458445,0.7119391296565318,DM3_hist_gradient_boosting,28,6,condition_fold,eis_phase_1kHz
