beats_reference,candidate_feature_group,candidate_mean_mae,candidate_model_level,diagnostic_family,failure_reason,gain,horizon_checkups,is_c_rate_gate_row,is_primary_gate_row,passes_10pct_gain,passes_noncollapse,reference_feature_group,reference_mean_mae,reference_model_level,reference_name,relative_gain,split_name,target_name
True,DH3_capacity_plus_prior_same_diagnostic,0.0012829972864238104,DM3_hist_gradient_boosting,eis,not_gate_row,0.0001767012336879913,1,False,False,True,True,persistence,0.0014596985201118017,DM0_persistence,persistence,0.12105323890748163,c_rate_holdout_fold,nyquist_semicircle_width_proxy
False,DH3_capacity_plus_prior_same_diagnostic,0.0012829972864238104,DM3_hist_gradient_boosting,eis,not_gate_row,-0.0004219947083912421,1,False,False,False,False,DH2_prior_same_diagnostic_state,0.0008610025780325682,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.4901201450006341,c_rate_holdout_fold,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0015013910579660535,DM3_hist_gradient_boosting,eis,passes_gate_row,0.0001989775859333803,2,True,False,True,True,DH1_capacity_state,0.0017003686438994338,DM3_hist_gradient_boosting,capacity_state,0.11702026301606429,c_rate_holdout_fold,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0015013910579660535,DM3_hist_gradient_boosting,eis,passes_gate_row,0.000925468394403187,2,True,False,True,True,persistence,0.0024268594523692406,DM0_persistence,persistence,0.38134404260604843,c_rate_holdout_fold,nyquist_semicircle_width_proxy
False,DH3_capacity_plus_prior_same_diagnostic,0.0015013910579660535,DM3_hist_gradient_boosting,eis,not_gate_row,-0.00034827415573320604,2,False,False,False,False,DH2_prior_same_diagnostic_state,0.0011531169022328475,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.30202848909665836,c_rate_holdout_fold,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0014908504041158308,DM3_hist_gradient_boosting,eis,passes_gate_row,5.439186106949586e-05,3,True,False,False,True,DH1_capacity_state,0.0015452422651853267,DM3_hist_gradient_boosting,capacity_state,0.03519956856925114,c_rate_holdout_fold,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0014908504041158308,DM3_hist_gradient_boosting,eis,passes_gate_row,0.001054012840634496,3,True,False,True,True,persistence,0.002544863244750327,DM0_persistence,persistence,0.4141726840563112,c_rate_holdout_fold,nyquist_semicircle_width_proxy
False,DH3_capacity_plus_prior_same_diagnostic,0.0014908504041158308,DM3_hist_gradient_boosting,eis,not_gate_row,-0.00042466454347681406,3,False,False,False,False,DH2_prior_same_diagnostic_state,0.0010661858606390167,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.39830254663318465,c_rate_holdout_fold,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0018416598449311505,DM3_hist_gradient_boosting,eis,not_gate_row,6.715481424265143e-05,5,False,False,False,True,DH1_capacity_state,0.001908814659173802,DM3_hist_gradient_boosting,capacity_state,0.03518142210397643,c_rate_holdout_fold,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0018416598449311505,DM3_hist_gradient_boosting,eis,not_gate_row,0.0015558901550688496,5,False,False,True,True,persistence,0.00339755,DM0_persistence,persistence,0.45794474108367783,c_rate_holdout_fold,nyquist_semicircle_width_proxy
False,DH3_capacity_plus_prior_same_diagnostic,0.0018416598449311505,DM3_hist_gradient_boosting,eis,not_gate_row,-0.000594938807651033,5,False,False,False,False,DH2_prior_same_diagnostic_state,0.0012467210372801175,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.47720283035326705,c_rate_holdout_fold,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.001377344144494357,DM3_hist_gradient_boosting,pulse,not_gate_row,0.00016530048937517619,1,False,False,True,True,DH1_capacity_state,0.0015426446338695332,DM3_hist_gradient_boosting,capacity_state,0.10715396517507753,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.001377344144494357,DM3_hist_gradient_boosting,pulse,not_gate_row,0.000848669841519629,1,False,False,True,True,persistence,0.002226013986013986,DM0_persistence,persistence,0.3812509026680917,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.001377344144494357,DM3_hist_gradient_boosting,pulse,not_gate_row,0.00010163309986092341,1,False,False,False,True,DH2_prior_same_diagnostic_state,0.0014789772443552804,DM3_hist_gradient_boosting,prior_same_diagnostic,0.06871850141631325,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.002067660268940338,DM3_hist_gradient_boosting,pulse,passes_gate_row,0.00014836865082221585,2,True,False,False,True,DH1_capacity_state,0.002216028919762554,DM3_hist_gradient_boosting,capacity_state,0.06695248852533632,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.002067660268940338,DM3_hist_gradient_boosting,pulse,passes_gate_row,0.001473872441340036,2,True,False,True,True,persistence,0.003541532710280374,DM0_persistence,persistence,0.41616795944356905,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.002067660268940338,DM3_hist_gradient_boosting,pulse,not_gate_row,3.440082857661267e-05,2,False,False,False,True,DH2_prior_same_diagnostic_state,0.002102061097516951,DM3_hist_gradient_boosting,prior_same_diagnostic,0.01636528482319019,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0019789322104392607,DM3_hist_gradient_boosting,pulse,passes_gate_row,5.6983411793822165e-06,3,True,False,False,True,DH1_capacity_state,0.001984630551618643,DM3_hist_gradient_boosting,capacity_state,0.002871235240601689,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0019789322104392607,DM3_hist_gradient_boosting,pulse,passes_gate_row,0.001338473194966145,3,True,False,True,True,persistence,0.0033174054054054057,DM0_persistence,persistence,0.4034698902899316,c_rate_holdout_fold,pulse_10ms_resistance
False,DH3_capacity_plus_prior_same_diagnostic,0.0019789322104392607,DM3_hist_gradient_boosting,pulse,not_gate_row,-6.326800423480587e-05,3,False,False,False,False,DH2_prior_same_diagnostic_state,0.0019156642062044549,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.0330266672154198,c_rate_holdout_fold,pulse_10ms_resistance
False,DH3_capacity_plus_prior_same_diagnostic,0.0020339371202080705,DM3_hist_gradient_boosting,pulse,not_gate_row,-7.397469301497666e-05,5,False,False,False,False,DH1_capacity_state,0.001959962427193094,DM3_hist_gradient_boosting,capacity_state,-0.03774291383785223,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0020339371202080705,DM3_hist_gradient_boosting,pulse,not_gate_row,0.0019213628797919297,5,False,False,True,True,persistence,0.0039553,DM0_persistence,persistence,0.48576919065353563,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0020339371202080705,DM3_hist_gradient_boosting,pulse,not_gate_row,0.00018219692318198694,5,False,False,False,True,DH2_prior_same_diagnostic_state,0.0022161340433900574,DM3_hist_gradient_boosting,prior_same_diagnostic,0.08221385512551274,c_rate_holdout_fold,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.00148597059674011,DM3_hist_gradient_boosting,pulse,not_gate_row,0.0001923658123370558,1,False,False,True,True,DH1_capacity_state,0.001678336409077166,DM3_hist_gradient_boosting,capacity_state,0.11461695718251637,c_rate_holdout_fold,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.00148597059674011,DM3_hist_gradient_boosting,pulse,not_gate_row,0.0010862601724906593,1,False,False,True,True,persistence,0.0025722307692307694,DM0_persistence,persistence,0.4223027674983872,c_rate_holdout_fold,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.00148597059674011,DM3_hist_gradient_boosting,pulse,not_gate_row,8.259255761417276e-05,1,False,False,False,True,DH2_prior_same_diagnostic_state,0.0015685631543542829,DM3_hist_gradient_boosting,prior_same_diagnostic,0.05265491375651555,c_rate_holdout_fold,pulse_1s_resistance
False,DH3_capacity_plus_prior_same_diagnostic,0.0023730673719826395,DM3_hist_gradient_boosting,pulse,c_rate_negative_gain,-4.315098060067796e-05,2,True,False,False,False,DH1_capacity_state,0.0023299163913819616,DM3_hist_gradient_boosting,capacity_state,-0.01852039874061038,c_rate_holdout_fold,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0023730673719826395,DM3_hist_gradient_boosting,pulse,passes_gate_row,0.001964970011194931,2,True,False,True,True,persistence,0.004338037383177571,DM0_persistence,persistence,0.45296290410379303,c_rate_holdout_fold,pulse_1s_resistance
False,DH3_capacity_plus_prior_same_diagnostic,0.0023730673719826395,DM3_hist_gradient_boosting,pulse,not_gate_row,-0.00011145307645860861,2,False,False,False,False,DH2_prior_same_diagnostic_state,0.002261614295524031,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.04928032011434744,c_rate_holdout_fold,pulse_1s_resistance
False,DH3_capacity_plus_prior_same_diagnostic,0.0021531543080380434,DM3_hist_gradient_boosting,pulse,c_rate_negative_gain,-5.13632984596858e-05,3,True,False,False,False,DH1_capacity_state,0.0021017910095783576,DM3_hist_gradient_boosting,capacity_state,-0.02443787142756398,c_rate_holdout_fold,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0021531543080380434,DM3_hist_gradient_boosting,pulse,passes_gate_row,0.002349670016286281,3,True,False,True,True,persistence,0.004502824324324324,DM0_persistence,persistence,0.5218213829914101,c_rate_holdout_fold,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0021531543080380434,DM3_hist_gradient_boosting,pulse,not_gate_row,3.5092876347082164e-05,3,False,False,False,True,DH2_prior_same_diagnostic_state,0.0021882471843851256,DM3_hist_gradient_boosting,prior_same_diagnostic,0.016036980007330795,c_rate_holdout_fold,pulse_1s_resistance
False,DH3_capacity_plus_prior_same_diagnostic,0.0024307809816396186,DM3_hist_gradient_boosting,pulse,not_gate_row,-0.00012777569579332628,5,False,False,False,False,DH1_capacity_state,0.0023030052858462923,DM3_hist_gradient_boosting,capacity_state,-0.05548215480815632,c_rate_holdout_fold,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0024307809816396186,DM3_hist_gradient_boosting,pulse,not_gate_row,0.0034279690183603817,5,False,False,True,True,persistence,0.00585875,DM0_persistence,persistence,0.5851024567288895,c_rate_holdout_fold,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0024307809816396186,DM3_hist_gradient_boosting,pulse,not_gate_row,0.0003529757282317147,5,False,False,True,True,DH2_prior_same_diagnostic_state,0.0027837567098713332,DM3_hist_gradient_boosting,prior_same_diagnostic,0.1267983394454142,c_rate_holdout_fold,pulse_1s_resistance
