bias,condition_mean_mae,condition_median_mae,diagnostic_family,feature_group,heldout_fold,horizon_checkups,mae,model_level,n_test,n_train,rmse,split_name,target_name,test_conditions,train_conditions,worst_condition_mae
-0.0020542237762237758,0.0031657420584045586,0.002838861538461538,pulse,persistence,1,1,0.002226013986013986,DM0_persistence,143,3609,0.0035347727852517823,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.006539166666666668
-0.0010637042727292116,0.0033469797094015405,0.0029300085123729145,pulse,train_mean,1,1,0.0028784326460461122,DM1_train_mean,143,3609,0.004120425126794145,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.005639166666666667
-0.00032309540343028486,0.0032986468469869377,0.003200414984640727,pulse,DH0_time_nominal,1,1,0.0027696382161215656,DM2_ridge,143,3609,0.003724831456818978,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.005504699870088258
0.0002711712438467762,0.002329380680360996,0.0019599597406892194,pulse,DH1_capacity_state,1,1,0.0017807321731942414,DM2_ridge,143,3609,0.002572323453206905,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.005160056668580639
-0.0001198055519544919,0.002269177918667906,0.001763661232683529,pulse,DH2_prior_same_diagnostic_state,1,1,0.0017944476246220143,DM2_ridge,143,3609,0.0025984101625154475,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.00480964480975054
8.06689451888271e-05,0.0019883186641466073,0.001484613929683493,pulse,DH3_capacity_plus_prior_same_diagnostic,1,1,0.0014823212953536244,DM2_ridge,143,3609,0.0022403327057682184,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.004155429176778973
-0.0015483366316493118,0.002313545471331106,0.0023143030226553283,pulse,DH0_time_nominal,1,1,0.0019195684334838395,DM3_hist_gradient_boosting,143,3609,0.0031544566291343916,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.0046537252300252645
-0.0004374874353071091,0.002102422426433061,0.001476272622664282,pulse,DH1_capacity_state,1,1,0.0015426446338695332,DM3_hist_gradient_boosting,143,3609,0.0023718718027658904,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.004511381075354891
-0.0009520125688774088,0.00206690775361503,0.001677081639667564,pulse,DH2_prior_same_diagnostic_state,1,1,0.0014789772443552804,DM3_hist_gradient_boosting,143,3609,0.002325680026775348,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.004638985106360295
-0.0005864217378114229,0.0019761718913929925,0.0014149678532707982,pulse,DH3_capacity_plus_prior_same_diagnostic,1,1,0.001377344144494357,DM3_hist_gradient_boosting,143,3609,0.0021998583408201233,c_rate_holdout_fold,pulse_10ms_resistance,12,64,0.004589783643490267
-0.0012380298222260393,0.0017586812808197336,0.0016139692307692308,eis,persistence,1,1,0.0012886462341119892,DM0_persistence,142,3608,0.0022271505257624377,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.0035798333333333337
-0.0006535094039848863,0.002027454559924606,0.0019692196294559096,eis,train_mean,1,1,0.001869174467536929,DM1_train_mean,142,3608,0.002723660144985701,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.0033120000000000003
-0.00021399263470973673,0.0020817956206495986,0.001972961664805287,eis,DH0_time_nominal,1,1,0.0018187353480609934,DM2_ridge,142,3608,0.0025040528860118213,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.003288347055890449
0.00015017078933415398,0.0016208541335636243,0.0013001489324794995,eis,DH1_capacity_state,1,1,0.0012582413900532627,DM2_ridge,142,3608,0.0018472079647484595,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.003606360254187018
-0.0001013580631752545,0.0013842841899183893,0.0012165241377660428,eis,DH2_prior_same_diagnostic_state,1,1,0.0011133779749199406,DM2_ridge,142,3608,0.0016811864884130807,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.002992655665123392
6.986288706557649e-06,0.0010967627167676518,0.0009761580541572682,eis,DH3_capacity_plus_prior_same_diagnostic,1,1,0.0008695946427525167,DM2_ridge,142,3608,0.0014199483928755935,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.0023029981220103273
-0.0010019207504331088,0.0014299061979290968,0.0012143268051170032,eis,DH0_time_nominal,1,1,0.001282764436117528,DM3_hist_gradient_boosting,142,3608,0.002265198779300315,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.0029188319695742544
-0.0001960720185666828,0.001242776954231188,0.0008790723290798928,eis,DH1_capacity_state,1,1,0.0010069412104594187,DM3_hist_gradient_boosting,142,3608,0.001624366457039949,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.0026302596125471734
-0.0005354935454469028,0.0011588161573452746,0.0010110318860930222,eis,DH2_prior_same_diagnostic_state,1,1,0.0008647342623141758,DM3_hist_gradient_boosting,142,3608,0.0015292998488239539,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.002576893555909645
-0.00022764686681702766,0.0010344444087516298,0.0007012385963107587,eis,DH3_capacity_plus_prior_same_diagnostic,1,1,0.0007566462355428257,DM3_hist_gradient_boosting,142,3608,0.0013331727453513636,c_rate_holdout_fold,eis_z_abs_1kHz,12,64,0.0025067161901560567
-0.15429580782923707,0.5536471335391686,0.5472914703436806,eis,persistence,1,1,0.4567886992130164,DM0_persistence,142,3608,0.6110995475966732,c_rate_holdout_fold,eis_phase_1kHz,12,64,1.0371666666666666
-0.08939907794884605,0.569983722741802,0.56375,eis,train_mean,1,1,0.4932959737359857,DM1_train_mean,142,3608,0.6466160975738041,c_rate_holdout_fold,eis_phase_1kHz,12,64,1.024169807834442
-0.02278264524941993,0.5314910412874615,0.48457710110650065,eis,DH0_time_nominal,1,1,0.4848879615565228,DM2_ridge,142,3608,0.6297849150312584,c_rate_holdout_fold,eis_phase_1kHz,12,64,0.8667231886822764
0.06018040823364157,0.50496251566288,0.4567603077035898,eis,DH1_capacity_state,1,1,0.4372057788450712,DM2_ridge,142,3608,0.5705457235827956,c_rate_holdout_fold,eis_phase_1kHz,12,64,0.8358442623179411
-0.037895186588428796,0.48128227210209257,0.4434618511343349,eis,DH2_prior_same_diagnostic_state,1,1,0.4085581379432613,DM2_ridge,142,3608,0.5315222606001567,c_rate_holdout_fold,eis_phase_1kHz,12,64,0.9145090018016822
0.019158819148760907,0.4831960677744207,0.41212721704365085,eis,DH3_capacity_plus_prior_same_diagnostic,1,1,0.40002106436947155,DM2_ridge,142,3608,0.5096600061224195,c_rate_holdout_fold,eis_phase_1kHz,12,64,0.8844843654848549
-0.23721834330862343,0.46598708713762976,0.43100989654950467,eis,DH0_time_nominal,1,1,0.45372773414008294,DM3_hist_gradient_boosting,142,3608,0.6123443986059973,c_rate_holdout_fold,eis_phase_1kHz,12,64,1.0226449699806477
-0.05494145692978721,0.4587931553412281,0.41185277091426115,eis,DH1_capacity_state,1,1,0.4188814583614152,DM3_hist_gradient_boosting,142,3608,0.551546029282723,c_rate_holdout_fold,eis_phase_1kHz,12,64,0.940873349261639
-0.12877185722623624,0.4597916717836314,0.3859528702328606,eis,DH2_prior_same_diagnostic_state,1,1,0.38823724719931374,DM3_hist_gradient_boosting,142,3608,0.5164208624201719,c_rate_holdout_fold,eis_phase_1kHz,12,64,0.9461106867236645
-0.0356064731977202,0.44674767903613805,0.40118073128213627,eis,DH3_capacity_plus_prior_same_diagnostic,1,1,0.3865458543541096,DM3_hist_gradient_boosting,142,3608,0.4967301730452106,c_rate_holdout_fold,eis_phase_1kHz,12,64,0.763086079045888
-0.00017712026287436367,0.0002659745398501115,0.00027854615384615377,eis,persistence,1,1,0.00022064138963492707,DM0_persistence,142,3608,0.0003286149876261669,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.0004738333333333332
-0.00017822521548358926,0.0004923848776533991,0.0005257859339170318,eis,train_mean,1,1,0.00046855423394022677,DM1_train_mean,142,3608,0.0006099083410126072,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.0006896924427198819
-2.7620650680922256e-05,0.0004462462299263368,0.00044571307229599995,eis,DH0_time_nominal,1,1,0.00042694967168996865,DM2_ridge,142,3608,0.000553571211507386,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.0006286621092258928
2.483001433619897e-05,0.0004552178688747005,0.000451775187320303,eis,DH1_capacity_state,1,1,0.0004047486346931551,DM2_ridge,142,3608,0.0005410875150795585,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.0007078062691389742
-6.982174830765835e-05,0.00021464294633337096,0.0001991462597608756,eis,DH2_prior_same_diagnostic_state,1,1,0.00018611063660425043,DM2_ridge,142,3608,0.00027636307886917737,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.00039311262274271215
-4.9177133130712224e-05,0.000224337806017859,0.00017204843141592716,eis,DH3_capacity_plus_prior_same_diagnostic,1,1,0.00018702608097773265,DM2_ridge,142,3608,0.0002842086929857985,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.00041754809314269913
-8.925333754118709e-05,0.00040742347428296524,0.00035661898393550486,eis,DH0_time_nominal,1,1,0.00039790669955511843,DM3_hist_gradient_boosting,142,3608,0.0005238346652875472,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.0006118838498227597
0.00010172209087840987,0.00042087884228288186,0.0003925570464035934,eis,DH1_capacity_state,1,1,0.00045381977180237147,DM3_hist_gradient_boosting,142,3608,0.0006505648876328472,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.0007158305144034927
-1.7826134125097535e-05,0.00023734785126242722,0.0002243181374089159,eis,DH2_prior_same_diagnostic_state,1,1,0.00021611878097867076,DM3_hist_gradient_boosting,142,3608,0.00032464543815371544,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.0004377990619567204
2.9866141034142448e-06,0.00022591285895508475,0.00022992083381688793,eis,DH3_capacity_plus_prior_same_diagnostic,1,1,0.00020896169355669468,DM3_hist_gradient_boosting,142,3608,0.000330938771738074,c_rate_holdout_fold,nyquist_im_peak_abs,12,64,0.0003640116745699461
-0.001351005705240311,0.00202310699609926,0.0016318333333333337,eis,persistence,1,1,0.0014596985201118017,DM0_persistence,142,3608,0.0020903238180274004,c_rate_holdout_fold,nyquist_semicircle_width_proxy,12,64,0.003872499999999999
-0.00026813408778614045,0.0020908536921947743,0.0020229300320275924,eis,train_mean,1,1,0.0020321850582430277,DM1_train_mean,142,3608,0.0025217197677200993,c_rate_holdout_fold,nyquist_semicircle_width_proxy,12,64,0.0031293333333333342
-0.0011658655769352666,0.0021112657210723717,0.002035081087921678,eis,DH0_time_nominal,1,1,0.001873678488818868,DM2_ridge,142,3608,0.0024296971249503675,c_rate_holdout_fold,nyquist_semicircle_width_proxy,12,64,0.0031254452308144796
-0.0007169704112167169,0.001975484691791152,0.0014497075684852681,eis,DH1_capacity_state,1,1,0.0015991510490890543,DM2_ridge,142,3608,0.0020756362129003467,c_rate_holdout_fold,nyquist_semicircle_width_proxy,12,64,0.003695640513350201
-6.816381885518665e-05,0.0012619539600743808,0.001040899960081692,eis,DH2_prior_same_diagnostic_state,1,1,0.0009393017912178394,DM2_ridge,142,3608,0.0014274688639692437,c_rate_holdout_fold,nyquist_semicircle_width_proxy,12,64,0.0024454037104092658
-8.881827019787563e-05,0.001609442954907398,0.0011170389453177719,eis,DH3_capacity_plus_prior_same_diagnostic,1,1,0.0011582220498766577,DM2_ridge,142,3608,0.0018378988739130955,c_rate_holdout_fold,nyquist_semicircle_width_proxy,12,64,0.003714011687128584
