beats_reference,candidate_feature_group,candidate_mean_mae,candidate_model_level,diagnostic_family,gain,horizon_checkups,reference_feature_group,reference_mean_mae,reference_model_level,reference_name,relative_gain,split_name,target_name
False,DH3_capacity_plus_prior_same_diagnostic,0.00030898324730176764,DM3_hist_gradient_boosting,eis,-6.682871367171664e-05,5,persistence,0.000242154533630051,DM0_persistence,persistence,-0.27597548007840933,all,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00030898324730176764,DM3_hist_gradient_boosting,eis,2.00296326163506e-05,5,DH2_prior_same_diagnostic_state,0.00032901287991811824,DM3_hist_gradient_boosting,prior_same_diagnostic,0.06087795900675802,all,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.0005924217158918603,DM3_hist_gradient_boosting,eis,0.00039912378556192414,1,DH1_capacity_state,0.0009915455014537845,DM3_hist_gradient_boosting,capacity_state,0.402526949067629,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0005924217158918603,DM3_hist_gradient_boosting,eis,0.00010345535361983688,1,persistence,0.0006958770695116972,DM0_persistence,persistence,0.14866900800802701,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0005924217158918603,DM3_hist_gradient_boosting,eis,4.63784929569137e-05,1,DH2_prior_same_diagnostic_state,0.000638800208848774,DM3_hist_gradient_boosting,prior_same_diagnostic,0.0726025012429091,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0008076332642550217,DM3_hist_gradient_boosting,eis,0.00034314718176618254,2,DH1_capacity_state,0.0011507804460212042,DM3_hist_gradient_boosting,capacity_state,0.2981864898318404,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0008076332642550217,DM3_hist_gradient_boosting,eis,0.000273739328405433,2,persistence,0.0010813725926604547,DM0_persistence,persistence,0.253140619859769,all,nyquist_semicircle_width_proxy
False,DH3_capacity_plus_prior_same_diagnostic,0.0008076332642550217,DM3_hist_gradient_boosting,eis,-2.032370437685051e-05,2,DH2_prior_same_diagnostic_state,0.0007873095598781712,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.02581412116981713,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0009205521640254765,DM3_hist_gradient_boosting,eis,0.0003113560383027934,3,DH1_capacity_state,0.00123190820232827,DM3_hist_gradient_boosting,capacity_state,0.25274288921393634,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0009205521640254765,DM3_hist_gradient_boosting,eis,0.00041517948369266513,3,persistence,0.0013357316477181416,DM0_persistence,persistence,0.31082551978305295,all,nyquist_semicircle_width_proxy
