auprc,auroc,brier,ece_10_bin,feature_group,group_field,group_value,model_level,negative_count,positive_count,row_count,split_name,target
,,0.1616814537205714,0.4006392047726617,W2_nominal,lead_time_bin,right_censored_unknown,B5_ridge_logistic,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,1.5288827130649545e-07,0.0003231730401825973,W0_capacity_state,lead_time_bin,at_or_below_threshold_at_k,B6_hist_gradient_boosting_classifier,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0002044944105220886,0.004670194033745186,W0_capacity_state,lead_time_bin,event_later_than_3_checkups,B6_hist_gradient_boosting_classifier,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.8036469154719409,0.8647397709302229,W0_capacity_state,lead_time_bin,event_next_checkup,B6_hist_gradient_boosting_classifier,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.00015568775194275985,0.0043348574427976,W0_capacity_state,lead_time_bin,event_within_2_checkups_not_next,B6_hist_gradient_boosting_classifier,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,1.1820571274325423e-07,0.000313113131983726,W0_capacity_state,lead_time_bin,event_within_3_checkups_not_1_or_2,B6_hist_gradient_boosting_classifier,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,6.945403115517903e-08,0.00026352044605120937,W0_capacity_state,lead_time_bin,right_censored_unknown,B6_hist_gradient_boosting_classifier,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,1.0609664113929692e-07,0.0003171807586419742,W1_state_time,lead_time_bin,at_or_below_threshold_at_k,B6_hist_gradient_boosting_classifier,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,1.292852670509145e-05,0.0021404262200288276,W1_state_time,lead_time_bin,event_later_than_3_checkups,B6_hist_gradient_boosting_classifier,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.4750280624666595,0.5493774312894937,W1_state_time,lead_time_bin,event_next_checkup,B6_hist_gradient_boosting_classifier,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.020953382210170308,0.03274975984754816,W1_state_time,lead_time_bin,event_within_2_checkups_not_next,B6_hist_gradient_boosting_classifier,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.00010073352310416037,0.004519210287790007,W1_state_time,lead_time_bin,event_within_3_checkups_not_1_or_2,B6_hist_gradient_boosting_classifier,16,0,16,c_rate_holdout_fold,event_within_1_checkup
