target,model_level,feature_group,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,rows,cells,mae,rmse,mean_signed_error,median_abs_error,mean_y_true,mean_y_pred,support_score,nearest_distance,nearest_parameter_set,same_stressor_support_count,exact_nominal_match_count,claim_scope
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.3140355557744265,0.37465180634165607,0.3140355557744265,0.3125341691193031,2.1861891666666664,2.5002247224410934,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.30892312439549413,0.341814500989594,0.30892312439549413,0.31028359843302383,-0.5564216666666667,-0.24749854227117254,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.3071833161036657,0.37533243117670506,0.3071833161036657,0.317074086231099,2.1861891666666664,2.4933724827703325,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.29764192635740966,0.32295484474437175,0.29764192635740966,0.3031976835984148,-0.5564216666666667,-0.25877974030925704,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F10_c_rate_v1_1,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.29739903766425096,0.3563811194874783,0.29739903766425096,0.28359357638569016,-0.5571718333333334,-0.2597727956690824,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.29696303791414014,0.30296261100041094,0.29696303791414014,0.2702810745817932,2.45924325,2.7562062879141402,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.29496450504522054,0.30262430560036635,0.29496450504522054,0.28905347009697113,2.2150708333333333,2.510035338378554,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.2935467587808713,0.29707787378023204,0.2935467587808713,0.28799998790008763,2.2150708333333333,2.5086175921142044,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.29223245401932396,0.2928041910314139,0.29223245401932396,0.29792172652926824,-0.48400216666666673,-0.19176971264734277,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.29126779077764475,0.2965888085709555,0.29126779077764475,0.26754471937320345,2.45924325,2.7505110407776447,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.2895801565454204,0.294858901012571,0.2895801565454204,0.27383353433521296,2.2150708333333333,2.5046509898787535,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F10_c_rate_v1_1,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.2883111293685962,0.3799935544915882,0.2883111293685962,0.2662672107101538,2.2871866666666665,2.575497796035263,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.28590657888113236,0.28642657161801777,0.28590657888113236,0.2919004602935104,-0.48400216666666673,-0.19809558778553438,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.28338906879265036,0.2884168587353717,0.28338906879265036,0.2595074564431814,2.45924325,2.7426323187926505,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
