beats_reference,candidate_feature_group,candidate_value,gain,horizon_checkups,metric,model_level,reference_feature_group,reference_value,relative_gain,split_name,target,task
False,D3_predicted_pulse_eis_state,0.0705302066854497,-0.008986453192545207,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.06154375349290449,-0.1460173077285784,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D1_predicted_pulse_state,0.10027506847181704,-0.014028198814099793,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.08624686965771725,-0.16265168660349832,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D2_predicted_eis_state,0.10195432737647994,-0.015707457718762696,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.08624686965771725,-0.18212206171771725,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D3_predicted_pulse_eis_state,0.09104408276736221,-0.004797213109644968,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.08624686965771725,-0.05562188087154211,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D1_predicted_pulse_state,0.06350444320723209,-0.0042543614831498724,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.059250081724082214,-0.07180347029666097,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D2_predicted_eis_state,0.06886064308982323,-0.009610561365741017,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.059250081724082214,-0.16220334362568148,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
True,D3_predicted_pulse_eis_state,0.056931299572139424,0.00231878215194279,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.059250081724082214,0.03913550976589321,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D1_predicted_pulse_state,0.09677949374873121,-0.011425586759052156,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.08535390698967905,-0.1338613211980294,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D2_predicted_eis_state,0.09442784696381404,-0.009073939974134984,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.08535390698967905,-0.10630960308861082,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D3_predicted_pulse_eis_state,0.0918480755771873,-0.006494168587508245,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.08535390698967905,-0.07608519418207202,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D1_predicted_pulse_state,0.05795117684198212,-0.0016883514740386255,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0562628253679435,-0.030008295228639306,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D2_predicted_eis_state,0.05749957833102348,-0.0012367529630799845,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0562628253679435,-0.021981707370576545,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D3_predicted_pulse_eis_state,0.05756787805654054,-0.0013050526885970415,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0562628253679435,-0.023195647926714552,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D1_predicted_pulse_state,0.06989165028880331,-0.0008248962026272122,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0690667540861761,-0.011943462720109464,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D2_predicted_eis_state,0.07109430645331853,-0.0020275523671424295,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0690667540861761,-0.029356416035023276,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D3_predicted_pulse_eis_state,0.06984829151470251,-0.0007815374285264076,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0690667540861761,-0.011315682036414601,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
True,D1_predicted_pulse_state,0.05229268403538115,0.0007004697644654584,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.05299315379984661,0.013218118082028286,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
True,D2_predicted_eis_state,0.05129467092272188,0.0016984828771247282,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.05299315379984661,0.03205098687917013,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
True,D3_predicted_pulse_eis_state,0.0509029698618007,0.0020901839380459072,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.05299315379984661,0.03944252772613729,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D1_predicted_pulse_state,0.06460590457885024,-0.0007083835094492674,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.06389752106940097,-0.011086243998102388,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D2_predicted_eis_state,0.06434115821784703,-0.00044363714844605773,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.06389752106940097,-0.006942947723499483,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D3_predicted_pulse_eis_state,0.06416420176770246,-0.0002666806983014913,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.06389752106940097,-0.0041735687682131145,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D1_predicted_pulse_state,0.10311029264590822,-0.0014082339810816552,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.10170205866482657,-0.013846661508816535,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D2_predicted_eis_state,0.11919159708644562,-0.017489538421619058,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.10170205866482657,-0.1719683814784742,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D3_predicted_pulse_eis_state,0.11852110165413232,-0.016819042989305755,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.10170205866482657,-0.1653756394915788,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D1_predicted_pulse_state,0.12357321015330071,-0.002674704390055349,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.12089850576324536,-0.022123552091646216,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D2_predicted_eis_state,0.14990494187643336,-0.029006436113187997,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.12089850576324536,-0.23992385952222672,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
