feature_group,folds,horizon_checkups,max_worst_condition_brier,max_worst_condition_mae,mean_auprc,mean_auroc,mean_brier,mean_condition_mean_brier,mean_condition_mean_mae,mean_ece_10_bin,mean_ece_10_bin_equal_freq,mean_log_loss,mean_mae,mean_rmse,model_level,n_test,split_name,target,task
D2_predicted_eis_state,5,3,,0.5624292655538388,,,,,0.11930007057185396,,,,0.06567555605242928,0.13546117326084262,DS1_hist_gradient_boosting,3373,condition_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,5,3,,0.5856805389506685,,,,,0.12056403723620383,,,,0.0646020900640888,0.13516360452301798,DS1_hist_gradient_boosting,3373,condition_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,1,3,,0.8535108367058165,,,,,0.19137425376878422,,,,0.10884914896773983,0.18253568304912407,DS0_regularized_linear,680,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,1,3,,0.8490416997963447,,,,,0.19340886601104726,,,,0.11195952710418389,0.1834395289444273,DS0_regularized_linear,680,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,1,3,,0.8518255200259266,,,,,0.19186172879678495,,,,0.10965320489604954,0.18266147589830797,DS0_regularized_linear,680,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,1,3,,0.8487758572440385,,,,,0.19343401718246786,,,,0.11211246248693717,0.18342661140359098,DS0_regularized_linear,680,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,1,3,,0.7397504702302798,,,,,0.15705484450536653,,,,0.08624686965771725,0.16737400185745357,DS1_hist_gradient_boosting,680,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,1,3,,0.8358798846083713,,,,,0.1786199310999453,,,,0.10027506847181704,0.17658259321065511,DS1_hist_gradient_boosting,680,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,1,3,,0.7501430112680986,,,,,0.16777234021823081,,,,0.10195432737647994,0.17414419895086042,DS1_hist_gradient_boosting,680,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,1,3,,0.7781535501270179,,,,,0.16132402902844284,,,,0.09104408276736221,0.16726020641238867,DS1_hist_gradient_boosting,680,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,2,3,,0.7258975844922597,,,,,0.17252061026406595,,,,0.09978048244801957,0.17477849267014584,DS0_regularized_linear,1576,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,2,3,,0.726014600743091,,,,,0.17422159573743598,,,,0.10158573074314575,0.1766212503072923,DS0_regularized_linear,1576,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,2,3,,0.7075920339588495,,,,,0.17198848167628783,,,,0.10538836390739284,0.1753287473307899,DS0_regularized_linear,1576,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,2,3,,0.7434793383808423,,,,,0.17314163938882915,,,,0.10524738618108309,0.17688858593618534,DS0_regularized_linear,1576,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,2,3,,0.6547449803754807,,,,,0.14259339551894254,,,,0.0690667540861761,0.15606341021074854,DS1_hist_gradient_boosting,1576,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,2,3,,0.6457072421594293,,,,,0.14286743840212304,,,,0.06989165028880331,0.15607591994474052,DS1_hist_gradient_boosting,1576,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,2,3,,0.7220708130423568,,,,,0.14055367741139016,,,,0.07109430645331853,0.15937706099757326,DS1_hist_gradient_boosting,1576,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,2,3,,0.7123511843414755,,,,,0.13894146280357525,,,,0.06984829151470251,0.15926129928135363,DS1_hist_gradient_boosting,1576,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,3,3,,0.7689728885428129,,,,,0.14046267089932177,,,,0.0988422372636802,0.14696204800168924,DS0_regularized_linear,3373,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,3,3,,0.7737705009940249,,,,,0.14817475958670467,,,,0.10963844186974055,0.15247135567203912,DS0_regularized_linear,3373,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,3,3,,0.7640931907493551,,,,,0.14929611189973027,,,,0.10697215905417005,0.15588168871699268,DS0_regularized_linear,3373,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,3,3,,0.7721224465266813,,,,,0.15636193409911078,,,,0.1183614055882828,0.16124300961370996,DS0_regularized_linear,3373,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,3,3,,0.7438971172561464,,,,,0.1762900305163797,,,,0.12089850576324536,0.18489109480462493,DS1_hist_gradient_boosting,3373,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,3,3,,0.7445762563325347,,,,,0.1748609885931349,,,,0.12357321015330071,0.18338674528000842,DS1_hist_gradient_boosting,3373,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,3,3,,0.7825103281382876,,,,,0.21071668036591507,,,,0.14990494187643336,0.21693379040197433,DS1_hist_gradient_boosting,3373,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,3,3,,0.7907630015943948,,,,,0.21076675590880167,,,,0.1519984401132582,0.21817193241220023,DS1_hist_gradient_boosting,3373,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,1,2,,0.7240009802218087,,,,,0.3706397843915444,,,,0.24334469488032925,0.30275710021801994,DS0_regularized_linear,121,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,1,2,,0.7229731299206174,,,,,0.3697140880246868,,,,0.2425960869940158,0.30218607211670545,DS0_regularized_linear,121,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,1,2,,0.7216830544524204,,,,,0.36917363571745815,,,,0.24324385345359617,0.3019301879194222,DS0_regularized_linear,121,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,1,2,,0.7116057694302699,,,,,0.3646264365570859,,,,0.24340387044946718,0.3001041273626642,DS0_regularized_linear,121,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,1,2,,0.6418052674176694,,,,,0.2716262937198923,,,,0.18301996275846433,0.26583226680559074,DS1_hist_gradient_boosting,121,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,1,2,,0.6634757771677715,,,,,0.29511591479067795,,,,0.1865512998465022,0.27063966243470955,DS1_hist_gradient_boosting,121,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,1,2,,0.6212495622133044,,,,,0.25616434813050204,,,,0.17721484485976605,0.2627419026708688,DS1_hist_gradient_boosting,121,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,1,2,,0.6287946730037509,,,,,0.287280372672835,,,,0.18846494350758428,0.2741017917508512,DS1_hist_gradient_boosting,121,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,5,2,,0.7167031608692468,,,,,0.15129709109877051,,,,0.07357638218037156,0.13077630118607314,DS0_regularized_linear,3599,condition_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,5,2,,0.7048004534411225,,,,,0.15185687233024953,,,,0.07589935225971094,0.13157361008665677,DS0_regularized_linear,3599,condition_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,5,2,,0.7136070507058249,,,,,0.15222348285538143,,,,0.07555661163764296,0.13134423502833475,DS0_regularized_linear,3599,condition_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,5,2,,0.6997853656244318,,,,,0.1534926346003845,,,,0.07997876079058801,0.13402034366827525,DS0_regularized_linear,3599,condition_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,5,2,,0.5377381214179829,,,,,0.11100299309036306,,,,0.05398962794449854,0.12471037328887091,DS1_hist_gradient_boosting,3599,condition_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,5,2,,0.555408011225048,,,,,0.11438078875597191,,,,0.05428487833895,0.12311128295554799,DS1_hist_gradient_boosting,3599,condition_fold,delta_capacity_Ah_h,capacity_horizon
