target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,prior_pulse_source_report,best_nonpulse_feature_group,best_nonpulse_source_report,best_nonpulse_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,condition_fold,1,11,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.005010047179879544,0.004347549903550717,0.0006624972763288267,84,25.0,calendar_soc_90,0.0,calendar
capacity_Ah_k1,condition_fold,1,20,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.10581563221693861,0.08839560732663472,0.017420024890303892,6,0.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,condition_fold,1,25,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.015103701763138425,0.016834035888615394,-0.0017303341254769691,67,0.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,1,29,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.041302202378341174,0.05584011734748453,-0.014537914969143355,40,10.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,1,33,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.02290612993920047,0.01869477098271136,0.004211358956489112,67,10.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,1,46,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.01865453291707189,0.02540560330057361,-0.006751070383501721,84,25.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,1,48,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05881369691906637,0.07765850884567253,-0.018844811926606163,10,25.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,condition_fold,1,50,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.008804542208209068,0.008794238821501744,1.030338670732385e-05,84,25.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,1,57,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07878900789362597,0.073287842536652,0.005501165356973967,36,40.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,1,58,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05364880621606143,0.05930181720577267,-0.0056530109897112366,38,40.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,1,60,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.13459830286785135,0.1417115874454677,-0.007113284577616341,16,40.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,condition_fold,1,63,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.03230961734787584,0.040354659463612254,-0.008045042115736416,81,40.0,approx_10_90,1.0,cyclic
capacity_Ah_k1,condition_fold,2,1,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.007067499160721078,0.008123913553374475,-0.001056414392653397,84,0.0,calendar_soc_10,0.0,calendar
capacity_Ah_k1,condition_fold,2,6,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0060769499135287005,0.006189268135403368,-0.00011231822187466722,84,10.0,calendar_soc_50,0.0,calendar
capacity_Ah_k1,condition_fold,2,9,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0064682555250576606,0.006841612087239112,-0.0003733565621814516,84,25.0,calendar_soc_10,0.0,calendar
capacity_Ah_k1,condition_fold,2,13,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.006270701358483833,0.005208961041853575,0.0010617403166302579,84,40.0,calendar_soc_10,0.0,calendar
capacity_Ah_k1,condition_fold,2,16,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.06373931775701845,0.012409409039031188,0.05132990871798726,78,40.0,calendar_soc_100,0.0,calendar
capacity_Ah_k1,condition_fold,2,17,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04667418713081736,0.062200728781305836,-0.015526541650488473,24,0.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,2,21,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04547127365216837,0.026598994719024754,0.018872278933143614,43,0.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,2,26,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.03770115306990599,0.050838616713025704,-0.013137463643119712,33,0.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,2,27,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07261553713121173,0.07903445085408035,-0.006418913722868624,15,0.0,approx_10_90,1.0,cyclic
capacity_Ah_k1,condition_fold,2,32,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.12971002143769683,0.16912599584762666,-0.03941597440992983,6,10.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,condition_fold,2,49,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.012015510545708999,0.019003640511909545,-0.006988129966200546,84,25.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,2,55,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07911290573041146,0.07169127219624694,0.007421633534164529,22,40.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,condition_fold,2,62,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.006160009324477207,0.01466162461848379,-0.008501615294006584,84,40.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,2,66,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.032212902022124866,0.03461659286000264,-0.002403690837877774,84,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,2,76,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.10457444526926006,0.08359641424726466,0.0209780310219954,83,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,3,7,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.004036252562492589,0.003950801576849614,8.545098564297429e-05,84,10.0,calendar_soc_90,0.0,calendar
capacity_Ah_k1,condition_fold,3,12,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.009085825329865429,0.01067265433129366,-0.0015868290014282305,78,25.0,calendar_soc_100,0.0,calendar
capacity_Ah_k1,condition_fold,3,22,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.06080707797203015,0.07078613589105179,-0.009979057919021636,22,0.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,3,28,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.1143097198972503,0.0827269224741597,0.0315827974230906,9,0.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,condition_fold,3,31,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05118227554128126,0.04006878062684257,0.011113494914438693,6,10.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,condition_fold,3,35,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.1072474444499295,0.10352188410066163,0.0037255603492678674,11,10.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,condition_fold,3,36,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.25468187166003275,0.21506660051818458,0.03961527114184818,6,10.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,condition_fold,3,41,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.034097222815295404,0.04329941038536662,-0.009202187570071213,56,25.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,3,43,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05933693062856358,0.07364526087371764,-0.014308330245154065,12,25.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,condition_fold,3,54,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0717951867754034,0.0732656412929221,-0.0014704545175186906,46,40.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,3,56,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.104691152288059,0.09462510953800715,0.010066042750051851,13,40.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,condition_fold,3,59,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.09216514774034945,0.12207539254768432,-0.029910244807334868,19,40.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,condition_fold,3,67,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.15103622530109387,0.14094640276135267,0.010089822539741194,15,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,3,71,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.019928411935191397,0.015424552146680651,0.004503859788510745,84,25.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,3,74,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.06274295088379044,0.0584151410308932,0.004327809852897234,48,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,4,2,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.005184982107900209,0.005020262536879356,0.0001647195710208528,84,0.0,calendar_soc_50,0.0,calendar
capacity_Ah_k1,condition_fold,4,4,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0051219149327923165,0.0049482855068739414,0.00017362942591837502,84,0.0,calendar_soc_100,0.0,calendar
