target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,semi_empirical_feature_group,semi_empirical_source_report,reference_feature_group,reference_source_report,reference_condition_mae,semi_empirical_condition_mae,reference
capacity_Ah_k1,condition_fold,1,11,-0.015268234408657414,84,25.0,calendar_soc_90,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.005010047179879544,0.020278281588536957,best_stress
capacity_Ah_k1,condition_fold,1,20,0.08026270360913756,6,0.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.10581563221693861,0.025552928607801045,best_stress
capacity_Ah_k1,condition_fold,1,25,-0.011170450790443712,67,0.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.015103701763138425,0.026274152553582137,best_stress
capacity_Ah_k1,condition_fold,1,29,-0.033878012210725186,40,10.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.041302202378341174,0.07518021458906636,best_stress
capacity_Ah_k1,condition_fold,1,33,-0.028140188919159467,67,10.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.02290612993920047,0.05104631885835994,best_stress
capacity_Ah_k1,condition_fold,1,46,-0.031425346925938916,84,25.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.01865453291707189,0.0500798798430108,best_stress
capacity_Ah_k1,condition_fold,1,48,-0.05948789629514319,10,25.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05881369691906637,0.11830159321420956,best_stress
capacity_Ah_k1,condition_fold,1,50,-0.007671463739405018,84,25.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.008804542208209068,0.016476005947614086,best_stress
capacity_Ah_k1,condition_fold,1,57,0.0050805021000702305,36,40.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07878900789362597,0.07370850579355574,best_stress
capacity_Ah_k1,condition_fold,1,58,-0.01948923846742618,38,40.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05364880621606143,0.07313804468348761,best_stress
