target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,semi_empirical_feature_group,semi_empirical_source_report,reference_feature_group,reference_source_report,reference_condition_mae,semi_empirical_condition_mae,reference
capacity_Ah_k1,condition_fold,1,5,-0.0015211457527056459,84,10.0,calendar_soc_10,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.004891400884343208,0.006412546637048854,hgb_f4
capacity_Ah_k1,condition_fold,1,10,-0.02793582480696034,84,25.0,calendar_soc_50,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.004763981626377933,0.03269980643333827,hgb_f4
capacity_Ah_k1,condition_fold,1,11,-0.014686744482262884,84,25.0,calendar_soc_90,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.005591537106274073,0.020278281588536957,hgb_f4
capacity_Ah_k1,condition_fold,1,20,0.06657195279836961,6,0.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.09212488140617066,0.025552928607801045,hgb_f4
capacity_Ah_k1,condition_fold,1,25,-0.010210882810232719,67,0.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.01606326974334942,0.026274152553582137,hgb_f4
capacity_Ah_k1,condition_fold,1,29,-0.029033436329668413,40,10.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.04614677825939795,0.07518021458906636,hgb_f4
capacity_Ah_k1,condition_fold,1,33,-0.030403922266430784,67,10.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.020642396591929155,0.05104631885835994,hgb_f4
capacity_Ah_k1,condition_fold,1,46,-0.027464194407476793,84,25.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.022615685435534008,0.0500798798430108,hgb_f4
capacity_Ah_k1,condition_fold,1,48,-0.04166321028038862,10,25.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.07663838293382094,0.11830159321420956,hgb_f4
capacity_Ah_k1,condition_fold,1,50,-0.006888023465233442,84,25.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.009587982482380644,0.016476005947614086,hgb_f4
capacity_Ah_k1,condition_fold,1,57,0.00027780674548218143,36,40.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.07398631253903792,0.07370850579355574,hgb_f4
capacity_Ah_k1,condition_fold,1,58,-0.009711166168147295,38,40.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06342687851534032,0.07313804468348761,hgb_f4
capacity_Ah_k1,condition_fold,1,60,-0.11001238615344691,16,40.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.13810249788612447,0.24811488403957138,hgb_f4
capacity_Ah_k1,condition_fold,1,63,-0.003292242525743956,81,40.0,approx_10_90,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.03924329803219882,0.04253554055794278,hgb_f4
capacity_Ah_k1,condition_fold,2,1,-0.014963104926016284,84,0.0,calendar_soc_10,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.008090172383001396,0.02305327730901768,hgb_f4
capacity_Ah_k1,condition_fold,2,6,-0.0006407632670230295,84,10.0,calendar_soc_50,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.005567815688881581,0.006208578955904611,hgb_f4
capacity_Ah_k1,condition_fold,2,9,-0.020814957402584412,84,25.0,calendar_soc_10,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.0069346778843215814,0.027749635286905994,hgb_f4
capacity_Ah_k1,condition_fold,2,13,-0.006896978122459004,84,40.0,calendar_soc_10,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.006104726460220126,0.01300170458267913,hgb_f4
capacity_Ah_k1,condition_fold,2,16,-0.008486716478575162,78,40.0,calendar_soc_100,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.00969000512481197,0.018176721603387132,hgb_f4
capacity_Ah_k1,condition_fold,2,17,-0.010752213428666474,24,0.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06732143777092688,0.07807365119959335,hgb_f4
capacity_Ah_k1,condition_fold,2,21,-0.027914016676189903,43,0.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.02895145401323209,0.05686547068942199,hgb_f4
capacity_Ah_k1,condition_fold,2,26,-0.008667966227530625,33,0.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.05450801844676718,0.0631759846742978,hgb_f4
capacity_Ah_k1,condition_fold,2,27,-0.08838410791514734,15,0.0,approx_10_90,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.08684970217945467,0.175233810094602,hgb_f4
capacity_Ah_k1,condition_fold,2,32,-0.004673339009779731,6,10.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.16270850023959052,0.16738183924937025,hgb_f4
capacity_Ah_k1,condition_fold,2,49,-0.01659765194064851,84,25.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.016237855931037187,0.032835507871685696,hgb_f4
capacity_Ah_k1,condition_fold,2,55,-0.009671423374163088,22,40.0,approx_0_100,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06704842027193046,0.07671984364609355,hgb_f4
capacity_Ah_k1,condition_fold,2,62,-0.007340826871110161,84,40.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.013936911861910203,0.021277738733020364,hgb_f4
capacity_Ah_k1,condition_fold,2,66,-0.029405097214862584,84,0.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.03135978641023792,0.060764883625100505,hgb_f4
capacity_Ah_k1,condition_fold,2,76,0.05691228701843906,83,40.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.0847711408072969,0.02785885378885784,hgb_f4
capacity_Ah_k1,condition_fold,3,7,-0.006040980802235226,84,10.0,calendar_soc_90,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.0037247294975473453,0.00976571029978257,hgb_f4
capacity_Ah_k1,condition_fold,3,12,-0.020263740297889334,78,25.0,calendar_soc_100,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.008615711683068654,0.02887945198095799,hgb_f4
capacity_Ah_k1,condition_fold,3,22,-0.03664500617441026,22,0.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.07898658071397198,0.11563158688838224,hgb_f4
capacity_Ah_k1,condition_fold,3,28,-0.15391097209959015,9,0.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.07875846370850874,0.2326694358080989,hgb_f4
capacity_Ah_k1,condition_fold,3,31,-0.1350686799560859,6,10.0,approx_0_100,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.033628945249780516,0.16869762520586642,hgb_f4
capacity_Ah_k1,condition_fold,3,35,-0.026512626141765833,11,10.0,approx_10_100,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.09454142475323392,0.12105405089499975,hgb_f4
capacity_Ah_k1,condition_fold,3,36,-0.11743357473949184,6,10.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.22517102851839477,0.3426046032578866,hgb_f4
capacity_Ah_k1,condition_fold,3,41,-0.011446593820611847,56,25.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.038591147067534685,0.05003774088814653,hgb_f4
capacity_Ah_k1,condition_fold,3,43,-0.018809786836306262,12,25.0,approx_0_100,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06065998110837776,0.07946976794468402,hgb_f4
capacity_Ah_k1,condition_fold,3,54,0.00520994195513258,46,40.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06898943883727714,0.06377949688214456,hgb_f4
capacity_Ah_k1,condition_fold,3,56,-0.04345826207050521,13,40.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.08796909460188543,0.13142735667239064,hgb_f4
capacity_Ah_k1,condition_fold,3,59,-0.03527487441960443,19,40.0,approx_10_100,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.11825500008831462,0.15352987450791905,hgb_f4
