target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,prior_eis_feature_group,prior_eis_source_report,best_noneis_feature_group,best_noneis_source_report,best_noneis_condition_mae,prior_eis_condition_mae
capacity_Ah_k1,condition_fold,1,11,0.0004918344471212342,84,25.0,calendar_soc_90,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.005010047179879544,0.0045182127327583095
capacity_Ah_k1,condition_fold,1,20,0.014017932375101738,6,0.0,approx_0_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.10581563221693861,0.09179769984183687
capacity_Ah_k1,condition_fold,1,25,-0.005476384744908403,67,0.0,approx_10_90,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.015103701763138425,0.020580086508046828
capacity_Ah_k1,condition_fold,1,29,-0.02158041666528382,40,10.0,approx_0_100,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.041302202378341174,0.062882619043625
capacity_Ah_k1,condition_fold,1,33,0.0012673753138078593,67,10.0,approx_10_100,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.02290612993920047,0.021638754625392612
capacity_Ah_k1,condition_fold,1,46,-0.010360048980197094,84,25.0,approx_10_100,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.01865453291707189,0.029014581897268982
capacity_Ah_k1,condition_fold,1,48,0.007913926922566983,10,25.0,approx_10_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05881369691906637,0.05089976999649939
capacity_Ah_k1,condition_fold,1,50,0.0005533357231370141,84,25.0,approx_10_90,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.008804542208209068,0.008251206485072054
capacity_Ah_k1,condition_fold,1,57,0.00437972735595836,36,40.0,approx_10_100,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07878900789362597,0.07440928053766761
capacity_Ah_k1,condition_fold,1,58,-0.0013197105543153592,38,40.0,approx_10_100,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05364880621606143,0.05496851677037679
capacity_Ah_k1,condition_fold,1,60,0.0014896897859130176,15,40.0,approx_10_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.14107893110184838,0.13958924131593536
capacity_Ah_k1,condition_fold,1,63,-0.005298953395683106,81,40.0,approx_10_90,1.0,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.03230961734787584,0.037608570743558944
capacity_Ah_k1,condition_fold,2,1,-0.0019842381718295768,84,0.0,calendar_soc_10,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.007067499160721078,0.009051737332550654
capacity_Ah_k1,condition_fold,2,6,-0.0006335334849012974,84,10.0,calendar_soc_50,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0060769499135287005,0.006710483398429998
capacity_Ah_k1,condition_fold,2,9,-0.000862361148741159,84,25.0,calendar_soc_10,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0064682555250576606,0.0073306166737988196
capacity_Ah_k1,condition_fold,2,13,-2.9514695676770113e-05,83,40.0,calendar_soc_10,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.006242428075450041,0.006271942771126811
capacity_Ah_k1,condition_fold,2,16,0.044782771053983206,78,40.0,calendar_soc_100,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.06373931775701845,0.01895654670303525
capacity_Ah_k1,condition_fold,2,17,-0.01898928856582853,24,0.0,approx_0_100,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04667418713081736,0.06566347569664589
capacity_Ah_k1,condition_fold,2,21,0.015655149631308127,43,0.0,approx_10_100,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04547127365216837,0.02981612402086024
capacity_Ah_k1,condition_fold,2,26,-0.012711899415691064,33,0.0,approx_10_90,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.03770115306990599,0.050413052485597055
capacity_Ah_k1,condition_fold,2,27,-0.01671040924560424,15,0.0,approx_10_90,1.0,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07261553713121173,0.08932594637681597
capacity_Ah_k1,condition_fold,2,32,-0.05096643871141979,6,10.0,approx_0_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.12971002143769683,0.18067646014911662
capacity_Ah_k1,condition_fold,2,49,-0.0064364489946721875,83,25.0,approx_10_90,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.012051435891971574,0.01848788488664376
capacity_Ah_k1,condition_fold,2,55,0.009927538370243738,22,40.0,approx_0_100,1.0,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07911290573041146,0.06918536736016773
capacity_Ah_k1,condition_fold,2,62,-0.007321460619447517,84,40.0,approx_10_90,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.006160009324477207,0.013481469943924724
capacity_Ah_k1,condition_fold,2,66,-0.006598449457307767,84,0.0,approx_0_100,0.0,profile,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.032212902022124866,0.03881135147943263
capacity_Ah_k1,condition_fold,2,76,0.03621376209832977,83,40.0,approx_0_100,0.0,profile,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.10457444526926006,0.06836068317093029
capacity_Ah_k1,condition_fold,3,7,-0.00031152419547680627,84,10.0,calendar_soc_90,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.004036252562492589,0.004347776757969395
capacity_Ah_k1,condition_fold,3,12,0.00047298907487138865,78,25.0,calendar_soc_100,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.009085825329865429,0.00861283625499404
capacity_Ah_k1,condition_fold,3,22,-0.004157512916187225,22,0.0,approx_10_100,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.06080707797203015,0.06496459088821738
capacity_Ah_k1,condition_fold,3,28,0.04259844721019003,9,0.0,approx_10_90,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.1143097198972503,0.07171127268706028
