agreement_within_1_checkup,agreement_within_2_checkups,detector_a,detector_b,mean_abs_disagreement_checkups,median_abs_disagreement_checkups,n_cells,smoothing_policy,x_axis
0.8306878306878307,0.9417989417989417,max_chord_distance,two_line_l_method,1.17989417989418,1.0,189,rolling_3,checkup_index
0.5132275132275133,0.5767195767195767,piecewise_linear_bic,slope_change_threshold,3.9365079365079363,1.0,189,rolling_3,checkup_index
1.0,1.0,piecewise_linear_bic,two_line_l_method,0.0,0.0,189,rolling_3,checkup_index
0.5132275132275133,0.5767195767195767,slope_change_threshold,two_line_l_method,3.9365079365079363,1.0,189,rolling_3,checkup_index
0.8202247191011236,0.9325842696629213,capacity_threshold_60,capacity_threshold_70,1.0224719101123596,1.0,89,none,log_age_efc_cumulative
0.23595505617977527,0.3595505617977528,capacity_threshold_60,capacity_threshold_80,5.325842696629214,4.0,89,none,log_age_efc_cumulative
0.24719101123595505,0.7303370786516854,capacity_threshold_60,max_chord_distance,2.898876404494382,2.0,89,none,log_age_efc_cumulative
0.1590909090909091,0.7954545454545454,capacity_threshold_60,piecewise_linear_bic,3.1363636363636362,2.0,88,none,log_age_efc_cumulative
0.7865168539325843,0.8539325842696629,capacity_threshold_60,slope_change_threshold,3.1123595505617976,1.0,89,none,log_age_efc_cumulative
0.1590909090909091,0.7954545454545454,capacity_threshold_60,two_line_l_method,3.1363636363636362,2.0,88,none,log_age_efc_cumulative
0.33043478260869563,0.4608695652173913,capacity_threshold_70,capacity_threshold_80,4.28695652173913,3.0,115,none,log_age_efc_cumulative
0.6173913043478261,0.8173913043478261,capacity_threshold_70,max_chord_distance,2.9565217391304346,1.0,115,none,log_age_efc_cumulative
0.5045871559633027,0.7889908256880734,capacity_threshold_70,piecewise_linear_bic,3.5045871559633026,1.0,109,none,log_age_efc_cumulative
0.7130434782608696,0.7565217391304347,capacity_threshold_70,slope_change_threshold,3.5739130434782607,1.0,115,none,log_age_efc_cumulative
0.5045871559633027,0.7889908256880734,capacity_threshold_70,two_line_l_method,3.5045871559633026,1.0,109,none,log_age_efc_cumulative
0.4557823129251701,0.54421768707483,capacity_threshold_80,max_chord_distance,4.755102040816326,2.0,147,none,log_age_efc_cumulative
0.381294964028777,0.4892086330935252,capacity_threshold_80,piecewise_linear_bic,5.359712230215828,3.0,139,none,log_age_efc_cumulative
0.2857142857142857,0.3877551020408163,capacity_threshold_80,slope_change_threshold,6.979591836734694,4.0,147,none,log_age_efc_cumulative
0.381294964028777,0.4892086330935252,capacity_threshold_80,two_line_l_method,5.359712230215828,3.0,139,none,log_age_efc_cumulative
0.746031746031746,0.9153439153439153,max_chord_distance,piecewise_linear_bic,1.380952380952381,1.0,189,none,log_age_efc_cumulative
0.41414141414141414,0.48484848484848486,max_chord_distance,slope_change_threshold,5.3232323232323235,3.0,198,none,log_age_efc_cumulative
0.746031746031746,0.9153439153439153,max_chord_distance,two_line_l_method,1.380952380952381,1.0,189,none,log_age_efc_cumulative
0.3862433862433862,0.4603174603174603,piecewise_linear_bic,slope_change_threshold,5.915343915343915,3.0,189,none,log_age_efc_cumulative
1.0,1.0,piecewise_linear_bic,two_line_l_method,0.0,0.0,189,none,log_age_efc_cumulative
