run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,3,capacity_Ah_k1,derived_capacity_from_delta,1326,16,0.18289344997849058,0.18852989734388173,-0.18289344997849058,0.18307966968683845,0.18014646070008933,0.23907732851825378
primary,L2_hist_gradient_boosting,F7_c_rate_focused,c_rate_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,157,12,0.11816146372027816,0.1908420965477729,0.09324355364806464,0.15992102263431632,0.15981501997654912,0.31611838400029096
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,0,capacity_Ah_k1,derived_capacity_from_delta,844,16,0.03581554611861752,0.07475673305335596,-0.014248893951459524,0.05232342914249044,0.05027676265145209,0.18063876489655398
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,1,capacity_Ah_k1,derived_capacity_from_delta,865,15,0.026126950314453255,0.07037020091858845,-0.0023881515707364917,0.052600676546010486,0.03100799769126619,0.20053721943757147
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,2,capacity_Ah_k1,derived_capacity_from_delta,892,15,0.022610624145147504,0.052757508178772984,-0.0069539144012909304,0.0413670147611673,0.01894993321755961,0.1527563979048142
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,3,capacity_Ah_k1,derived_capacity_from_delta,509,15,0.03942696436561773,0.09162522738677778,0.01022187206478272,0.07799318745705883,0.07279757113563695,0.23901348904277975
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,4,capacity_Ah_k1,derived_capacity_from_delta,717,15,0.03059904603631766,0.060562873229712294,-0.0026381566073643108,0.05765383904767255,0.04739853372213569,0.1574879579993015
primary,L2_hist_gradient_boosting,F7_c_rate_focused,temperature_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,742,19,0.02944244845551245,0.0830794673363822,0.007906621406795713,0.07293400477454562,0.054018796559929916,0.2702173837204035
primary,L2_hist_gradient_boosting,F7_c_rate_focused,temperature_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1060,19,0.03368746377691998,0.0878399960465187,0.007965362217189775,0.054709761962161076,0.040385739402214814,0.19435812368419003
primary,L2_hist_gradient_boosting,F7_c_rate_focused,voltage_window_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,1130,28,0.07612184554960466,0.10610050315463103,-0.030385695288313388,0.1008108012445653,0.0865237859684003,0.30164220367887956
primary,L2_hist_gradient_boosting,F7_c_rate_focused,voltage_window_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1371,32,0.08487562492850517,0.11740285736112542,-0.056844756875123165,0.119952523377081,0.1180586044931899,0.29194204362725545
