run_scope,model_level,feature_group,split_name,heldout_fold,target,direct_path,derived_path,direct_mae,derived_mae,derived_minus_direct_mae,derived_better,direct_condition_mean_mae,derived_condition_mean_mae,derived_minus_direct_condition_mean_mae
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,temperature_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.03324754645982642,0.026389274695834682,-0.0068582717639917405,True,0.07667220368262524,0.05509724136142808,-0.021574962321197162
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,temperature_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.026389274695834682,0.03324754645982642,0.0068582717639917405,False,0.05509724136142808,0.07667220368262524,0.021574962321197162
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,temperature_holdout_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04419240919488191,0.03043876188398008,-0.013753647310901833,True,0.06191559098494926,0.04205229396326713,-0.01986329702168213
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,temperature_holdout_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.030438761883980092,0.04419240919488191,0.013753647310901819,False,0.04205229396326714,0.06191559098494926,0.019863297021682123
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.08595893787285433,0.07343765636664401,-0.012521281506210319,True,0.11288465412541093,0.08401601520595645,-0.028868638919454487
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.07343765636664401,0.08595893787285433,0.012521281506210319,False,0.08401601520595645,0.11288465412541093,0.028868638919454487
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.05849183420125282,0.08803542608995531,0.029543591888702488,False,0.09759070207755932,0.11245078548114436,0.014860083403585037
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.08803542608995531,0.05849183420125282,-0.029543591888702488,True,0.11245078548114437,0.09759070207755932,-0.01486008340358505
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,3,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04273238226187562,0.01609333437086011,-0.026639047891015507,True,0.04276327963765593,0.016067319493402087,-0.026695960144253843
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,voltage_window_holdout_fold,3,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.016093334370860107,0.04273238226187562,0.02663904789101551,False,0.016067319493402087,0.04276327963765593,0.026695960144253843
primary,L2_hist_gradient_boosting,F5_log_age_histograms,c_rate_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.08768268351796027,0.08088121372333436,-0.006801469794625911,True,0.12060529262628518,0.10859130301129503,-0.012013989614990145
primary,L2_hist_gradient_boosting,F5_log_age_histograms,c_rate_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.08088121372333434,0.08768268351796027,0.006801469794625925,False,0.10859130301129503,0.12060529262628518,0.012013989614990145
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,0,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.032592193029950575,0.027631479042102287,-0.004960713987848288,True,0.04572095317036673,0.03999317794458675,-0.0057277752257799824
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,0,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.02763147904210228,0.032592193029950575,0.004960713987848295,False,0.03999317794458674,0.04572095317036673,0.005727775225779989
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.022225320992075002,0.02032877386226231,-0.0018965471298126903,True,0.03877478524285592,0.03964290329377315,0.0008681180509172298
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.020328773862262308,0.022225320992075002,0.0018965471298126937,False,0.03964290329377315,0.03877478524285592,-0.0008681180509172298
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.02790178257342384,0.02122155381451264,-0.006680228758911201,True,0.041910991114083904,0.03186480400489274,-0.010046187109191161
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.021221553814512642,0.02790178257342384,0.006680228758911198,False,0.03186480400489275,0.041910991114083904,0.010046187109191154
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,3,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04416189215177214,0.03576492511077143,-0.008396967041000708,True,0.07800117657811333,0.06083129903987221,-0.01716987753824112
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,3,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.03576492511077142,0.04416189215177214,0.008396967041000715,False,0.060831299039872194,0.07800117657811333,0.017169877538241132
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,4,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.030653811925909383,0.022811136778232495,-0.007842675147676888,True,0.06161682732615833,0.03740465501714758,-0.02421217230901075
