run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,1,delta_capacity_Ah,derived_delta_from_capacity,865,15,0.021825731657396027,0.06198696609203903,0.001587004853239572,0.03924435374925147,0.02290612993920047,0.13459830286785135
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.031374147649055814,0.06810280684310033,-0.017937551682524696,0.04372471126857284,0.03770115306990599,0.12971002143769683
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,3,delta_capacity_Ah,derived_delta_from_capacity,509,15,0.04404041297793635,0.09434583864287036,0.006200729266507498,0.07980957971870857,0.06274295088379044,0.25468187166003275
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,4,delta_capacity_Ah,derived_delta_from_capacity,717,15,0.027090197852011052,0.0579721210285339,-0.0020337589312969385,0.05630423154880946,0.04967587971403596,0.2284192255821097
primary,L2_hist_gradient_boosting,F6_coupled_stress,temperature_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,742,19,0.03077742705265735,0.08488013622573035,0.0070940911804756295,0.06936377152884358,0.05469201014380425,0.2878027823829729
primary,L2_hist_gradient_boosting,F6_coupled_stress,temperature_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1060,19,0.043389141806600084,0.09499921849235803,-0.010018257365056793,0.05886846260629801,0.054455579528314854,0.13909252625881677
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,1130,28,0.06570851883978769,0.10855356903283507,-0.016233375698614577,0.10225409956459348,0.07942743389572822,0.26308682137492073
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1371,32,0.09600855172571758,0.12487420334220192,-0.06062932630662246,0.12313061110127638,0.10971329290995417,0.40738228631561274
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,3,delta_capacity_Ah,derived_delta_from_capacity,1326,16,0.2762884818882768,0.32704347661797684,-0.2762884818882768,0.277532397462541,0.3269500823018814,0.4061961211434045
primary,L2_hist_gradient_boosting,F7_c_rate_focused,c_rate_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,157,12,0.11158117589671784,0.18616122577588654,0.08476470995280652,0.15123294365951614,0.14556537880873627,0.31418380239132243
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,0,delta_capacity_Ah,derived_delta_from_capacity,844,16,0.0380312819461605,0.08508903043706054,-0.01608711683992985,0.05691560652625147,0.06244798926779186,0.15906948661416387
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,1,delta_capacity_Ah,derived_delta_from_capacity,865,15,0.025173581940516183,0.06972386791508897,-0.0008211147244456623,0.047963038419162704,0.027056339565757783,0.21967104905915655
