diagnostic_family,feature_group,horizon_checkups,mean_condition_mae,mean_mae,mean_rmse,model_level,rows,split_name,target_name,total_test_rows,worst_condition_mae
eis,DH0_time_nominal,3,0.0016688277812266549,0.0015492528986529154,0.002325330855193391,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,8873,0.005090893876402974
eis,DH1_capacity_state,3,0.001262682464813134,0.0010174009652200277,0.0015915780073788453,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,8873,0.004466097872978058
eis,DH2_prior_same_diagnostic_state,3,0.0010825808105420173,0.0007393125441463215,0.0013206090845552093,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,8873,0.004475428535006184
eis,DH3_capacity_plus_prior_same_diagnostic,3,0.000991418257625914,0.0006561869307050151,0.0011964351475435703,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,8873,0.003824016029120253
eis,persistence,5,0.0020999094786822423,0.0011780794561305524,0.0020178377122371536,DM0_persistence,12,all,eis_z_abs_1kHz,7771,0.0070185
eis,train_mean,5,0.0021573735650886137,0.0016487816612796898,0.0023932807517905532,DM1_train_mean,12,all,eis_z_abs_1kHz,7771,0.005650214656964657
eis,DH0_time_nominal,5,0.0019730584378175498,0.0015604106385423034,0.0022046291523057436,DM2_ridge,12,all,eis_z_abs_1kHz,7771,0.005567410984975237
eis,DH1_capacity_state,5,0.002090522069966449,0.001545774610781333,0.0021476325902126075,DM2_ridge,12,all,eis_z_abs_1kHz,7771,0.006260614902909072
eis,DH2_prior_same_diagnostic_state,5,0.001498492521967051,0.0010021931298200262,0.001572858473405074,DM2_ridge,12,all,eis_z_abs_1kHz,7771,0.0051637351988641595
eis,DH3_capacity_plus_prior_same_diagnostic,5,0.0015826608214415591,0.0010520944568360023,0.0016010778580508296,DM2_ridge,12,all,eis_z_abs_1kHz,7771,0.005104338209837948
eis,DH0_time_nominal,5,0.0020901930516471026,0.0016898453026212366,0.002456559064838001,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,7771,0.006329103001598505
eis,DH1_capacity_state,5,0.001784514417342489,0.001286340811967203,0.0019184747206324078,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,7771,0.006378096919186722
eis,DH2_prior_same_diagnostic_state,5,0.00153587293348661,0.0009761370803476219,0.0016359289037205058,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,7771,0.006528290439895929
eis,DH3_capacity_plus_prior_same_diagnostic,5,0.0015139543098418092,0.0009461612085483246,0.0015894989753102691,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,7771,0.006297954814580323
eis,persistence,1,0.00018893020004051318,0.00015344172467976152,0.0003222743962331982,DM0_persistence,12,all,nyquist_im_peak_abs,10131,0.0008076060606060605
eis,train_mean,1,0.00041323115588666183,0.0003860427968894,0.0006096469786351716,DM1_train_mean,12,all,nyquist_im_peak_abs,10131,0.0012806618107687193
eis,DH0_time_nominal,1,0.0003992689082196235,0.00037681039997989723,0.0005926629969999482,DM2_ridge,12,all,nyquist_im_peak_abs,10131,0.0012660294119565196
eis,DH1_capacity_state,1,0.0004064685536084402,0.0003735955125226175,0.0005825882504713211,DM2_ridge,12,all,nyquist_im_peak_abs,10131,0.001231833303065666
eis,DH2_prior_same_diagnostic_state,1,0.00018958985296742853,0.00017355689857738733,0.0003307040021884695,DM2_ridge,12,all,nyquist_im_peak_abs,10131,0.0008594076063025713
eis,DH3_capacity_plus_prior_same_diagnostic,1,0.00019188550710464263,0.0001716651297435668,0.0003279627555427139,DM2_ridge,12,all,nyquist_im_peak_abs,10131,0.0008109423433749435
eis,DH0_time_nominal,1,0.0004109356408450434,0.0004066339471401397,0.0006416125857413661,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,10131,0.0015320292033513022
eis,DH1_capacity_state,1,0.0003936779024091496,0.0003752547533505835,0.0005947851216910538,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,10131,0.0012747754617311127
eis,DH2_prior_same_diagnostic_state,1,0.00020829122660317415,0.00019381535887794758,0.00043690956733153535,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,10131,0.00097000400423868
eis,DH3_capacity_plus_prior_same_diagnostic,1,0.00019312557091760664,0.00017017521474580157,0.0003919977150945938,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,10131,0.0009399890043925029
