split_name,target,horizon_checkups,model_level,feature_group,contrast_family,contrast_rows,rank_evaluable_contrasts,spearman_r,kendall_tau_b,status,claim_scope
condition_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,profile,12,12,0.951048951048951,0.8484848484848485,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,temperature,111,111,0.6859134115742577,0.5715748883686569,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,voltage_window,70,70,0.5414507393196556,0.47584308485135013,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,all,227,227,0.584676087317823,0.4226345951424896,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,charge_c_rate,34,34,0.06860198624904507,0.05169340463458111,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,profile,12,12,0.5174825174825175,0.3939393939393939,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,temperature,111,111,0.18769743769743769,0.13284193284193285,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,voltage_window,70,70,0.46909281777622247,0.3581780538302277,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,227,227,0.7536620096887575,0.6345561576546723,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,charge_c_rate,34,34,0.11504965622612681,0.07308377896613191,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,profile,12,12,0.5804195804195804,0.3333333333333333,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,111,111,0.6947262197262197,0.6036036036036037,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,70,70,0.45124661009535466,0.4078674948240166,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,all,189,189,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,charge_c_rate,23,23,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,profile,12,12,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,temperature,95,95,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,voltage_window,59,59,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,all,189,189,0.8532085478571069,0.7143343768478237,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,charge_c_rate,23,23,0.08271446859893977,0.07600547259104692,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,profile,12,12,0.9090909090909091,0.8181818181818182,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,temperature,95,95,0.8349676295576591,0.6887047724271871,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,voltage_window,59,59,0.8035067212156634,0.7019286966686148,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,all,189,189,0.5410494320908654,0.40943374985928177,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,charge_c_rate,23,23,0.22332015810276679,0.1383399209486166,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,profile,12,12,0.34965034965034963,0.2727272727272727,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,temperature,95,95,0.05641097424412093,0.06562150055991041,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,voltage_window,59,59,0.6392752776154296,0.5242548217416715,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,189,189,0.7061945644252475,0.6070021389170326,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,charge_c_rate,23,23,0.05039525691699605,0.05928853754940711,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,profile,12,12,0.5034965034965035,0.30303030303030304,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,95,95,0.5937569988801791,0.5440089585666293,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,59,59,0.5149035651665692,0.46931618936294567,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,30,30,0.9110122358175753,0.7563218390804598,evaluated,prospective_supported_contrast_diagnostic
