split_name,target,horizon_checkups,model_level,feature_group,contrast_family,pairwise_rows,unique_contrasts,sign_evaluable_rows,sign_correct_rows,sign_accuracy,mean_effect_abs_error,median_effect_abs_error,observed_tie_rows,predicted_tie_rows,claim_scope
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,temperature,33,15,0,0,nan,0.3492496565656566,0.30842749999999997,0,33,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,voltage_window,19,10,0,0,nan,0.33586463157894736,0.24160833333333304,0,19,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,all,52,25,27,24,0.8888888888888888,0.30140250641025645,0.23174199999999964,0,25,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,temperature,33,15,18,15,0.8333333333333334,0.28831823232323234,0.22187566666666625,0,15,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,voltage_window,19,10,9,9,1.0,0.32412782456140354,0.24160833333333304,0,10,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,all,52,25,52,47,0.9038461538461539,0.28922464966131645,0.21872394585156152,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,temperature,33,15,33,30,0.9090909090909091,0.27963563546420467,0.2199265133382161,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,voltage_window,19,10,19,17,0.8947368421052632,0.3058792532668264,0.21752137836490693,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K3_oracle_exposure_diagnostic,all,52,25,52,50,0.9615384615384616,0.19749358533330746,0.11804387400716265,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K3_oracle_exposure_diagnostic,temperature,33,15,33,32,0.9696969696969697,0.17728849589624227,0.09496099871152391,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K3_oracle_exposure_diagnostic,voltage_window,19,10,19,18,0.9473684210526315,0.23258663540821023,0.15330453702768265,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,52,25,52,43,0.8269230769230769,0.21564231756611996,0.15012745973055933,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,33,15,33,26,0.7878787878787878,0.20965252245407623,0.1510267774231618,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,19,10,19,17,0.8947368421052632,0.22604564591861698,0.14550086973248694,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,all,52,25,52,45,0.8653846153846154,0.1657476251247636,0.13099332151880955,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,temperature,33,15,33,27,0.8181818181818182,0.1640031656978141,0.12869290496263536,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,voltage_window,19,10,19,18,0.9473684210526315,0.1687774757084127,0.13916205191248388,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,all,27,11,0,0,nan,0.37531895679012345,0.31529566666666664,0,27,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,temperature,18,7,0,0,nan,0.38306469444444446,0.32223633333333335,0,18,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,voltage_window,9,4,0,0,nan,0.35982748148148147,0.31529566666666664,0,9,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,all,27,11,16,13,0.8125,0.3307405,0.3050403333333337,0,11,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,temperature,18,7,11,8,0.7272727272727273,0.3424742499999999,0.30851549999999994,0,7,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,voltage_window,9,4,5,5,1.0,0.3072730000000001,0.24621733333333345,0,4,prospective_supported_contrast_diagnostic
