split_name,target,horizon_checkups,contrast_family,effect_bin,matched_rows,matched_contrasts,hgb_sign_accuracy,prior_slope_sign_accuracy,sign_accuracy_gain_vs_prior,hgb_mean_effect_abs_error,prior_slope_mean_effect_abs_error,mean_abs_error_gain_vs_prior,hgb_sign_correct_rows,prior_slope_sign_correct_rows,claim_scope
profile_holdout_fold,delta_capacity_Ah_h,3,profile,medium_0.02_to_0.05Ah,39,8,0.6578947368421053,0.8823529411764706,-0.22445820433436525,0.052041184118841725,0.02884052991452995,-0.023200654204311777,25,30,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,profile,small_0.01_to_0.02Ah,29,6,0.4642857142857143,0.7777777777777778,-0.3134920634920635,0.03891329770590465,0.02134495402298843,-0.017568343682916217,13,21,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,profile,tiny_lt_0.01Ah,21,6,0.7142857142857143,0.8095238095238095,-0.09523809523809523,0.031404371326489704,0.021756333333333204,-0.0096480379931565,15,17,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,temperature,large_ge_0.05Ah,119,18,0.8739495798319328,0.8288288288288288,0.045120751003103976,0.17962637986497762,0.19018765266106444,0.010561272796086818,104,92,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,temperature,medium_0.02_to_0.05Ah,45,12,0.5333333333333333,0.868421052631579,-0.33508771929824566,0.07543116614810799,0.04901729629629629,-0.026413869851811704,24,33,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,temperature,small_0.01_to_0.02Ah,47,11,0.5106382978723404,0.8043478260869565,-0.29370952821461616,0.042451933271038446,0.01980663120567375,-0.022645302065364695,24,37,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,temperature,tiny_lt_0.01Ah,69,11,0.5362318840579711,0.6865671641791045,-0.1503352801211334,0.03599387309734324,0.012202995169082144,-0.023790877928261095,37,46,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,all,large_ge_0.05Ah,611,69,0.9967266775777414,0.9639934533551555,0.032733224222585844,0.08976559333217886,0.0842502190398254,-0.005515374292353464,609,589,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,all,medium_0.02_to_0.05Ah,182,38,0.9395604395604396,0.9010989010989011,0.038461538461538436,0.025610503222910853,0.011761395604395597,-0.013849107618515256,171,164,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,all,small_0.01_to_0.02Ah,23,15,0.6521739130434783,0.6086956521739131,0.04347826086956519,0.03962058412680971,0.019954999999999848,-0.01966558412680986,15,14,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,all,tiny_lt_0.01Ah,51,9,0.7254901960784313,0.8235294117647058,-0.0980392156862745,0.015614777562579786,0.005374601307189377,-0.01024017625539041,37,42,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,charge_c_rate,large_ge_0.05Ah,78,15,1.0,0.9358974358974359,0.0641025641025641,0.14999444580831148,0.15053614316239317,0.0005416973540816883,78,73,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,charge_c_rate,medium_0.02_to_0.05Ah,12,8,0.9166666666666666,0.5833333333333334,0.33333333333333326,0.09612053872976184,0.02352197222222228,-0.07259856650753956,11,7,prospective_supported_contrast_diagnostic
