split_name,target,horizon_checkups,model_level,feature_group,contrast_family,top_k,effective_top_k,contrast_rows,topk_overlap_fraction,mean_observed_effect_selected,mean_observed_effect_best,regret_vs_observed_best,status,claim_scope
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,3,3,7,1.0,-0.22157711805555536,-0.22157711805555536,0.0,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,5,5,7,0.8,-0.38384213749999985,-0.3780957374999999,0.005746399999999929,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,3,3,4,0.6666666666666666,-0.3277745972222223,-0.32464755555555563,0.0031270416666666634,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,5,4,4,1.0,-0.36682011458333336,-0.36682011458333336,0.0,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,all,3,3,25,0.0,-0.2520383925925926,0.020313333333333326,0.27235172592592594,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,all,5,5,25,0.4,-0.30429320222222217,-0.03811194444444442,0.26618125777777774,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,temperature,3,3,15,0.3333333333333333,-0.31735671604938276,-0.02427127160493832,0.29308544444444445,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,temperature,5,5,15,0.2,-0.4136231962962963,-0.09878949629629638,0.3148336999999999,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,voltage_window,3,3,10,0.3333333333333333,-0.2520383925925926,-0.08333312962962956,0.168705262962963,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,voltage_window,5,5,10,0.6,-0.30429320222222217,-0.15232498888888885,0.15196821333333332,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,all,3,3,25,0.0,-0.6865135555555555,0.020313333333333326,0.7068268888888888,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,all,5,5,25,0.2,-0.579019,-0.03811194444444442,0.5409070555555555,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,temperature,3,3,15,0.0,-0.7126647777777779,-0.02427127160493832,0.6883935061728396,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,temperature,5,5,15,0.2,-0.6213135333333335,-0.09878949629629638,0.5225240370370371,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,voltage_window,3,3,10,0.0,-0.6865135555555555,-0.08333312962962956,0.6031804259259259,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,voltage_window,5,5,10,0.2,-0.579019,-0.15232498888888885,0.4266940111111111,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,all,3,3,25,0.6666666666666666,-0.14362833333333333,0.020313333333333326,0.16394166666666665,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,all,5,5,25,0.6,-0.18377700000000005,-0.03811194444444442,0.14566505555555564,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,temperature,3,3,15,0.6666666666666666,-0.11438700000000011,-0.02427127160493832,0.0901157283950618,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,temperature,5,5,15,0.6,-0.2975716666666668,-0.09878949629629638,0.1987821703703704,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,voltage_window,3,3,10,0.3333333333333333,-0.40649511111111103,-0.08333312962962956,0.32316198148148145,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,voltage_window,5,5,10,0.4,-0.4608179333333332,-0.15232498888888885,0.30849294444444436,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,3,3,25,0.3333333333333333,-0.28308305555555563,0.020313333333333326,0.303396388888889,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,5,5,25,0.4,-0.16733272962962967,-0.03811194444444442,0.12922078518518526,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,3,3,15,0.3333333333333333,-0.28308305555555563,-0.02427127160493832,0.2588117839506173,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,5,5,15,0.6,-0.16733272962962967,-0.09878949629629638,0.06854323333333329,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,3,3,10,0.6666666666666666,-0.27624135185185184,-0.08333312962962956,0.19290822222222226,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,5,5,10,0.6,-0.3331557444444444,-0.15232498888888885,0.18083075555555556,evaluated,prospective_supported_contrast_diagnostic
