split_name,target,horizon_checkups,model_level,feature_group,contrast_family,effect_threshold_label,effect_threshold_Ah,pairwise_rows,unique_contrasts,sign_evaluable_rows,sign_correct_rows,sign_accuracy,median_abs_observed_effect_Ah,mean_effect_abs_error,claim_scope
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,temperature,ge_0.01Ah,0.01,31,15,31,29,0.9354838709677419,0.41538049999999993,0.29562140691976535,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,temperature,ge_0.02Ah,0.02,31,15,31,29,0.9354838709677419,0.41538049999999993,0.29562140691976535,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,temperature,ge_0.05Ah,0.05,29,15,29,27,0.9310344827586207,0.418625,0.31516945206134467,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,temperature,ge_0Ah,0.0,33,15,33,30,0.9090909090909091,0.3393093333333339,0.2798765696209306,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,voltage_window,ge_0.005Ah,0.005,19,10,19,16,0.8421052631578947,0.3028763333333335,0.30571109517592754,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,voltage_window,ge_0.01Ah,0.01,18,9,18,16,0.8888888888888888,0.3083611666666669,0.32202845382644774,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,voltage_window,ge_0.02Ah,0.02,18,9,18,16,0.8888888888888888,0.3083611666666669,0.32202845382644774,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,voltage_window,ge_0.05Ah,0.05,17,9,17,15,0.8823529411764706,0.3138460000000003,0.33989000714177703,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,voltage_window,ge_0Ah,0.0,19,10,19,16,0.8421052631578947,0.3028763333333335,0.30571109517592754,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,ge_0.005Ah,0.005,51,25,51,47,0.9215686274509803,0.3138460000000003,0.21543645844946407,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,ge_0.01Ah,0.01,49,24,49,46,0.9387755102040817,0.3393093333333339,0.21969827505183087,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,ge_0.02Ah,0.02,49,24,49,46,0.9387755102040817,0.3393093333333339,0.21969827505183087,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,ge_0.05Ah,0.05,46,24,46,44,0.9565217391304348,0.38328574999999976,0.2312461406922703,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,ge_0Ah,0.0,52,25,52,47,0.9038461538461539,0.3132523333333337,0.2158932406757974,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,ge_0.005Ah,0.005,32,15,32,28,0.875,0.3773449166666669,0.21117665963047305,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,ge_0.01Ah,0.01,31,15,31,28,0.9032258064516129,0.41538049999999993,0.21778820705733742,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,ge_0.02Ah,0.02,31,15,31,28,0.9032258064516129,0.41538049999999993,0.21778820705733742,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,ge_0.05Ah,0.05,29,15,29,27,0.9310344827586207,0.418625,0.23177884225590323,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,ge_0Ah,0.0,33,15,33,28,0.8484848484848485,0.3393093333333339,0.21202552249678588,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,ge_0.005Ah,0.005,19,10,19,19,1.0,0.3028763333333335,0.2226108564603963,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,ge_0.01Ah,0.01,18,9,18,18,1.0,0.3083611666666669,0.22298783659790283,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,ge_0.02Ah,0.02,18,9,18,18,1.0,0.3083611666666669,0.22298783659790283,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,ge_0.05Ah,0.05,17,9,17,17,1.0,0.3138460000000003,0.23033741449548473,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,ge_0Ah,0.0,19,10,19,19,1.0,0.3028763333333335,0.2226108564603963,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,ge_0.005Ah,0.005,26,11,26,19,0.7307692307692307,0.3265776666666671,0.38951932051282057,prospective_supported_contrast_diagnostic
