method_id,split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,reference_label,candidate_condition_mae,reference_condition_mae,condition_mae_gain,relative_degradation,row_count,quality_flagged_rows,severe_qa_flag_rows,monotonicity_unclean_rows,support_score,low_support_flag,failure_role
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,26,cyclic,0.0,approx_10_90,0.33,1.0,0,F4_direct_capacity,0.1753640850887453,0.09390389181408997,-0.08146019327465533,0.8674847410576917,33,33,11,11,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,75,profile,40.0,approx_0_100,0.0,0.0,3,F4_direct_capacity,0.04490062965900522,0.027955044295546152,-0.01694558536345907,0.6061727244753059,84,84,17,17,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,46,cyclic,25.0,approx_10_100,0.33,1.0,0,F4_direct_capacity,0.06956291633231551,0.043420188431331726,-0.026142727900983785,0.6020869288102711,84,84,11,11,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,64,cyclic,40.0,approx_10_90,1.67,1.0,0,F4_direct_capacity,0.13668699287953848,0.08625775131091384,-0.05042924156862463,0.584634317521839,38,38,14,14,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,31,cyclic,10.0,approx_0_100,1.0,1.0,0,F4_direct_capacity,0.18112324804092164,0.11682376933561082,-0.06429947870531082,0.550397227130992,6,6,1,1,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,47,cyclic,25.0,approx_10_100,1.0,1.0,0,F4_direct_capacity,0.12380747113929229,0.08303825235507882,-0.04076921878421347,0.49096913323609853,31,31,8,8,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,52,cyclic,25.0,approx_10_90,1.67,1.0,0,F4_direct_capacity,0.13644295209259005,0.09315432379988549,-0.043288628292704565,0.4646980035590981,28,28,10,10,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,45,cyclic,25.0,approx_10_100,0.33,0.33,0,F4_direct_capacity,0.03537843717340445,0.024365541510845228,-0.011012895662559221,0.45198649320628986,84,84,15,15,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,70,profile,10.0,approx_0_100,0.0,0.0,4,F4_direct_capacity,0.1609351499029989,0.11086766546781561,-0.05006748443518329,0.45159681340740104,18,18,8,8,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,71,profile,25.0,approx_0_100,0.0,0.0,2,F4_direct_capacity,0.04192482531460136,0.029288910478302108,-0.01263591483629925,0.43142317791780693,84,84,19,19,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,34,cyclic,10.0,approx_10_100,0.33,1.0,0,F4_direct_capacity,0.07150202925313189,0.05091504747963755,-0.020586981773494335,0.40433983257557965,44,44,9,9,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,48,cyclic,25.0,approx_10_100,1.67,1.0,0,F4_direct_capacity,0.15950651090468107,0.11682268555685944,-0.04268382534782163,0.36537274540779785,10,10,4,4,,,hotspot
