target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,prior_eis_feature_group,prior_eis_source_report,best_noneis_feature_group,best_noneis_source_report,best_noneis_condition_mae,prior_eis_condition_mae
delta_pulse_1s_resistance,condition_fold,2,1,-9.225039682157429e-06,84,0.0,calendar_soc_10,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0003201811467928092,0.0003294061864749666
delta_pulse_1s_resistance,condition_fold,2,6,-1.1387225920819614e-05,84,10.0,calendar_soc_50,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.00039873383817744685,0.00041012106409826646
delta_pulse_1s_resistance,condition_fold,2,9,-3.5638543578664556e-06,84,25.0,calendar_soc_10,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.00036443194365742533,0.0003679957980152918
delta_pulse_1s_resistance,condition_fold,2,13,-2.2848926470368748e-07,83,40.0,calendar_soc_10,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0004078800916237098,0.0004081085808884135
delta_pulse_1s_resistance,condition_fold,2,16,0.00012841711826795237,78,40.0,calendar_soc_100,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0006089341212455918,0.0004805170029776394
delta_pulse_1s_resistance,condition_fold,2,17,5.456419531724556e-05,24,0.0,approx_0_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0010245717267873215,0.0009700075314700759
delta_pulse_1s_resistance,condition_fold,2,21,-6.869449457714042e-05,42,0.0,approx_10_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0005536477760578988,0.0006223422706350392
delta_pulse_1s_resistance,condition_fold,2,26,6.491085449744139e-06,30,0.0,approx_10_90,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.000862450261316692,0.0008559591758669478
delta_pulse_1s_resistance,condition_fold,2,27,-0.0003113721162013932,13,0.0,approx_10_90,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0012637427263486921,0.0015751148425500853
delta_pulse_1s_resistance,condition_fold,2,32,0.0002596745029408488,6,10.0,approx_0_100,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0022454893647937606,0.0019858148618529118
delta_pulse_1s_resistance,condition_fold,2,49,3.282906120439681e-05,83,25.0,approx_10_90,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0004979019644530902,0.0004650729032486934
delta_pulse_1s_resistance,condition_fold,2,55,-1.720379068925076e-05,20,40.0,approx_0_100,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.001384165847377504,0.0014013696380667548
delta_pulse_1s_resistance,condition_fold,2,62,-2.5834757276889874e-05,84,40.0,approx_10_90,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.00042365729925686075,0.0004494920565337506
delta_pulse_1s_resistance,condition_fold,2,66,1.2438191591068021e-05,83,0.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0007342696187467711,0.0007218314271557031
delta_pulse_1s_resistance,condition_fold,2,76,6.066471072680357e-05,82,40.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0012528472066474458,0.0011921824959206422
delta_pulse_1s_resistance,condition_fold,3,7,2.594075093422199e-05,84,10.0,calendar_soc_90,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0003696986244599139,0.0003437578735256919
delta_pulse_1s_resistance,condition_fold,3,12,7.890364008757622e-05,78,25.0,calendar_soc_100,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0005732484000172709,0.0004943447599296947
delta_pulse_1s_resistance,condition_fold,3,22,-3.2792697591476575e-05,20,0.0,approx_10_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0011700273942469469,0.0012028200918384234
delta_pulse_1s_resistance,condition_fold,3,28,-0.0001408485745147017,9,0.0,approx_10_90,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.002185754098312658,0.00232660267282736
delta_pulse_1s_resistance,condition_fold,3,31,0.00016033975950380708,6,10.0,approx_0_100,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0006927454855347008,0.0005324057260308937
delta_pulse_1s_resistance,condition_fold,3,35,-0.00024704648845574103,11,10.0,approx_10_100,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.002078999794871741,0.002326046283327482
delta_pulse_1s_resistance,condition_fold,3,36,-0.00028814891026885444,6,10.0,approx_10_100,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0025519524387813404,0.002840101349050195
delta_pulse_1s_resistance,condition_fold,3,41,7.351189400712913e-05,53,25.0,approx_0_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0008059061505691619,0.0007323942565620327
delta_pulse_1s_resistance,condition_fold,3,43,5.237673389088928e-05,12,25.0,approx_0_100,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0006854519079977558,0.0006330751741068665
