status,method,target,split_name,heldout_fold,parameter_set,nominal_coverage,empirical_coverage,coverage_delta_from_nominal,n_test_rows,n_test_conditions,n_calibration_rows,n_calibration_conditions,mean_interval_width,median_interval_width,interval_score,calibration_source,conformal_radius,replicate_radius,mean_test_replicate_spread,intervals_narrower_than_replicate_spread_fraction,intervals_wider_than_replicate_spread_fraction,condition_level_coverage,worst_condition_coverage
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,temperature_holdout_fold,1,,0.9,0.921832884097035,0.021832884097034988,742,19,7966,57,0.22948455274839485,0.22948455274839485,0.45517265942037194,cross_split_excluding_test_conditions,0.11474227637419743,,0.05308297708894879,0.0444743935309973,0.9555256064690026,0.7710212717988119,0.5
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,temperature_holdout_fold,1,,0.9,0.921832884097035,0.021832884097034988,742,19,7966,57,0.22948455274839485,0.22948455274839485,0.45517265942037194,cross_split_excluding_test_conditions,0.11474227637419743,0.021452000000000027,0.05308297708894879,0.0444743935309973,0.9555256064690026,0.7710212717988119,0.5
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,temperature_holdout_fold,2,,0.8,0.6801152737752162,-0.11988472622478386,1041,19,0,0,0.14281667373668855,0.08637155356429949,0.40113264229419615,model_quantile_outputs,,,,,,0.6937773210073482,0.4857142857142857
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,temperature_holdout_fold,2,,0.9,0.8716981132075472,-0.028301886792452824,1060,19,742,19,0.1840870291644654,0.1840870291644654,0.4800252551318274,same_split_excluding_test_conditions,0.0920435145822327,,0.06674021226415094,0.08679245283018867,0.9132075471698113,0.8117506764086942,0.23076923076923078
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,temperature_holdout_fold,2,,0.9,0.9047169811320754,0.004716981132075415,1060,19,6903,57,0.24201636386957492,0.24201636386957492,0.47188550826342873,cross_split_excluding_test_conditions,0.12100818193478746,,0.06674021226415094,0.06415094339622641,0.9358490566037736,0.8614653909166899,0.46153846153846156
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,temperature_holdout_fold,2,,0.9,0.9047169811320754,0.004716981132075415,1060,19,6903,57,0.24201636386957492,0.24201636386957492,0.47188550826342873,cross_split_excluding_test_conditions,0.12100818193478746,0.022729,0.06674021226415094,0.06415094339622641,0.9358490566037736,0.8614653909166899,0.46153846153846156
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,c_rate_holdout_fold,1,,0.8,0.7515923566878981,-0.0484076433121019,157,12,0,0,0.298217351678304,0.22678300757450298,0.9753920477017423,model_quantile_outputs,,,,,,0.6455450190647559,0.0
insufficient,Q1_split_conformal_abs_residual,capacity_Ah_k1,c_rate_holdout_fold,1,,0.9,,,0,0,0,0,,,,not_enough_disjoint_calibration_conditions,,,,,,,
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,c_rate_holdout_fold,1,,0.9,0.7197452229299363,-0.18025477707006377,157,12,9808,64,0.22104851935066705,0.22104851935066705,1.021004660032774,cross_split_excluding_test_conditions,0.11052425967533352,,0.1694681337579618,0.24203821656050956,0.7579617834394905,0.5618286501510186,0.0
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,c_rate_holdout_fold,1,,0.9,0.7197452229299363,-0.18025477707006377,157,12,9808,64,0.22104851935066705,0.22104851935066705,1.021004660032774,cross_split_excluding_test_conditions,0.11052425967533352,0.021633000000000013,0.1694681337579618,0.24203821656050956,0.7579617834394905,0.5618286501510186,0.0
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,profile_holdout_fold,1,,0.8,0.8882978723404256,0.08829787234042552,752,12,0,0,0.2868138655708062,0.25350108665335047,0.4398818922980706,model_quantile_outputs,,,,,,0.8249347331049138,0.26666666666666666
insufficient,Q1_split_conformal_abs_residual,capacity_Ah_k1,profile_holdout_fold,1,,0.9,,,0,0,0,0,,,,not_enough_disjoint_calibration_conditions,,,,,,,
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,profile_holdout_fold,1,,0.9,0.8231382978723404,-0.07686170212765964,752,12,7740,64,0.2255804087390851,0.22558040873908514,0.5110892887548926,cross_split_excluding_test_conditions,0.11279020436954257,,0.06415613829787233,0.0678191489361702,0.9321808510638298,0.776543035277975,0.4
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,profile_holdout_fold,1,,0.9,0.8231382978723404,-0.07686170212765964,752,12,7740,64,0.2255804087390851,0.22558040873908514,0.5110892887548926,cross_split_excluding_test_conditions,0.11279020436954257,0.021107999999999905,0.06415613829787233,0.0678191489361702,0.9321808510638298,0.776543035277975,0.4
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,1,,0.8,0.8699115044247787,0.06991150442477867,1130,28,0,0,0.30861380476839934,0.2727175935524604,0.48057113153198966,model_quantile_outputs,,,,,,0.7761643541964663,0.0
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,voltage_window_holdout_fold,1,,0.9,0.7230088495575221,-0.17699115044247793,1130,28,2697,48,0.2174897672955618,0.2174897672955618,0.7562593188741662,same_split_excluding_test_conditions,0.1087448836477809,,0.06603466637168141,0.07876106194690266,0.9212389380530973,0.5646566175557682,0.0
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,1,,0.9,0.6141592920353982,-0.2858407079646018,1130,28,6775,48,0.16215863809730013,0.16215863809730013,0.8834542048845576,cross_split_excluding_test_conditions,0.08107931904865007,,0.06603466637168141,0.09380530973451327,0.9061946902654867,0.4509725608302196,0.0
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,voltage_window_holdout_fold,1,,0.9,0.6141592920353982,-0.2858407079646018,1130,28,6775,48,0.16215863809730013,0.16215863809730013,0.8834542048845576,cross_split_excluding_test_conditions,0.08107931904865007,0.020683000000000007,0.06603466637168141,0.09380530973451327,0.9061946902654867,0.4509725608302196,0.0
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,2,,0.8,0.7359591539022611,-0.06404084609773897,1371,32,0,0,0.25455614604291915,0.21642942117180342,0.5730821164358213,model_quantile_outputs,,,,,,0.6889633104071534,0.3333333333333333
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,voltage_window_holdout_fold,2,,0.9,0.9153902261123268,0.015390226112326766,1371,32,2456,44,0.30389336601780137,0.30389336601780137,0.5211239547603205,same_split_excluding_test_conditions,0.15194668300890068,,0.07450677607585705,0.06272793581327499,0.937272064186725,0.8084357777988945,0.16666666666666666
