run_scope,model_level,feature_group,target,split_name,fold_count,condition_mean_mae,condition_median_mae,worst_condition_mae,mean_mae,mean_rmse,test_rows
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,delta_nyquist_semicircle_width_proxy,condition_fold,5,0.0006665030113366998,0.0005085053277908279,0.00253776557364618,0.0004547653086024447,0.0009851877308577714,2712
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,delta_nyquist_semicircle_width_proxy,profile_holdout_fold,1,0.0029793810404036866,0.00242668372260439,0.005042443277482131,0.0025451299800572174,0.00270116970906488,509
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,delta_nyquist_semicircle_width_proxy,temperature_holdout_fold,2,0.0006671640531312989,0.0005316722709060866,0.002557040890652362,0.00046271700807855776,0.0013991209394725243,1222
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,delta_nyquist_semicircle_width_proxy,voltage_window_holdout_fold,3,0.001354949377021759,0.0011681431509236223,0.004865047787422596,0.0012928232060181687,0.0018040250972997981,2712
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,eis_z_abs_1kHz_k1,c_rate_holdout_fold,1,0.003248280290506779,0.0029884962638952123,0.004593752475202108,0.003189312981354004,0.003458971802992855,98
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,eis_z_abs_1kHz_k1,condition_fold,5,0.0005748012695704601,0.000389869677692314,0.002527432188838365,0.00034214217633172643,0.0006781070884995634,2716
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,eis_z_abs_1kHz_k1,profile_holdout_fold,1,0.003463661841176324,0.0027508511549831356,0.005734737071482755,0.0029434182454778084,0.0030829489420238303,510
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,eis_z_abs_1kHz_k1,temperature_holdout_fold,2,0.0006329171660847635,0.0004352391524361602,0.0026133115951705393,0.0004006168853844203,0.0007945891410964524,1224
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,eis_z_abs_1kHz_k1,voltage_window_holdout_fold,3,0.0009634353538658221,0.0007802802731998471,0.004538132774013105,0.0008857027285524718,0.0011809061254405308,2716
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,nyquist_semicircle_width_proxy_k1,c_rate_holdout_fold,1,0.0035604774195326667,0.003082685527371675,0.006244761628372916,0.003511067983738248,0.0039035758769255394,98
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,nyquist_semicircle_width_proxy_k1,condition_fold,5,0.0006822251623918755,0.0005173003539681242,0.0025315681740996207,0.00046616204985978714,0.0009976114477583853,2716
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,nyquist_semicircle_width_proxy_k1,profile_holdout_fold,1,0.0030346384423723463,0.002464622695929101,0.005092464925533714,0.002585411651598338,0.0027535874230631935,510
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,nyquist_semicircle_width_proxy_k1,temperature_holdout_fold,2,0.0006912414576070975,0.000532669335920638,0.0025721213979479777,0.00047981556255385883,0.0014077224413849656,1224
sensitivity_excluding_monotonicity,L1_ridge,E4_log_age_scalar,nyquist_semicircle_width_proxy_k1,voltage_window_holdout_fold,3,0.0014201092773480915,0.0012030593410568135,0.004916151191874715,0.0013510586033408795,0.00188448394215538,2716
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_eis_z_abs_1kHz,c_rate_holdout_fold,1,0.0034149313790946896,0.003196208606406614,0.004827703577522656,0.0034540596741182593,0.003678408792222111,97
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_eis_z_abs_1kHz,condition_fold,5,0.0005680409335414539,0.00044380212994161555,0.0024248110878393268,0.0003359619701039531,0.0006716586295888175,2712
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_eis_z_abs_1kHz,profile_holdout_fold,1,0.004307545970957378,0.003708433280016025,0.006628895272460207,0.003804948168240516,0.003919365959337836,509
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_eis_z_abs_1kHz,temperature_holdout_fold,2,0.0006000641924701706,0.0003762422489022562,0.0024656726601182764,0.0003680703267337673,0.0007861222240060021,1222
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_eis_z_abs_1kHz,voltage_window_holdout_fold,3,0.0011490851721377784,0.000760562993835495,0.00492519245761425,0.001129070988433909,0.0015144575985441718,2712
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_nyquist_semicircle_width_proxy,c_rate_holdout_fold,1,0.003717096369676938,0.003250677593257335,0.006161181637572407,0.00378686172761238,0.0041091154280497475,97
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_nyquist_semicircle_width_proxy,condition_fold,5,0.0006818949841393969,0.0005354423861741684,0.002563714722017438,0.00046327261369882015,0.00100356536643715,2712
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_nyquist_semicircle_width_proxy,profile_holdout_fold,1,0.004309500974764249,0.0039003819266475327,0.006480057495850871,0.003873202839907484,0.004009085156958956,509
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_nyquist_semicircle_width_proxy,temperature_holdout_fold,2,0.0006762141168988787,0.000533300931808992,0.002552253880322702,0.00046292113382107513,0.001412994155334935,1222
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,delta_nyquist_semicircle_width_proxy,voltage_window_holdout_fold,3,0.0015837991131622171,0.0011840841608491037,0.006225344623288761,0.0016010602105996476,0.002165379612561427,2712
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,eis_z_abs_1kHz_k1,c_rate_holdout_fold,1,0.003345972855569494,0.00313258728572364,0.004748051159258162,0.003383729986006799,0.003633300657948195,98
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,eis_z_abs_1kHz_k1,condition_fold,5,0.0005768770743428122,0.00041784362733241653,0.002513296601009815,0.0003423580566139275,0.0006877458397925927,2716
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,eis_z_abs_1kHz_k1,profile_holdout_fold,1,0.0043211153221973326,0.0036836731152111585,0.006605920201664649,0.0037998822994148055,0.003931113373384753,510
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,eis_z_abs_1kHz_k1,temperature_holdout_fold,2,0.000624801025510568,0.0004568637046977501,0.0025531049257864463,0.00039420153862323017,0.0007940370106817075,1224
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,eis_z_abs_1kHz_k1,voltage_window_holdout_fold,3,0.0010605638067619928,0.000819751418284319,0.004897606907436015,0.0010180371893051877,0.001371399730077466,2716
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,nyquist_semicircle_width_proxy_k1,c_rate_holdout_fold,1,0.00367704414037952,0.0031781500181958834,0.006193367868658777,0.0037409868475795347,0.004092613806279029,98
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,nyquist_semicircle_width_proxy_k1,condition_fold,5,0.0006990964620488258,0.0005269766785741341,0.0025693467267182742,0.000474859617247086,0.0010155401701443442,2716
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,nyquist_semicircle_width_proxy_k1,profile_holdout_fold,1,0.004270728157007122,0.0038312213506366843,0.006397520316155001,0.0038222164633383996,0.00396949037568065,510
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,nyquist_semicircle_width_proxy_k1,temperature_holdout_fold,2,0.0007030597873476127,0.0005411315474516309,0.002549040070138435,0.0004821616784666475,0.0014180170813188051,1224
sensitivity_excluding_monotonicity,L1_ridge,E5_stress_v1_1,nyquist_semicircle_width_proxy_k1,voltage_window_holdout_fold,3,0.00161254806626082,0.0012512475728132992,0.006139612619139268,0.0016179654851825453,0.0022278116152558906,2716
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_eis_z_abs_1kHz,c_rate_holdout_fold,1,0.0015695280575329467,0.001448659394232038,0.003534319954933924,0.001174355018703215,0.002070516118350691,97
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_eis_z_abs_1kHz,condition_fold,5,0.0006784555614548721,0.0004151580552341452,0.0035558663119908455,0.00035325368003450005,0.0008055802134774687,2712
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_eis_z_abs_1kHz,profile_holdout_fold,1,0.000491380679977708,0.0003809191396063665,0.001608326929019198,0.0003740542807233421,0.000633788776498411,509
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_eis_z_abs_1kHz,temperature_holdout_fold,2,0.0008258144717065785,0.0006676985070541742,0.0034879227246920963,0.00045799657508899434,0.001017738621262611,1222
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_eis_z_abs_1kHz,voltage_window_holdout_fold,3,0.0006491179297236216,0.0004149976732743675,0.0033448586075041802,0.0003948005121565423,0.0007951679830344267,2712
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_nyquist_semicircle_width_proxy,c_rate_holdout_fold,1,0.0016610704001205417,0.0011569738346268363,0.0031805966691544067,0.0011981722054536406,0.0018424019481166876,97
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_nyquist_semicircle_width_proxy,condition_fold,5,0.000871733182777771,0.0005630926258760416,0.003382340018472568,0.000537869569846269,0.0011165544269787163,2712
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_nyquist_semicircle_width_proxy,profile_holdout_fold,1,0.0006353503374775628,0.0005517184795015609,0.0017038874362909084,0.000540607275001672,0.0008029574689685313,509
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_nyquist_semicircle_width_proxy,temperature_holdout_fold,2,0.0009842432926406002,0.0008067434272633484,0.003304660117687183,0.0006321629066351497,0.0016376329793136458,1222
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,delta_nyquist_semicircle_width_proxy,voltage_window_holdout_fold,3,0.0008886485371261991,0.000642996391729601,0.0034677272516314274,0.0006215899701244326,0.0012061065728248511,2712
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,eis_z_abs_1kHz_k1,c_rate_holdout_fold,1,0.0015864040807708564,0.0015145755483260879,0.003619195246301038,0.0011851693604672032,0.002087663275195207,98
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,eis_z_abs_1kHz_k1,condition_fold,5,0.0006962945812177181,0.00043470127115157066,0.003612882236627109,0.00037252422548359257,0.0008571587559493303,2716
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,eis_z_abs_1kHz_k1,profile_holdout_fold,1,0.0005600216059510481,0.00046968760911796954,0.001619600014774022,0.0003978917830199812,0.0008049432792616097,510
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,eis_z_abs_1kHz_k1,temperature_holdout_fold,2,0.0008385436810938471,0.0006863405337528549,0.0035231266951029246,0.0004666618923140113,0.0010261027188614475,1224
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,eis_z_abs_1kHz_k1,voltage_window_holdout_fold,3,0.0006619679107013462,0.00043610185704366574,0.003356623039223227,0.0004070609061456063,0.000837812760959368,2716
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,nyquist_semicircle_width_proxy_k1,c_rate_holdout_fold,1,0.00167155135228419,0.0012984462097234803,0.0031519874375245567,0.0012151253521189025,0.0018558877955799139,98
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,nyquist_semicircle_width_proxy_k1,condition_fold,5,0.0008936036697422762,0.0005895716703317275,0.0033657601329116476,0.0005573129438377897,0.0011592374876971054,2716
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,nyquist_semicircle_width_proxy_k1,profile_holdout_fold,1,0.000709165472620436,0.000609584316737817,0.0017212201928112787,0.000568406428750975,0.0009738117055802714,510
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,nyquist_semicircle_width_proxy_k1,temperature_holdout_fold,2,0.0010044760171080136,0.0007941841495001086,0.0032232895782662715,0.0006395743760371933,0.0016252898069709669,1224
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E0_persistence,nyquist_semicircle_width_proxy_k1,voltage_window_holdout_fold,3,0.0009139199808560912,0.0007081488300774838,0.0034655450788848106,0.0006530336891968285,0.0012480460666866675,2716
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E1_state_time,delta_eis_z_abs_1kHz,c_rate_holdout_fold,1,0.0011094525708560436,0.0007602593570758098,0.0024309092789476456,0.0008594804548909798,0.001545630836735986,97
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E1_state_time,delta_eis_z_abs_1kHz,condition_fold,5,0.00048209896739937516,0.00038493345782625326,0.002633250374416143,0.0002753441303578135,0.0006490834881440787,2712
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E1_state_time,delta_eis_z_abs_1kHz,profile_holdout_fold,1,0.0003916412256731203,0.00032130565524636175,0.0010917548965259877,0.00029587696636449156,0.0005318354458285337,509
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E1_state_time,delta_eis_z_abs_1kHz,temperature_holdout_fold,2,0.0006436005661553677,0.0005652360343933699,0.002590436679402855,0.0003789390715046945,0.0008601361855536121,1222
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E1_state_time,delta_eis_z_abs_1kHz,voltage_window_holdout_fold,3,0.0005151740126469436,0.0004011945282142168,0.0026162492495790477,0.00035808231292672464,0.0007172343028849022,2712
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E1_state_time,delta_nyquist_semicircle_width_proxy,c_rate_holdout_fold,1,0.001094342611655029,0.0007012344306966418,0.002767338664404593,0.0008129252378574524,0.00135872539732938,97
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,E1_state_time,delta_nyquist_semicircle_width_proxy,condition_fold,5,0.0005879894356587156,0.0004546321864703537,0.002721253807333323,0.00041038543242369086,0.0009190566187664074,2712
