auprc,auroc,base_train_one_class,brier,calibration_intercept,calibration_method,calibration_negative_count,calibration_positive_count,calibration_slope,calibration_status,condition_mean_brier,ece_10_bin,fallback_reason,feature_group,heldout_fold,label_policy,log_loss,model_level,n_calibration,n_calibration_conditions,n_fit_conditions,n_test,n_train,split_name,target,test_negative_count,test_one_class,test_positive_count,train_one_class,train_positive_count,worst_condition_brier
0.8636303135190733,0.9453617021276596,False,0.053866598573480966,0.4482553468693102,C2_isotonic,206,99,0.032319801431908816,calibrated,0.06821807924108168,0.031212769574140813,,W2_nominal,0,verified_only,0.30530800568744787,B6_hist_gradient_boosting_classifier,305,12,33,736,1392,condition_fold,event_within_3_checkups,611,False,125,False,270,0.19433013260207088
0.8488199325890896,0.9937489332650623,False,0.012822759626101089,0.5059436620038168,C0_raw_hgb_w2,693,39,0.06535171692519377,raw,0.02352371292047621,0.010014099529962774,,W2_nominal,1,all_rows,0.0410167512481055,B6_hist_gradient_boosting_classifier,732,16,45,865,2230,condition_fold,event_within_1_checkup,837,False,28,False,106,0.09928694932626157
0.8488199325890896,0.9937489332650623,False,0.01254672228250413,0.5560720567158663,C1_platt_logistic,693,39,0.0978539700454743,calibrated,0.023773451799445445,0.010532930769563879,,W2_nominal,1,all_rows,0.041758091649561985,B6_hist_gradient_boosting_classifier,732,16,45,865,2230,condition_fold,event_within_1_checkup,837,False,28,False,106,0.09748037163370289
0.854428297727783,0.9938769414575866,False,0.014369743285951343,0.15675448765834035,C2_isotonic,693,39,0.013453157328727842,calibrated,0.025934157593315743,0.014414896609449635,,W2_nominal,1,all_rows,0.04638389401874296,B6_hist_gradient_boosting_classifier,732,16,45,865,2230,condition_fold,event_within_1_checkup,837,False,28,False,106,0.09773463757409603
0.8686162250977433,0.9864982578397212,False,0.02306250413959075,0.5345644999752631,C0_raw_hgb_w2,524,38,0.07565867495423681,raw,0.057810718437991127,0.01707176949030738,,W2_nominal,1,verified_only,0.0852569619884121,B6_hist_gradient_boosting_classifier,562,13,37,438,1433,condition_fold,event_within_1_checkup,410,False,28,False,107,0.3301392687293318
0.8686162250977433,0.9864982578397212,False,0.023294349535414226,0.5274482855337872,C1_platt_logistic,524,38,0.06835094490672329,calibrated,0.058073279652074206,0.0186863178363521,,W2_nominal,1,verified_only,0.08864315681130505,B6_hist_gradient_boosting_classifier,562,13,37,438,1433,condition_fold,event_within_1_checkup,410,False,28,False,107,0.3313227752061795
0.7754884956833824,0.9035278745644599,False,0.024049040397356978,0.46456106879008013,C2_isotonic,524,38,0.032808850535729545,calibrated,0.058782422990650354,0.01682790698182959,,W2_nominal,1,verified_only,0.21839338361204186,B6_hist_gradient_boosting_classifier,562,13,37,438,1433,condition_fold,event_within_1_checkup,410,False,28,False,107,0.33333266666766664
0.8481849161353278,0.981668285361116,False,0.024734176132387344,0.4937688433110542,C0_raw_hgb_w2,747,80,0.07064768074460491,raw,0.04268138758675176,0.01788963724516371,,W2_nominal,1,all_rows,0.09161397648986291,B6_hist_gradient_boosting_classifier,827,16,45,865,2135,condition_fold,event_within_2_checkups,809,False,56,False,210,0.17847492361404155
0.8481849161353278,0.981668285361116,False,0.02381951657337579,0.5775588810085704,C1_platt_logistic,747,80,0.10724731162725509,calibrated,0.04579634554460262,0.015795805139480153,,W2_nominal,1,all_rows,0.08736866346258167,B6_hist_gradient_boosting_classifier,827,16,45,865,2135,condition_fold,event_within_2_checkups,809,False,56,False,210,0.19281204590991194
0.8399415898087204,0.9812157866855024,False,0.02442243139554535,0.37595675014574903,C2_isotonic,747,80,0.028379514022282636,calibrated,0.04649753726773811,0.012701723541488205,,W2_nominal,1,all_rows,0.0818900876110991,B6_hist_gradient_boosting_classifier,827,16,45,865,2135,condition_fold,event_within_2_checkups,809,False,56,False,210,0.2164175061015186
0.8222415148340848,0.9412163425579656,False,0.052327082803946295,0.47469737518467325,C0_raw_hgb_w2,422,76,0.07206478507377224,raw,0.08029164835589069,0.039769568509362224,,W2_nominal,1,verified_only,0.20666425513858983,B6_hist_gradient_boosting_classifier,498,13,37,438,1497,condition_fold,event_within_2_checkups,382,False,56,False,214,0.310008540097945
0.8222415148340848,0.9412163425579656,False,0.04828265452356369,0.554848539532677,C1_platt_logistic,422,76,0.13858816976320548,calibrated,0.0841511786522296,0.020571781258500257,,W2_nominal,1,verified_only,0.17623823030012792,B6_hist_gradient_boosting_classifier,498,13,37,438,1497,condition_fold,event_within_2_checkups,382,False,56,False,214,0.3391517787212967
0.8231342795264877,0.9451196709050113,False,0.049204955062808725,0.29280021226064723,C2_isotonic,422,76,0.02716640121253107,calibrated,0.0851536476635494,0.02043449224765519,,W2_nominal,1,verified_only,0.16942947652860574,B6_hist_gradient_boosting_classifier,498,13,37,438,1497,condition_fold,event_within_2_checkups,382,False,56,False,214,0.3333333333333334
