bin,bin_left,bin_right,calibration_method,label_policy,mean_probability,observed_rate,positive_count,row_count,split_name,target
9,0.9,1.0,C1_platt_logistic,all_rows,0.9226102934352143,0.8571428571428571,6,7,c_rate_holdout_fold,event_within_1_checkup
0,0.0,0.1,C1_platt_logistic,all_rows,0.006715697851860874,0.008141493542953397,29,3562,condition_fold,event_within_1_checkup
1,0.1,0.2,C1_platt_logistic,all_rows,0.14359921808352788,0.1864406779661017,11,59,condition_fold,event_within_1_checkup
2,0.2,0.3,C1_platt_logistic,all_rows,0.23683780811098343,0.3888888888888889,14,36,condition_fold,event_within_1_checkup
3,0.3,0.4,C1_platt_logistic,all_rows,0.3501003008465526,0.35,7,20,condition_fold,event_within_1_checkup
4,0.4,0.5,C1_platt_logistic,all_rows,0.455645978702197,0.5238095238095238,11,21,condition_fold,event_within_1_checkup
5,0.5,0.6,C1_platt_logistic,all_rows,0.5579260241989655,0.5384615384615384,14,26,condition_fold,event_within_1_checkup
6,0.6,0.7,C1_platt_logistic,all_rows,0.6431099346643603,0.8125,13,16,condition_fold,event_within_1_checkup
7,0.7,0.8,C1_platt_logistic,all_rows,0.7406913742799492,0.75,15,20,condition_fold,event_within_1_checkup
8,0.8,0.9,C1_platt_logistic,all_rows,0.8493414913187388,0.8367346938775511,41,49,condition_fold,event_within_1_checkup
9,0.9,1.0,C1_platt_logistic,all_rows,0.9367693187059545,1.0,18,18,condition_fold,event_within_1_checkup
0,0.0,0.1,C1_platt_logistic,all_rows,0.006159810483030773,0.007352941176470588,5,680,profile_holdout_fold,event_within_1_checkup
1,0.1,0.2,C1_platt_logistic,all_rows,0.13210663766782063,0.07692307692307693,1,13,profile_holdout_fold,event_within_1_checkup
2,0.2,0.3,C1_platt_logistic,all_rows,0.22560041328025746,0.6666666666666666,2,3,profile_holdout_fold,event_within_1_checkup
4,0.4,0.5,C1_platt_logistic,all_rows,0.4608919242125258,0.6666666666666666,2,3,profile_holdout_fold,event_within_1_checkup
5,0.5,0.6,C1_platt_logistic,all_rows,0.539086673124083,0.0,0,4,profile_holdout_fold,event_within_1_checkup
6,0.6,0.7,C1_platt_logistic,all_rows,0.640334221791584,0.3333333333333333,1,3,profile_holdout_fold,event_within_1_checkup
7,0.7,0.8,C1_platt_logistic,all_rows,0.7532044235101321,0.2,1,5,profile_holdout_fold,event_within_1_checkup
8,0.8,0.9,C1_platt_logistic,all_rows,0.8524962116874099,0.3333333333333333,3,9,profile_holdout_fold,event_within_1_checkup
9,0.9,1.0,C1_platt_logistic,all_rows,0.9640533556644618,0.65625,21,32,profile_holdout_fold,event_within_1_checkup
0,0.0,0.1,C1_platt_logistic,all_rows,0.00225720741869373,0.016489988221436984,28,1698,temperature_holdout_fold,event_within_1_checkup
1,0.1,0.2,C1_platt_logistic,all_rows,0.14328823351617379,0.0625,1,16,temperature_holdout_fold,event_within_1_checkup
2,0.2,0.3,C1_platt_logistic,all_rows,0.24238270202723763,0.5,6,12,temperature_holdout_fold,event_within_1_checkup
3,0.3,0.4,C1_platt_logistic,all_rows,0.3434485464557969,0.42857142857142855,3,7,temperature_holdout_fold,event_within_1_checkup
4,0.4,0.5,C1_platt_logistic,all_rows,0.456207446602635,0.42857142857142855,3,7,temperature_holdout_fold,event_within_1_checkup
5,0.5,0.6,C1_platt_logistic,all_rows,0.5446549858930796,0.5,3,6,temperature_holdout_fold,event_within_1_checkup
6,0.6,0.7,C1_platt_logistic,all_rows,0.6222505958238129,1.0,2,2,temperature_holdout_fold,event_within_1_checkup
7,0.7,0.8,C1_platt_logistic,all_rows,0.73587297721767,0.875,7,8,temperature_holdout_fold,event_within_1_checkup
8,0.8,0.9,C1_platt_logistic,all_rows,0.8498693802976596,0.8333333333333334,10,12,temperature_holdout_fold,event_within_1_checkup
9,0.9,1.0,C1_platt_logistic,all_rows,0.9591973729928104,0.8529411764705882,29,34,temperature_holdout_fold,event_within_1_checkup
0,0.0,0.1,C1_platt_logistic,all_rows,0.005450563272450604,0.011179429849077696,40,3578,voltage_window_holdout_fold,event_within_1_checkup
1,0.1,0.2,C1_platt_logistic,all_rows,0.15146664452957195,0.3125,10,32,voltage_window_holdout_fold,event_within_1_checkup
