auprc,auroc,brier,calibration_intercept,calibration_method,calibration_slope,calibration_status,ece_10_bin,ece_10_bin_equal_freq,fallback_reason,heldout_fold,label_policy,log_loss,n_calibration,n_fit,n_test,split_name,target,test_negative_count,test_positive_count
0.8619977540538717,0.9704059711358378,0.0473820396815243,0.6663319356932045,C2_isotonic,0.04799928620629061,calibrated,0.0359354997275728,0.02949594058451374,,1,all_rows,0.16870192175502138,803,2282,742,temperature_holdout_fold,event_within_3_checkups,626,116
0.9432249780167705,0.9755298132183908,0.06855717317547975,0.6242775266091736,C0_raw_hgb_w2,0.10009275196353719,raw,0.06588051767071394,0.061125573711652205,,1,verified_only,0.2259076242288363,504,1525,404,temperature_holdout_fold,event_within_3_checkups,288,116
0.9432249780167705,0.9755298132183908,0.07910274203977147,0.6902687132978593,C1_platt_logistic,0.1097081435876771,calibrated,0.091964392077522,0.08783592078894908,,1,verified_only,0.26286412560882577,504,1525,404,temperature_holdout_fold,event_within_3_checkups,288,116
0.9090927305965406,0.9223838601532567,0.07973473956843698,0.5872942832304346,C2_isotonic,0.037617641871323666,calibrated,0.09112360223120267,0.08864915668664822,,1,verified_only,0.6355900915116119,504,1525,404,temperature_holdout_fold,event_within_3_checkups,288,116
0.6780225410958463,0.9450735783927815,0.02657718413730485,0.4455820029929184,C0_raw_hgb_w2,0.057912877174159716,raw,0.02132243742227226,0.009374834297959895,,2,all_rows,0.11077685716922502,808,1959,1060,temperature_holdout_fold,event_within_1_checkup,1011,49
0.6780225410958463,0.9450735783927815,0.02677512909861526,0.4557466722153529,C1_platt_logistic,0.05572811804348094,calibrated,0.02422494715854021,0.011144126086041425,,2,all_rows,0.11558806742925176,808,1959,1060,temperature_holdout_fold,event_within_1_checkup,1011,49
0.5315749145053801,0.8178203031954622,0.028997666916318627,0.40594144430557594,C2_isotonic,0.028113618520486206,calibrated,0.023600083984759292,0.023600976437589488,,2,all_rows,0.30976661747895384,808,1959,1060,temperature_holdout_fold,event_within_1_checkup,1011,49
0.6226542522520633,0.9289801026793696,0.03353685360399236,0.37643885538278404,C0_raw_hgb_w2,0.054087784050918956,raw,0.027824189169742924,0.02079278083871755,,2,verified_only,0.13702212628402852,435,1150,848,temperature_holdout_fold,event_within_1_checkup,799,49
0.6226542522520633,0.9289801026793696,0.03325393116531278,0.3599463745355735,C1_platt_logistic,0.07967644424534112,calibrated,0.02283275555286778,0.023639273700959713,,2,verified_only,0.12441609174250484,435,1150,848,temperature_holdout_fold,event_within_1_checkup,799,49
0.545593011160338,0.8983423156496642,0.04177884086333439,0.18100633362797014,C2_isotonic,0.015213697907258187,calibrated,0.031530990864909625,0.030204102618845832,,2,verified_only,0.3885352725341017,435,1150,848,temperature_holdout_fold,event_within_1_checkup,799,49
0.7975406165589527,0.9417455131740846,0.043711083446265876,0.455359901224687,C0_raw_hgb_w2,0.06526414617228668,raw,0.03984172057499334,0.036065351855167474,,2,all_rows,0.18629219887717471,1029,1738,1060,temperature_holdout_fold,event_within_2_checkups,962,98
0.7975406165589527,0.9417455131740846,0.04079495764195122,0.47044947496540873,C1_platt_logistic,0.09324383261167815,calibrated,0.03211476933741518,0.027351973569144306,,2,all_rows,0.1546620164965396,1029,1738,1060,temperature_holdout_fold,event_within_2_checkups,962,98
0.7231010946742532,0.8993009885867028,0.04509245138158786,0.36154870984241316,C2_isotonic,0.026196037308077846,calibrated,0.03781013778337529,0.03781086797205453,,2,all_rows,0.28641069967422217,1029,1738,1060,temperature_holdout_fold,event_within_2_checkups,962,98
0.7850667887750344,0.9212448979591836,0.05038141875937367,0.43799865464686244,C0_raw_hgb_w2,0.06804510729922174,raw,0.0409080566830103,0.044516619503880875,,2,verified_only,0.21240521081150338,348,1237,848,temperature_holdout_fold,event_within_2_checkups,750,98
0.7850667887750344,0.9212448979591836,0.047516054340657206,0.46712937828945506,C1_platt_logistic,0.09122072345442557,calibrated,0.027736171542434417,0.03150791008753851,,2,verified_only,0.18633099069263662,348,1237,848,temperature_holdout_fold,event_within_2_checkups,750,98
0.7374254386356447,0.9042789115646258,0.0488766315838153,0.3829812933262162,C2_isotonic,0.0277367346652848,calibrated,0.038187054060381975,0.040035836402405676,,2,verified_only,0.3439339119636057,348,1237,848,temperature_holdout_fold,event_within_2_checkups,750,98
0.7731414418767717,0.9303671085082444,0.07196861127636249,0.4394970315487664,C0_raw_hgb_w2,0.06313478993657087,raw,0.05977985949701472,0.059228529133489166,,2,all_rows,0.2907244355747217,782,1985,1060,temperature_holdout_fold,event_within_3_checkups,913,147
0.7731414418767717,0.9303671085082444,0.06642953958302293,0.4792791250886602,C1_platt_logistic,0.06722024855429873,calibrated,0.050105722325994875,0.04522571441698379,,2,all_rows,0.2778678503596937,782,1985,1060,temperature_holdout_fold,event_within_3_checkups,913,147
0.6343953240107737,0.8707222209803965,0.0675589953861523,0.39466613752008384,C2_isotonic,0.027040949302145696,calibrated,0.05157913897994252,0.0525231352063576,,2,all_rows,0.6211167090063834,782,1985,1060,temperature_holdout_fold,event_within_3_checkups,913,147
0.8171370277513648,0.9397313847079488,0.09324134511557296,0.39312642399060066,C0_raw_hgb_w2,0.06607795015841303,raw,0.09362408590907131,0.09075030122998562,,2,verified_only,0.32474633568928485,262,1323,848,temperature_holdout_fold,event_within_3_checkups,701,147
0.8171370277513648,0.9397313847079488,0.06920279739590172,0.49200563468017433,C1_platt_logistic,0.10914995376795128,calibrated,0.03977570259811379,0.047213251665748086,,2,verified_only,0.23398272837854348,262,1323,848,temperature_holdout_fold,event_within_3_checkups,701,147
0.8141962838528546,0.9327345774258348,0.06895717231766758,0.3857809520485156,C2_isotonic,0.03254182058404604,calibrated,0.043165146951236855,0.04418537252304106,,2,verified_only,0.2409964292923469,262,1323,848,temperature_holdout_fold,event_within_3_checkups,701,147
0.7224843201128492,0.870875,0.11699626806986771,0.6820678066777218,C0_raw_hgb_w2,0.0832479775830868,raw,0.11546953763568354,0.1119539640964868,,1,all_rows,0.5987919781077131,872,2798,157,c_rate_holdout_fold,event_within_1_checkup,125,32
0.7224843201128492,0.870875,0.10907354265807366,0.6771476603823288,C1_platt_logistic,0.12603446711120658,calibrated,0.11252530689875827,0.09837704597729498,,1,all_rows,0.4248860856932428,872,2798,157,c_rate_holdout_fold,event_within_1_checkup,125,32
0.7384518475131484,0.80175,0.11234572919061589,0.4179609781324911,C2_isotonic,0.04761044599859651,calibrated,0.11680230755897922,0.10569916235879041,,1,all_rows,0.6235214820628769,872,2798,157,c_rate_holdout_fold,event_within_1_checkup,125,32
0.8680339653378636,0.9521821120689655,0.09860770189900418,0.6820708254195336,C0_raw_hgb_w2,0.09227011971096152,raw,0.10852897410453863,0.09045357711132482,,1,verified_only,0.38823105298529337,530,1755,148,c_rate_holdout_fold,event_within_1_checkup,116,32
0.8680339653378636,0.9521821120689655,0.10934457415140614,0.6829197111635645,C1_platt_logistic,0.053386173594068186,calibrated,0.12117773101736695,0.10123197577528546,,1,verified_only,0.6227263142664125,530,1755,148,c_rate_holdout_fold,event_within_1_checkup,116,32
0.7865091264664327,0.8257004310344828,0.11741045784635085,0.5176504360607508,C2_isotonic,0.030672685414388667,calibrated,0.12252437927762039,0.11802050990825104,,1,verified_only,1.2199117154270303,530,1755,148,c_rate_holdout_fold,event_within_1_checkup,116,32
