run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,test_rows,test_parameter_sets
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,5,0.04629040027403377,0.09164312572477609,0.08700195376832998,0.05723387979544651,0.3649106351704061,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,profile_holdout_fold,1,0.0681612639275057,0.10093188557765358,0.08408446502873142,0.06787963515088741,0.2394742707737046,752,12
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,temperature_holdout_fold,2,0.04896663654792112,0.11173756284314042,0.09726116158465165,0.055864322936849564,0.4075937681450685,1802,38
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,voltage_window_holdout_fold,3,0.05554746823680732,0.09342268984230923,0.09144375739352123,0.06458287212129699,0.3985704957756068,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.24051151370857252,0.337260880477873,0.2557787024709196,0.261441243375911,0.3898957834045215,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,5,0.1502569298772794,0.202439513443389,0.17946604297650648,0.1690565603480041,0.41186607922999346,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,1,0.14155407230147143,0.20293250834395685,0.16804581369635696,0.15081963556644795,0.38118738045489253,752,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.15258342157001703,0.20588392396462113,0.18307431214092285,0.16991064282797436,0.38250817071555454,1802,38
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,3,0.18619685143468498,0.23929681706668904,0.2123636154125745,0.20106558484937606,0.4182498845259451,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.14762140347053818,0.22705833736563313,0.20785548776282445,0.18739080637199695,0.3849403589907088,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,5,0.0455607307758775,0.0865052685564852,0.08294112664685689,0.05647632061661255,0.37797056202220625,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,1,0.05464807114392556,0.09422567015597832,0.07512124795465591,0.05754478676046034,0.24362620394592766,752,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,2,0.047489282830206064,0.10200588004275965,0.09055302836635967,0.05727330823054188,0.2944850183235356,1802,38
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,3,0.06267726695773888,0.09277653182408159,0.0911164900883018,0.0697029854045191,0.3644351882117765,3827,76
primary,L3_quantile_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,c_rate_holdout_fold,1,0.3182149474241083,0.45886537028073304,0.3418314990959723,0.3331142368370373,0.5121144190033333,157,12
primary,L3_quantile_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,condition_fold,5,0.21032708605982103,0.29156941092041544,0.24838120556182441,0.24791546229062017,0.5137986714216667,3827,76
primary,L3_quantile_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,profile_holdout_fold,1,0.261006452271417,0.3477825037466623,0.28342179200633233,0.2683693151168121,0.4998564366396668,752,12
primary,L3_quantile_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,temperature_holdout_fold,2,0.21653133947780476,0.2983048294010634,0.2579585747766164,0.2459919162994376,0.5287889762066669,1802,38
primary,L3_quantile_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,voltage_window_holdout_fold,3,0.306270354215038,0.3719723472292073,0.3269677820862457,0.3330928220261599,0.5714757534333335,3827,76
primary,L3_quantile_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,c_rate_holdout_fold,1,0.20903388634156045,0.3053655783973674,0.2910006928820013,0.26046113036011104,0.513251960375,157,12
primary,L3_quantile_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,condition_fold,5,0.04562718053546213,0.11406849601979666,0.11095447807693459,0.0700903985010325,0.5129277671633333,3827,76
primary,L3_quantile_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,profile_holdout_fold,1,0.04331142542742351,0.10428368476990721,0.0743899759380593,0.04216261857074173,0.30557832394800005,752,12
primary,L3_quantile_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,temperature_holdout_fold,2,0.05110034200586061,0.13095705218564224,0.12237390737869872,0.07966373619582152,0.4473394568916668,1802,38
primary,L3_quantile_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,voltage_window_holdout_fold,3,0.0512498063971254,0.1024526980944458,0.10390374360295318,0.07109861117769188,0.5147326215666665,3827,76
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,c_rate_holdout_fold,1,0.2700735044251752,0.3988185872296708,0.28675259691810046,0.2810911186054912,0.4196716435099999,157,12
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,5,0.1600954385708765,0.24828566922872636,0.1981791301520103,0.19609845410091845,0.3929426525388333,3827,76
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,profile_holdout_fold,1,0.20747422726231113,0.3085238158101844,0.23703269818012995,0.23601290896375998,0.5067941564226665,752,12
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,temperature_holdout_fold,2,0.1611855372575525,0.25003877404575764,0.20144193398689014,0.1946231457013879,0.41975603090033353,1802,38
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,voltage_window_holdout_fold,3,0.2277008697741477,0.307887107997367,0.25464219466944726,0.26041776850129356,0.5301318312193333,3827,76
primary,L3_quantile_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,c_rate_holdout_fold,1,0.20859496413805723,0.3074727948673913,0.2935596746327678,0.26483567925061524,0.5165785209733333,157,12
primary,L3_quantile_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,condition_fold,5,0.04292461928312252,0.11104721859369475,0.10899199220865141,0.06567889205331753,0.5145193684366666,3827,76
primary,L3_quantile_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,profile_holdout_fold,1,0.040694406516654326,0.09972596210326304,0.07202213960281652,0.04049297749820037,0.3102201224003335,752,12
primary,L3_quantile_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,temperature_holdout_fold,2,0.04853889953732818,0.12757096679467542,0.12007478917319162,0.0690647781541724,0.4534749701660417,1802,38
primary,L3_quantile_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,voltage_window_holdout_fold,3,0.04947310985219413,0.1006526032686208,0.10322770959946394,0.068247533455576,0.5225889652241665,3827,76
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,c_rate_holdout_fold,1,0.2772586103865605,0.39984687095541577,0.28928663229066565,0.2930022375607366,0.41622996069583346,157,12
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,condition_fold,5,0.1623487556742839,0.25088379731601196,0.20289145318832008,0.20218786125016006,0.42467309693229144,3827,76
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,profile_holdout_fold,1,0.21060497531078096,0.30990297582496,0.24154036403120002,0.24122010677145234,0.5206395505978332,752,12
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,temperature_holdout_fold,2,0.1634870693534607,0.2529443612508222,0.2070368352617434,0.19727172214798927,0.4404204061933335,1802,38
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,voltage_window_holdout_fold,3,0.23752210156064968,0.3151682131626513,0.2655826965863611,0.26667694739775927,0.5376472460639999,3827,76
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,c_rate_holdout_fold,1,0.208792423993933,0.30728736880953345,0.29302295865638944,0.2646609231177306,0.5141463048333332,157,12
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,condition_fold,5,0.04264321574529657,0.11121249005104791,0.1087969143464391,0.06538252883324651,0.5136984246783333,3827,76
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,profile_holdout_fold,1,0.04216368181420542,0.10060426349688345,0.07294529008527305,0.04185574067974354,0.30796320812866684,752,12
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,temperature_holdout_fold,2,0.04815023992724352,0.12863869846377365,0.12006137998688936,0.06898359727151046,0.45170092429666675,1802,38
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,voltage_window_holdout_fold,3,0.048007423352050986,0.09954676911993839,0.10090144621013018,0.0650360271353183,0.5181381167016665,3827,76
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,c_rate_holdout_fold,1,0.28223499701219346,0.40333032568634963,0.2956784657671652,0.29647097670209255,0.4306328682843752,157,12
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,5,0.1634445116127441,0.2523163038957293,0.2047421800619992,0.20180345082047157,0.42768948707052096,3827,76
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,profile_holdout_fold,1,0.21356355468730728,0.31078260495332866,0.2442185602103114,0.24383458001773833,0.5155502715078335,752,12
