epoch,train_loss,val_loss,target,split_name,heldout_fold,model_level
23,0.053902046503744236,0.13396532833576202,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
24,0.056379974354058504,0.10505299270153046,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
25,0.04929867679694373,0.12384428083896637,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
26,0.04767325611196851,0.11390045285224915,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
27,0.045307511476015576,0.11256076395511627,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
28,0.05608079869202093,0.10862445086240768,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
29,0.04857156011521032,0.10989632457494736,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
30,0.046172169502824545,0.12801498174667358,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
31,0.04251481340217747,0.10953333228826523,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
32,0.040459820436999985,0.10150504857301712,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
33,0.04262636962199682,0.11593805998563766,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
34,0.04199633048847318,0.12309479713439941,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
35,0.03891196677853402,0.1148751825094223,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
36,0.04252224270940611,0.11382830142974854,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
37,0.039631940743052645,0.10265348851680756,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
38,0.03885411158338875,0.14955975115299225,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
39,0.041478833673815975,0.10981550812721252,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
40,0.0411008593356727,0.11808433383703232,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
41,0.04428196914101902,0.10553079098463058,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
42,0.03953943531470079,0.12498753517866135,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
43,0.03865172941923926,0.1446230560541153,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
44,0.03793442599769486,0.11170323938131332,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
45,0.04063242613828104,0.1610259711742401,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
46,0.03798974688949162,0.12415619939565659,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
47,0.03272457538466705,0.10706117749214172,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
48,0.03449781550290553,0.12468557059764862,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
49,0.03984973535529877,0.1551314741373062,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
50,0.040671870835419545,0.1367644965648651,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
51,0.03563227062113583,0.13742217421531677,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
52,0.03419789578765631,0.14714056253433228,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
1,0.16158567633675902,0.11928467452526093,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
2,0.07219079764265764,0.07407914102077484,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
3,0.04344556804158186,0.04672173783183098,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
4,0.032589756785646865,0.044749073684215546,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
5,0.03138948310362665,0.04009723290801048,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
6,0.0280663319863379,0.036660801619291306,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
7,0.024547466027893518,0.037139639258384705,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
8,0.02522531654195566,0.03608663007616997,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
